Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Lindsay (81618)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Berkshire Park		21	7.22		1	0.34		0	0.00		0	0.00		2	0.69		0	0.00		11	3.78		3	1.03		0	0.00		72	24.74		5	1.72		1	0.34		1	0.34		1	0.34		0	0.00		0	0.00		157	53.95		10	3.44		1	0.34		4	1.37		0	0.00		0	0.00		1	0.34		0	0.00		291	95.72		13	4.28		304	0.39
Blaxland (Lindsay)		38	5.06		35	4.66		2	0.27		1	0.13		10	1.33		0	0.00		61	8.12		4	0.53		2	0.27		178	23.70		6	0.80		1	0.13		3	0.40		0	0.00		0	0.00		2	0.27		339	45.14		2	0.27		1	0.13		61	8.12		0	0.00		0	0.00		5	0.67		0	0.00		751	98.30		13	1.70		764	0.97
Braddock		171	5.78		52	1.76		4	0.14		4	0.14		72	2.43		1	0.03		105	3.55		26	0.88		4	0.14		1089	36.79		28	0.95		3	0.10		27	0.91		1	0.03		2	0.07		6	0.20		1208	40.81		34	1.15		4	0.14		94	3.18		1	0.03		0	0.00		24	0.81		0	0.00		2960	96.67		102	3.33		3062	3.91
Cambridge Gardens		137	5.97		48	2.09		2	0.09		1	0.04		42	1.83		1	0.04		76	3.31		28	1.22		1	0.04		751	32.74		22	0.96		1	0.04		21	0.92		0	0.00		4	0.17		2	0.09		1012	44.12		28	1.22		4	0.17		83	3.62		1	0.04		1	0.04		27	1.18		1	0.04		2294	96.67		79	3.33		2373	3.03
Cambridge Park		241	8.44		38	1.33		0	0.00		2	0.07		61	2.14		2	0.07		93	3.26		43	1.51		7	0.25		1001	35.04		24	0.84		6	0.21		14	0.49		0	0.00		4	0.14		2	0.07		1190	41.65		19	0.67		4	0.14		77	2.70		1	0.04		1	0.04		27	0.95		0	0.00		2857	96.03		118	3.97		2975	3.80
Cambridge Park South		101	7.29		27	1.95		0	0.00		2	0.14		33	2.38		1	0.07		68	4.91		16	1.16		3	0.22		476	34.37		8	0.58		0	0.00		23	1.66		1	0.07		7	0.51		0	0.00		540	38.99		15	1.08		1	0.07		55	3.97		0	0.00		0	0.00		7	0.51		1	0.07		1385	97.60		34	2.40		1419	1.81
Castlereagh		72	8.80		28	3.42		0	0.00		0	0.00		9	1.10		0	0.00		21	2.57		4	0.49		1	0.12		166	20.29		5	0.61		0	0.00		8	0.98		0	0.00		1	0.12		0	0.00		468	57.21		9	1.10		0	0.00		25	3.06		0	0.00		0	0.00		0	0.00		1	0.12		818	95.12		42	4.88		860	1.10
Claremont Meadows		77	4.58		37	2.20		4	0.24		0	0.00		35	2.08		0	0.00		56	3.33		15	0.89		0	0.00		712	42.38		8	0.48		2	0.12		15	0.89		1	0.06		1	0.06		2	0.12		640	38.10		12	0.71		3	0.18		40	2.38		0	0.00		1	0.06		19	1.13		0	0.00		1680	97.11		50	2.89		1730	2.21
