Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Lyne (86901)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aldavilla		204	16.68		20	1.64		2	0.16		0	0.00		20	1.64		2	0.16		34	2.78		16	1.31		3	0.25		302	24.69		4	0.33		0	0.00		11	0.90		0	0.00		3	0.25		1	0.08		569	46.52		8	0.65		2	0.16		20	1.64		0	0.00		0	0.00		2	0.16		0	0.00		1223	97.30		34	2.70		1257	1.51
Beechwood		82	10.73		13	1.70		1	0.13		0	0.00		4	0.52		3	0.39		36	4.71		4	0.52		2	0.26		169	22.12		0	0.00		0	0.00		7	0.92		0	0.00		0	0.00		1	0.13		399	52.23		2	0.26		0	0.00		33	4.32		0	0.00		0	0.00		8	1.05		0	0.00		764	97.82		17	2.18		781	0.94
Bonny Hills		81	7.29		32	2.88		1	0.09		1	0.09		9	0.81		1	0.09		79	7.11		14	1.26		2	0.18		318	28.62		2	0.18		0	0.00		6	0.54		0	0.00		1	0.09		3	0.27		478	43.02		3	0.27		0	0.00		68	6.12		0	0.00		0	0.00		8	0.72		4	0.36		1111	97.89		24	2.11		1135	1.36
Burrell Creek		47	21.66		3	1.38		0	0.00		1	0.46		1	0.46		0	0.00		10	4.61		3	1.38		0	0.00		40	18.43		2	0.92		0	0.00		1	0.46		0	0.00		0	0.00		0	0.00		100	46.08		1	0.46		0	0.00		7	3.23		0	0.00		0	0.00		1	0.46		0	0.00		217	96.88		7	3.13		224	0.27
Byabarra		12	10.08		4	3.36		0	0.00		0	0.00		1	0.84		1	0.84		7	5.88		2	1.68		1	0.84		34	28.57		0	0.00		0	0.00		1	0.84		0	0.00		0	0.00		1	0.84		46	38.66		2	1.68		0	0.00		5	4.20		0	0.00		0	0.00		2	1.68		0	0.00		119	98.35		2	1.65		121	0.15
Chatham		201	11.24		23	1.29		1	0.06		7	0.39		33	1.85		3	0.17		74	4.14		17	0.95		5	0.28		559	31.26		12	0.67		1	0.06		13	0.73		0	0.00		2	0.11		4	0.22		781	43.68		14	0.78		1	0.06		31	1.73		1	0.06		0	0.00		5	0.28		0	0.00		1788	97.12		53	2.88		1841	2.21
Comboyne		35	12.03		1	0.34		0	0.00		0	0.00		0	0.00		0	0.00		11	3.78		2	0.69		1	0.34		25	8.59		4	1.37		0	0.00		3	1.03		0	0.00		1	0.34		1	0.34		190	65.29		2	0.69		0	0.00		15	5.15		0	0.00		0	0.00		0	0.00		0	0.00		291	97.98		6	2.02		297	0.36
Coopernook		53	14.21		13	3.49		0	0.00		1	0.27		7	1.88		0	0.00		15	4.02		2	0.54		0	0.00		116	31.10		1	0.27		0	0.00		5	1.34		0	0.00		0	0.00		0	0.00		147	39.41		0	0.00		0	0.00		8	2.14		0	0.00		1	0.27		4	1.07		0	0.00		373	97.64		9	2.36		382	0.46
