Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Mackellar (86505)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Avalon		88	2.36		28	0.75		4	0.11		0	0.00		31	0.83		8	0.21		424	11.39		29	0.78		4	0.11		640	17.19		19	0.51		0	0.00		12	0.32		0	0.00		2	0.05		4	0.11		1972	52.95		13	0.35		9	0.24		413	11.09		0	0.00		0	0.00		21	0.56		3	0.08		3724	97.69		88	2.31		3812	4.66
Barrenjoey		66	3.18		35	1.69		1	0.05		0	0.00		13	0.63		1	0.05		235	11.33		31	1.49		0	0.00		355	17.11		20	0.96		2	0.10		15	0.72		0	0.00		0	0.00		6	0.29		1024	49.35		7	0.34		4	0.19		247	11.90		0	0.00		0	0.00		12	0.58		1	0.05		2075	97.46		54	2.54		2129	2.60
Bayview		31	2.11		13	0.88		2	0.14		0	0.00		3	0.20		4	0.27		147	10.01		8	0.54		2	0.14		140	9.53		3	0.20		0	0.00		6	0.41		0	0.00		0	0.00		1	0.07		967	65.83		1	0.07		1	0.07		131	8.92		1	0.07		0	0.00		8	0.54		0	0.00		1469	97.54		37	2.46		1506	1.84
Beacon Hill (Mackellar)		65	3.22		61	3.02		5	0.25		7	0.35		17	0.84		3	0.15		168	8.31		18	0.89		6	0.30		377	18.65		11	0.54		0	0.00		11	0.54		1	0.05		0	0.00		3	0.15		1150	56.90		12	0.59		3	0.15		92	4.55		0	0.00		0	0.00		11	0.54		0	0.00		2021	96.98		63	3.02		2084	2.55
Belrose		77	2.63		57	1.95		9	0.31		0	0.00		19	0.65		2	0.07		201	6.86		21	0.72		5	0.17		506	17.28		14	0.48		1	0.03		11	0.38		1	0.03		1	0.03		5	0.17		1831	62.51		18	0.61		3	0.10		122	4.17		0	0.00		2	0.07		23	0.79		0	0.00		2929	96.73		99	3.27		3028	3.70
Belrose North		70	3.11		39	1.73		2	0.09		2	0.09		18	0.80		2	0.09		156	6.94		13	0.58		5	0.22		348	15.48		14	0.62		0	0.00		11	0.49		0	0.00		1	0.04		2	0.09		1456	64.77		12	0.53		4	0.18		82	3.65		1	0.04		0	0.00		8	0.36		2	0.09		2248	97.78		51	2.22		2299	2.81
Bilgola Plateau		46	2.34		32	1.63		2	0.10		0	0.00		6	0.31		3	0.15		212	10.79		14	0.71		2	0.10		273	13.90		5	0.25		1	0.05		12	0.61		0	0.00		1	0.05		1	0.05		1152	58.66		8	0.41		7	0.36		177	9.01		0	0.00		0	0.00		10	0.51		0	0.00		1964	97.47		51	2.53		2015	2.46
Collaroy		37	2.45		20	1.32		0	0.00		0	0.00		10	0.66		2	0.13		137	9.07		15	0.99		4	0.26		252	16.69		9	0.60		0	0.00		12	0.79		0	0.00		0	0.00		1	0.07		883	58.48		0	0.00		4	0.26		108	7.15		0	0.00		0	0.00		16	1.06		0	0.00		1510	96.61		53	3.39		1563	1.91
