Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Macquarie (86364)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bilpin		51	11.67		15	3.43		1	0.23		0	0.00		2	0.46		0	0.00		37	8.47		0	0.00		3	0.69		67	15.33		1	0.23		1	0.23		0	0.00		0	0.00		0	0.00		2	0.46		206	47.14		2	0.46		1	0.23		46	10.53		0	0.00		1	0.23		1	0.23		0	0.00		437	95.83		19	4.17		456	0.55
Blackheath		132	5.79		51	2.24		0	0.00		0	0.00		19	0.83		3	0.13		248	10.88		30	1.32		4	0.18		608	26.67		11	0.48		1	0.04		5	0.22		0	0.00		2	0.09		3	0.13		817	35.83		7	0.31		3	0.13		321	14.08		4	0.18		3	0.13		4	0.18		4	0.18		2280	97.35		62	2.65		2342	2.84
Blaxland (Macquarie)		33	3.75		33	3.75		1	0.11		0	0.00		5	0.57		2	0.23		87	9.89		13	1.48		4	0.45		276	31.36		6	0.68		0	0.00		1	0.11		0	0.00		2	0.23		0	0.00		341	38.75		3	0.34		1	0.11		68	7.73		0	0.00		0	0.00		2	0.23		2	0.23		880	98.10		17	1.90		897	1.09
Blaxland East		103	3.35		194	6.31		2	0.07		0	0.00		24	0.78		5	0.16		319	10.38		21	0.68		4	0.13		705	22.94		19	0.62		0	0.00		23	0.75		1	0.03		4	0.13		2	0.07		1361	44.29		2	0.07		5	0.16		260	8.46		0	0.00		0	0.00		14	0.46		5	0.16		3073	97.80		69	2.20		3142	3.82
Bligh Park		163	5.92		45	1.63		0	0.00		1	0.04		31	1.13		2	0.07		135	4.90		27	0.98		4	0.15		608	22.07		17	0.62		2	0.07		20	0.73		0	0.00		2	0.07		4	0.15		1576	57.21		23	0.83		2	0.07		71	2.58		1	0.04		0	0.00		18	0.65		3	0.11		2755	97.38		74	2.62		2829	3.44
Bligh Park East		43	3.86		12	1.08		0	0.00		0	0.00		13	1.17		1	0.09		52	4.67		15	1.35		1	0.09		265	23.81		11	0.99		0	0.00		9	0.81		0	0.00		0	0.00		3	0.27		649	58.31		6	0.54		0	0.00		21	1.89		0	0.00		0	0.00		12	1.08		0	0.00		1113	97.80		25	2.20		1138	1.38
Bullaburra		28	4.96		21	3.72		1	0.18		0	0.00		10	1.77		1	0.18		50	8.85		3	0.53		0	0.00		152	26.90		3	0.53		0	0.00		2	0.35		0	0.00		2	0.35		0	0.00		208	36.81		1	0.18		1	0.18		80	14.16		0	0.00		0	0.00		2	0.35		0	0.00		565	98.43		9	1.57		574	0.70
Cattai		7	5.07		1	0.72		0	0.00		0	0.00		0	0.00		1	0.72		17	12.32		1	0.72		0	0.00		8	5.80		0	0.00		0	0.00		1	0.72		0	0.00		0	0.00		0	0.00		95	68.84		1	0.72		0	0.00		5	3.62		0	0.00		0	0.00		1	0.72		0	0.00		138	95.83		6	4.17		144	0.17
