Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Mitchell (86647)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aminya		16	2.80		26	4.55		1	0.18		0	0.00		9	1.58		0	0.00		38	6.65		3	0.53		0	0.00		110	19.26		1	0.18		0	0.00		2	0.35		0	0.00		2	0.35		0	0.00		338	59.19		1	0.18		1	0.18		20	3.50		0	0.00		1	0.18		2	0.35		0	0.00		571	98.96		6	1.04		577	0.69
Annangrove		56	4.98		40	3.56		0	0.00		0	0.00		11	0.98		2	0.18		71	6.32		7	0.62		2	0.18		124	11.03		5	0.44		0	0.00		7	0.62		0	0.00		0	0.00		1	0.09		750	66.73		5	0.44		1	0.09		38	3.38		0	0.00		0	0.00		4	0.36		0	0.00		1124	96.48		41	3.52		1165	1.40
Baulkham Hills		12	3.64		8	2.42		2	0.61		0	0.00		6	1.82		0	0.00		32	9.70		1	0.30		0	0.00		71	21.52		0	0.00		0	0.00		2	0.61		1	0.30		0	0.00		0	0.00		187	56.67		2	0.61		0	0.00		6	1.82		0	0.00		0	0.00		0	0.00		0	0.00		330	97.63		8	2.37		338	0.41
Baulkham Hills High		55	3.88		32	2.26		16	1.13		1	0.07		17	1.20		0	0.00		102	7.19		13	0.92		3	0.21		354	24.95		10	0.70		0	0.00		9	0.63		1	0.07		0	0.00		2	0.14		750	52.85		9	0.63		1	0.07		39	2.75		0	0.00		1	0.07		4	0.28		0	0.00		1419	96.79		47	3.21		1466	1.76
Baulkham Hills North		119	4.25		73	2.60		5	0.18		1	0.04		21	0.75		4	0.14		232	8.28		24	0.86		3	0.11		581	20.73		17	0.61		0	0.00		9	0.32		0	0.00		3	0.11		3	0.11		1569	55.98		10	0.36		3	0.11		104	3.71		0	0.00		1	0.04		20	0.71		1	0.04		2803	96.49		102	3.51		2905	3.49
Beaumont Hills		20	1.38		39	2.70		4	0.28		1	0.07		7	0.48		0	0.00		72	4.98		6	0.42		1	0.07		322	22.28		4	0.28		0	0.00		10	0.69		0	0.00		0	0.00		2	0.14		931	64.43		3	0.21		0	0.00		18	1.25		0	0.00		0	0.00		5	0.35		0	0.00		1445	98.10		28	1.90		1473	1.77
Castle Hill		114	2.98		166	4.34		20	0.52		1	0.03		31	0.81		3	0.08		307	8.02		28	0.73		1	0.03		695	18.17		20	0.52		1	0.03		17	0.44		1	0.03		2	0.05		4	0.10		2250	58.81		20	0.52		3	0.08		117	3.06		1	0.03		2	0.05		21	0.55		1	0.03		3826	96.71		130	3.29		3956	4.75
Castle Hill East		29	2.29		26	2.05		9	0.71		1	0.08		10	0.79		2	0.16		98	7.73		9	0.71		2	0.16		207	16.34		10	0.79		1	0.08		6	0.47		0	0.00		2	0.16		3	0.24		790	62.35		2	0.16		1	0.08		56	4.42		0	0.00		0	0.00		3	0.24		0	0.00		1267	97.54		32	2.46		1299	1.56
