Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Newcastle (89198)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adamstown		114	5.48		24	1.15		2	0.10		0	0.00		43	2.07		4	0.19		180	8.65		34	1.63		4	0.19		836	40.17		17	0.82		1	0.05		24	1.15		2	0.10		2	0.10		2	0.10		629	30.23		9	0.43		4	0.19		130	6.25		7	0.34		1	0.05		12	0.58		0	0.00		2081	96.75		70	3.25		2151	2.55
Adamstown Heights		121	4.83		44	1.76		0	0.00		1	0.04		36	1.44		1	0.04		196	7.83		20	0.80		0	0.00		803	32.08		14	0.56		0	0.00		15	0.60		0	0.00		1	0.04		0	0.00		1107	44.23		10	0.40		6	0.24		112	4.47		1	0.04		0	0.00		13	0.52		2	0.08		2503	96.87		81	3.13		2584	3.07
Adamstown North		75	6.73		13	1.17		0	0.00		0	0.00		27	2.42		0	0.00		78	7.00		11	0.99		0	0.00		523	46.91		4	0.36		0	0.00		14	1.26		0	0.00		0	0.00		1	0.09		280	25.11		5	0.45		4	0.36		71	6.37		2	0.18		0	0.00		6	0.54		1	0.09		1115	95.54		52	4.46		1167	1.39
Adamstown West		15	5.28		4	1.41		0	0.00		0	0.00		2	0.70		1	0.35		27	9.51		3	1.06		0	0.00		116	40.85		1	0.35		0	0.00		3	1.06		0	0.00		0	0.00		0	0.00		96	33.80		1	0.35		0	0.00		14	4.93		0	0.00		0	0.00		1	0.35		0	0.00		284	98.27		5	1.73		289	0.34
Beaumont Park		44	5.50		2	0.25		2	0.25		1	0.13		34	4.25		4	0.50		30	3.75		10	1.25		4	0.50		447	55.87		3	0.38		2	0.25		5	0.63		0	0.00		0	0.00		0	0.00		170	21.25		8	1.00		1	0.13		26	3.25		0	0.00		2	0.25		5	0.63		0	0.00		800	93.24		58	6.76		858	1.02
Birmingham Gardens		80	9.40		27	3.17		1	0.12		0	0.00		34	4.00		1	0.12		51	5.99		3	0.35		1	0.12		351	41.25		2	0.24		0	0.00		6	0.71		0	0.00		0	0.00		2	0.24		248	29.14		6	0.71		1	0.12		33	3.88		0	0.00		1	0.12		3	0.35		0	0.00		851	96.49		31	3.51		882	1.05
Birmingham Gardens North		108	11.46		12	1.27		1	0.11		0	0.00		28	2.97		1	0.11		43	4.56		12	1.27		1	0.11		419	44.48		6	0.64		1	0.11		11	1.17		1	0.11		2	0.21		1	0.11		244	25.90		7	0.74		1	0.11		32	3.40		4	0.42		2	0.21		5	0.53		0	0.00		942	96.42		35	3.58		977	1.16
Carrington		46	5.03		9	0.98		0	0.00		0	0.00		32	3.50		1	0.11		56	6.13		13	1.42		4	0.44		530	57.99		5	0.55		0	0.00		4	0.44		1	0.11		1	0.11		2	0.22		151	16.52		3	0.33		0	0.00		50	5.47		0	0.00		0	0.00		4	0.44		2	0.22		914	96.21		36	3.79		950	1.13
