Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Parkes (83036)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Albert		6	6.25		4	4.17		0	0.00		0	0.00		2	2.08		1	1.04		1	1.04		0	0.00		0	0.00		12	12.50		3	3.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		64	66.67		2	2.08		0	0.00		0	0.00		0	0.00		0	0.00		1	1.04		0	0.00		96	98.97		1	1.03		97	0.12
Alectown		18	9.94		23	12.71		0	0.00		0	0.00		5	2.76		0	0.00		3	1.66		1	0.55		1	0.55		36	19.89		1	0.55		0	0.00		1	0.55		0	0.00		1	0.55		0	0.00		84	46.41		3	1.66		0	0.00		2	1.10		0	0.00		0	0.00		1	0.55		1	0.55		181	97.84		4	2.16		185	0.23
Alma		206	11.24		23	1.26		0	0.00		1	0.05		39	2.13		0	0.00		58	3.17		12	0.66		11	0.60		1109	60.53		3	0.16		1	0.05		7	0.38		0	0.00		0	0.00		3	0.16		314	17.14		12	0.66		0	0.00		24	1.31		1	0.05		4	0.22		4	0.22		0	0.00		1832	96.17		73	3.83		1905	2.40
Ballimore		12	10.17		4	3.39		1	0.85		0	0.00		2	1.69		1	0.85		5	4.24		0	0.00		0	0.00		30	25.42		1	0.85		1	0.85		1	0.85		1	0.85		1	0.85		0	0.00		56	47.46		0	0.00		0	0.00		1	0.85		1	0.85		0	0.00		0	0.00		0	0.00		118	99.16		1	0.84		119	0.15
Barmedman		28	11.43		1	0.41		0	0.00		0	0.00		4	1.63		1	0.41		7	2.86		0	0.00		0	0.00		46	18.78		4	1.63		0	0.00		4	1.63		0	0.00		1	0.41		0	0.00		143	58.37		3	1.22		1	0.41		2	0.82		0	0.00		0	0.00		0	0.00		0	0.00		245	98.79		3	1.21		248	0.31
Bedgerebong		14	10.53		9	6.77		1	0.75		0	0.00		0	0.00		0	0.00		6	4.51		1	0.75		0	0.00		12	9.02		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		88	66.17		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		133	99.25		1	0.75		134	0.17
Bogan Gate		33	14.41		3	1.31		0	0.00		0	0.00		3	1.31		1	0.44		6	2.62		4	1.75		0	0.00		34	14.85		9	3.93		0	0.00		2	0.87		0	0.00		0	0.00		0	0.00		130	56.77		1	0.44		0	0.00		1	0.44		1	0.44		0	0.00		1	0.44		0	0.00		229	98.28		4	1.72		233	0.29
Broken Hill		142	9.19		37	2.39		2	0.13		0	0.00		31	2.01		2	0.13		66	4.27		10	0.65		5	0.32		810	52.43		7	0.45		3	0.19		4	0.26		0	0.00		3	0.19		2	0.13		361	23.37		12	0.78		0	0.00		40	2.59		1	0.06		1	0.06		6	0.39		0	0.00		1545	96.02		64	3.98		1609	2.02
