Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Parramatta (87286)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ballandella Road		62	5.44		22	1.93		4	0.35		14	1.23		0	0.00		0	0.00		53	4.65		3	0.26		2	0.18		423	37.14		11	0.97		0	0.00		2	0.18		0	0.00		1	0.09		1	0.09		498	43.72		7	0.61		0	0.00		26	2.28		1	0.09		1	0.09		6	0.53		2	0.18		1139	94.68		64	5.32		1203	1.45
Carlingford (Parramatta)		19	2.71		11	1.57		34	4.85		0	0.00		8	1.14		0	0.00		43	6.13		4	0.57		0	0.00		228	32.52		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		2	0.29		326	46.50		1	0.14		0	0.00		23	3.28		0	0.00		1	0.14		0	0.00		0	0.00		701	97.63		17	2.37		718	0.87
Carlingford North		46	2.32		40	2.02		68	3.44		0	0.00		9	0.45		1	0.05		127	6.42		13	0.66		0	0.00		501	25.32		5	0.25		2	0.10		6	0.30		0	0.00		0	0.00		1	0.05		1094	55.28		3	0.15		4	0.20		51	2.58		0	0.00		0	0.00		7	0.35		1	0.05		1979	97.83		44	2.17		2023	2.44
Cumberland High		74	2.69		39	1.42		68	2.47		0	0.00		27	0.98		2	0.07		181	6.57		14	0.51		0	0.00		816	29.63		6	0.22		1	0.04		9	0.33		0	0.00		2	0.07		1	0.04		1421	51.60		8	0.29		4	0.15		69	2.51		0	0.00		0	0.00		11	0.40		1	0.04		2754	96.70		94	3.30		2848	3.44
Darcy Road		72	4.11		37	2.11		31	1.77		1	0.06		31	1.77		1	0.06		94	5.36		9	0.51		6	0.34		750	42.78		5	0.29		1	0.06		7	0.40		0	0.00		2	0.11		2	0.11		643	36.68		8	0.46		2	0.11		44	2.51		0	0.00		0	0.00		6	0.34		1	0.06		1753	94.65		99	5.35		1852	2.24
Dundas		77	2.90		75	2.82		66	2.49		0	0.00		34	1.28		0	0.00		217	8.17		15	0.56		2	0.08		872	32.84		10	0.38		0	0.00		8	0.30		1	0.04		5	0.19		7	0.26		1132	42.64		12	0.45		3	0.11		99	3.73		1	0.04		0	0.00		18	0.68		1	0.04		2655	96.83		87	3.17		2742	3.31
Dundas Valley		37	4.72		22	2.81		2	0.26		0	0.00		6	0.77		0	0.00		52	6.63		10	1.28		2	0.26		278	35.46		7	0.89		1	0.13		2	0.26		0	0.00		0	0.00		1	0.13		328	41.84		2	0.26		1	0.13		25	3.19		3	0.38		0	0.00		4	0.51		1	0.13		784	97.03		24	2.97		808	0.98
Ermington		44	6.71		5	0.76		2	0.30		2	0.30		15	2.29		1	0.15		28	4.27		5	0.76		2	0.30		244	37.20		6	0.91		0	0.00		1	0.15		0	0.00		2	0.30		0	0.00		281	42.84		1	0.15		1	0.15		10	1.52		0	0.00		0	0.00		6	0.91		0	0.00		656	95.63		30	4.37		686	0.83
