Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Paterson (82782)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Anna Bay		115	5.21		33	1.50		0	0.00		0	0.00		31	1.40		0	0.00		102	4.62		37	1.68		0	0.00		814	36.88		13	0.59		18	0.82		22	1.00		0	0.00		3	0.14		2	0.09		893	40.46		8	0.36		2	0.09		103	4.67		0	0.00		2	0.09		9	0.41		0	0.00		2207	96.54		79	3.46		2286	2.85
Bandon Grove		12	9.92		2	1.65		0	0.00		0	0.00		4	3.31		0	0.00		10	8.26		0	0.00		0	0.00		26	21.49		1	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		60	49.59		0	0.00		0	0.00		4	3.31		0	0.00		2	1.65		0	0.00		0	0.00		121	98.37		2	1.63		123	0.15
Barrington		13	3.96		9	2.74		0	0.00		1	0.30		5	1.52		0	0.00		10	3.05		2	0.61		0	0.00		58	17.68		1	0.30		3	0.91		3	0.91		0	0.00		2	0.61		1	0.30		199	60.67		2	0.61		1	0.30		17	5.18		1	0.30		0	0.00		0	0.00		0	0.00		328	97.91		7	2.09		335	0.42
Beresfield		153	6.95		30	1.36		0	0.00		5	0.23		63	2.86		2	0.09		88	3.99		27	1.23		3	0.14		1084	49.21		20	0.91		1	0.05		36	1.63		0	0.00		1	0.05		1	0.05		602	27.33		17	0.77		3	0.14		53	2.41		0	0.00		2	0.09		12	0.54		0	0.00		2203	96.37		83	3.63		2286	2.85
Bobs Farm		25	8.87		4	1.42		0	0.00		0	0.00		3	1.06		0	0.00		9	3.19		2	0.71		0	0.00		80	28.37		3	1.06		0	0.00		3	1.06		0	0.00		0	0.00		0	0.00		145	51.42		1	0.35		0	0.00		7	2.48		0	0.00		0	0.00		0	0.00		0	0.00		282	97.58		7	2.42		289	0.36
Booral		57	13.83		5	1.21		0	0.00		2	0.49		4	0.97		1	0.24		16	3.88		7	1.70		0	0.00		112	27.18		6	1.46		1	0.24		5	1.21		0	0.00		0	0.00		1	0.24		179	43.45		1	0.24		1	0.24		11	2.67		0	0.00		1	0.24		2	0.49		0	0.00		412	96.71		14	3.29		426	0.53
Bulahdelah		118	11.98		13	1.32		0	0.00		0	0.00		16	1.62		0	0.00		31	3.15		7	0.71		4	0.41		238	24.16		6	0.61		0	0.00		25	2.54		0	0.00		2	0.20		0	0.00		496	50.36		2	0.20		2	0.20		24	2.44		0	0.00		0	0.00		1	0.10		0	0.00		985	96.38		37	3.62		1022	1.27
Bungwahl		23	8.81		3	1.15		0	0.00		2	0.77		4	1.53		2	0.77		14	5.36		5	1.92		0	0.00		80	30.65		1	0.38		0	0.00		3	1.15		1	0.38		0	0.00		0	0.00		104	39.85		3	1.15		1	0.38		13	4.98		0	0.00		0	0.00		2	0.77		0	0.00		261	98.49		4	1.51		265	0.33
