Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Richmond (81312)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alstonville		169	5.55		149	4.89		0	0.00		4	0.13		35	1.15		10	0.33		231	7.58		32	1.05		3	0.10		697	22.88		17	0.56		0	0.00		19	0.62		0	0.00		7	0.23		0	0.00		1457	47.83		12	0.39		3	0.10		189	6.20		1	0.03		0	0.00		8	0.26		3	0.10		3046	97.75		70	2.25		3116	4.05
Bangalow		50	3.72		17	1.27		1	0.07		0	0.00		16	1.19		16	1.19		139	10.35		30	2.23		6	0.45		374	27.85		7	0.52		0	0.00		10	0.74		1	0.07		3	0.22		3	0.22		387	28.82		4	0.30		2	0.15		271	20.18		0	0.00		0	0.00		0	0.00		6	0.45		1343	98.46		21	1.54		1364	1.77
Banora Point		224	7.57		24	0.81		0	0.00		0	0.00		32	1.08		1	0.03		137	4.63		19	0.64		8	0.27		829	28.01		12	0.41		1	0.03		18	0.61		0	0.00		5	0.17		6	0.20		1514	51.15		12	0.41		3	0.10		101	3.41		0	0.00		0	0.00		12	0.41		2	0.07		2960	97.34		81	2.66		3041	3.95
Banora Point South		221	8.18		29	1.07		0	0.00		0	0.00		48	1.78		3	0.11		104	3.85		22	0.81		3	0.11		976	36.11		5	0.18		1	0.04		15	0.55		1	0.04		6	0.22		3	0.11		1163	43.03		12	0.44		1	0.04		77	2.85		0	0.00		1	0.04		12	0.44		0	0.00		2703	97.72		63	2.28		2766	3.60
Banora Point West		171	8.61		5	0.25		0	0.00		0	0.00		21	1.06		2	0.10		86	4.33		13	0.65		4	0.20		628	31.61		8	0.40		1	0.05		6	0.30		1	0.05		4	0.20		2	0.10		977	49.17		9	0.45		2	0.10		46	2.32		0	0.00		0	0.00		1	0.05		0	0.00		1987	97.69		47	2.31		2034	2.64
Bilambil		139	9.08		12	0.78		0	0.00		3	0.20		16	1.05		4	0.26		96	6.27		10	0.65		3	0.20		469	30.63		4	0.26		0	0.00		13	0.85		1	0.07		0	0.00		1	0.07		673	43.96		10	0.65		1	0.07		68	4.44		0	0.00		0	0.00		8	0.52		0	0.00		1531	97.64		37	2.36		1568	2.04
Billinudgel		52	7.73		13	1.93		0	0.00		0	0.00		9	1.34		3	0.45		38	5.65		18	2.67		2	0.30		257	38.19		2	0.30		0	0.00		4	0.59		0	0.00		1	0.15		0	0.00		208	30.91		2	0.30		1	0.15		62	9.21		0	0.00		0	0.00		1	0.15		0	0.00		673	97.40		18	2.60		691	0.90
Bray Park		73	6.40		10	0.88		7	0.61		1	0.09		16	1.40		3	0.26		53	4.65		9	0.79		3	0.26		327	28.66		3	0.26		0	0.00		2	0.18		0	0.00		2	0.18		1	0.09		548	48.03		4	0.35		0	0.00		77	6.75		0	0.00		1	0.09		1	0.09		0	0.00		1141	96.94		36	3.06		1177	1.53
