Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Throsby (84412)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Albion Park		127	8.58		54	3.65		1	0.07		2	0.14		31	2.09		5	0.34		107	7.22		15	1.01		1	0.07		564	38.08		18	1.22		0	0.00		16	1.08		0	0.00		6	0.41		3	0.20		440	29.71		15	1.01		0	0.00		53	3.58		5	0.34		6	0.41		12	0.81		0	0.00		1481	96.86		48	3.14		1529	1.81
Albion Park Rail		341	9.30		92	2.51		3	0.08		1	0.03		97	2.65		2	0.05		218	5.95		50	1.36		6	0.16		1627	44.39		44	1.20		4	0.11		59	1.61		0	0.00		4	0.11		1	0.03		928	25.32		36	0.98		6	0.16		100	2.73		1	0.03		7	0.19		38	1.04		0	0.00		3665	96.52		132	3.48		3797	4.70
Albion Park South		197	7.28		90	3.33		0	0.00		0	0.00		51	1.89		2	0.07		160	5.91		25	0.92		7	0.26		1124	41.55		23	0.85		3	0.11		25	0.92		1	0.04		3	0.11		1	0.04		874	32.31		19	0.70		2	0.07		74	2.74		2	0.07		0	0.00		20	0.74		2	0.07		2705	96.23		106	3.77		2811	3.48
Barrack Heights		80	5.77		32	2.31		1	0.07		0	0.00		67	4.83		0	0.00		78	5.63		18	1.30		3	0.22		753	54.33		15	1.08		2	0.14		24	1.73		0	0.00		0	0.00		1	0.07		251	18.11		19	1.37		2	0.14		30	2.16		1	0.07		0	0.00		8	0.58		1	0.07		1386	97.06		42	2.94		1428	1.77
Berkeley		86	4.28		24	1.20		2	0.10		1	0.05		69	3.44		3	0.15		89	4.43		25	1.25		5	0.25		1216	60.56		10	0.50		4	0.20		17	0.85		0	0.00		1	0.05		0	0.00		356	17.73		20	1.00		1	0.05		56	2.79		0	0.00		12	0.60		11	0.55		0	0.00		2008	95.85		87	4.15		2095	2.60
Berkeley South		31	4.71		8	1.22		1	0.15		0	0.00		16	2.43		1	0.15		28	4.26		7	1.06		5	0.76		419	63.68		5	0.76		2	0.30		2	0.30		0	0.00		0	0.00		1	0.15		102	15.50		4	0.61		0	0.00		18	2.74		1	0.15		3	0.46		4	0.61		0	0.00		658	94.68		37	5.32		695	0.86
Berkeley West		95	5.36		26	1.47		0	0.00		0	0.00		54	3.05		0	0.00		59	3.33		24	1.36		9	0.51		1084	61.21		16	0.90		4	0.23		14	0.79		1	0.06		1	0.06		2	0.11		312	17.62		12	0.68		2	0.11		42	2.37		0	0.00		8	0.45		6	0.34		0	0.00		1771	94.76		98	5.24		1869	2.32
Blackbutt		59	3.19		53	2.86		3	0.16		3	0.16		39	2.11		4	0.22		131	7.08		8	0.43		7	0.38		893	48.24		6	0.32		0	0.00		24	1.30		0	0.00		1	0.05		2	0.11		538	29.07		20	1.08		2	0.11		49	2.65		1	0.05		1	0.05		7	0.38		0	0.00		1851	97.47		48	2.53		1899	2.35
