Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Watson (81961)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bardwell Park		36	3.57		16	1.59		15	1.49		1	0.10		9	0.89		0	0.00		73	7.24		5	0.50		4	0.40		385	38.19		3	0.30		2	0.20		10	0.99		0	0.00		0	0.00		1	0.10		405	40.18		4	0.40		2	0.20		34	3.37		0	0.00		2	0.20		1	0.10		0	0.00		1008	94.56		58	5.44		1066	1.39
Belmore Central		47	4.12		19	1.66		17	1.49		0	0.00		51	4.47		0	0.00		32	2.80		4	0.35		6	0.53		691	60.51		3	0.26		1	0.09		5	0.44		1	0.09		0	0.00		1	0.09		231	20.23		6	0.53		4	0.35		21	1.84		0	0.00		1	0.09		1	0.09		0	0.00		1142	94.15		71	5.85		1213	1.58
Belmore North		59	2.49		34	1.43		43	1.81		1	0.04		73	3.08		1	0.04		104	4.39		11	0.46		9	0.38		1452	61.24		4	0.17		3	0.13		8	0.34		3	0.13		0	0.00		7	0.30		480	20.24		15	0.63		4	0.17		50	2.11		3	0.13		0	0.00		7	0.30		0	0.00		2371	89.07		291	10.93		2662	3.47
Belmore South		65	2.93		31	1.40		18	0.81		0	0.00		90	4.06		3	0.14		68	3.07		16	0.72		6	0.27		1250	56.43		7	0.32		3	0.14		14	0.63		0	0.00		1	0.05		1	0.05		563	25.42		16	0.72		1	0.05		40	1.81		1	0.05		2	0.09		18	0.81		1	0.05		2215	92.79		172	7.21		2387	3.11
Beverly Hills		46	4.29		33	3.08		22	2.05		0	0.00		12	1.12		1	0.09		41	3.82		5	0.47		3	0.28		452	42.12		4	0.37		0	0.00		2	0.19		0	0.00		1	0.09		0	0.00		414	38.58		8	0.75		1	0.09		23	2.14		1	0.09		2	0.19		2	0.19		0	0.00		1073	94.70		60	5.30		1133	1.48
Beverly Hills South (Watson)		35	4.54		22	2.85		13	1.69		0	0.00		16	2.08		2	0.26		32	4.15		4	0.52		2	0.26		358	46.43		0	0.00		0	0.00		6	0.78		0	0.00		1	0.13		0	0.00		257	33.33		2	0.26		0	0.00		19	2.46		0	0.00		0	0.00		2	0.26		0	0.00		771	95.66		35	4.34		806	1.05
Bexley North		41	3.68		23	2.06		17	1.52		0	0.00		16	1.43		1	0.09		51	4.57		6	0.54		1	0.09		484	43.41		2	0.18		1	0.09		8	0.72		0	0.00		1	0.09		1	0.09		406	36.41		9	0.81		1	0.09		38	3.41		0	0.00		1	0.09		6	0.54		1	0.09		1115	93.07		83	6.93		1198	1.56
Bexley West		88	4.61		44	2.30		20	1.05		2	0.10		28	1.47		0	0.00		112	5.87		9	0.47		10	0.52		838	43.90		7	0.37		5	0.26		7	0.37		0	0.00		0	0.00		1	0.05		670	35.10		13	0.68		2	0.10		47	2.46		0	0.00		1	0.05		5	0.26		0	0.00		1909	94.36		114	5.64		2023	2.64
