Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Wentworth (86457)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Bellevue Hill		37	1.04		30	0.84		44	1.24		2	0.06		20	0.56		9	0.25		307	8.63		33	0.93		3	0.08		578	16.25		10	0.28		0	0.00		8	0.22		1	0.03		1	0.03		6	0.17		2139	60.13		13	0.37		3	0.08		301	8.46		0	0.00		0	0.00		6	0.17		6	0.17		3557	95.77		157	4.23		3714	4.64
Bondi		70	2.30		17	0.56		14	0.46		0	0.00		58	1.91		6	0.20		245	8.05		37	1.22		2	0.07		892	29.31		3	0.10		2	0.07		10	0.33		0	0.00		3	0.10		6	0.20		1298	42.66		24	0.79		3	0.10		339	11.14		1	0.03		0	0.00		11	0.36		2	0.07		3043	94.27		185	5.73		3228	4.04
Bondi Beach		80	1.84		10	0.23		20	0.46		2	0.05		55	1.26		11	0.25		470	10.80		58	1.33		10	0.23		1387	31.89		8	0.18		5	0.11		12	0.28		1	0.02		2	0.05		10	0.23		1498	34.44		22	0.51		7	0.16		669	15.38		4	0.09		1	0.02		8	0.18		0	0.00		4350	96.45		160	3.55		4510	5.64
Bondi Junction		61	2.10		14	0.48		13	0.45		0	0.00		32	1.10		4	0.14		270	9.28		31	1.07		3	0.10		853	29.31		6	0.21		0	0.00		4	0.14		0	0.00		5	0.17		4	0.14		1323	45.46		13	0.45		6	0.21		262	9.00		0	0.00		1	0.03		3	0.10		2	0.07		2910	94.97		154	5.03		3064	3.83
Bondi North		43	2.35		10	0.55		7	0.38		0	0.00		14	0.77		2	0.11		153	8.36		15	0.82		4	0.22		538	29.40		2	0.11		1	0.05		8	0.44		1	0.05		2	0.11		0	0.00		868	47.43		7	0.38		5	0.27		146	7.98		0	0.00		0	0.00		4	0.22		0	0.00		1830	95.26		91	4.74		1921	2.40
Bondi Surf		8	0.68		4	0.34		6	0.51		0	0.00		10	0.85		1	0.08		116	9.86		19	1.61		0	0.00		305	25.91		6	0.51		0	0.00		3	0.25		1	0.08		0	0.00		2	0.17		491	41.72		0	0.00		2	0.17		200	16.99		0	0.00		0	0.00		2	0.17		1	0.08		1177	97.84		26	2.16		1203	1.50
Bronte		38	1.88		12	0.59		8	0.39		0	0.00		19	0.94		6	0.30		222	10.96		16	0.79		3	0.15		535	26.41		4	0.20		4	0.20		5	0.25		0	0.00		1	0.05		3	0.15		811	40.03		4	0.20		4	0.20		329	16.24		0	0.00		0	0.00		2	0.10		0	0.00		2026	97.22		58	2.78		2084	2.61
Castlefield		13	1.73		6	0.80		1	0.13		0	0.00		8	1.06		1	0.13		65	8.63		8	1.06		1	0.13		229	30.41		3	0.40		0	0.00		1	0.13		0	0.00		1	0.13		1	0.13		298	39.58		6	0.80		1	0.13		108	14.34		0	0.00		0	0.00		2	0.27		0	0.00		753	96.79		25	3.21		778	0.97
