Senate - 2001 Election: New South Wales																																																																																	
First Preference Votes by Group 																																																																																	
By Polling Place																																																																																	

Werriwa (83153)																																																																																	
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Group M Total			Group N Total			Group O Total			Group P Total			Group Q Total			Group R Total			Group S Total			Group T Total			Group U Total			Group V Total			Group W Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		HAN			CTA			UNI			CEC			PLP			OCF			DEM			HMP			RLS			ACL			LEF			Unendorsed			FPY			Unendorsed			NCP			NDP			LNP			NGST			RPA			GRN			Unendorsed			AAP			AFI			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Austral (Werriwa)		119	8.61		23	1.66		10	0.72		3	0.22		34	2.46		2	0.14		32	2.32		9	0.65		3	0.22		412	29.81		5	0.36		1	0.07		9	0.65		2	0.14		1	0.07		1	0.07		655	47.40		15	1.09		3	0.22		25	1.81		0	0.00		1	0.07		17	1.23		0	0.00		1382	91.95		121	8.05		1503	1.91
Campbellfield		71	5.64		25	1.99		8	0.64		0	0.00		35	2.78		1	0.08		51	4.05		10	0.79		8	0.64		616	48.97		4	0.32		0	0.00		19	1.51		0	0.00		2	0.16		3	0.24		355	28.22		13	1.03		1	0.08		25	1.99		0	0.00		0	0.00		11	0.87		0	0.00		1258	95.74		56	4.26		1314	1.67
Cartwright (Werriwa)		57	9.38		4	0.66		7	1.15		0	0.00		32	5.26		1	0.16		10	1.64		6	0.99		5	0.82		327	53.78		2	0.33		0	0.00		6	0.99		2	0.33		0	0.00		2	0.33		123	20.23		7	1.15		0	0.00		11	1.81		0	0.00		0	0.00		6	0.99		0	0.00		608	93.25		44	6.75		652	0.83
Casula		215	6.13		80	2.28		12	0.34		3	0.09		106	3.02		3	0.09		132	3.76		31	0.88		12	0.34		1548	44.15		14	0.40		1	0.03		17	0.48		3	0.09		4	0.11		2	0.06		1173	33.46		36	1.03		0	0.00		75	2.14		1	0.03		3	0.09		34	0.97		1	0.03		3506	92.51		284	7.49		3790	4.82
Casula South		93	5.88		27	1.71		7	0.44		0	0.00		33	2.09		0	0.00		57	3.61		14	0.89		4	0.25		617	39.03		8	0.51		0	0.00		10	0.63		0	0.00		0	0.00		4	0.25		642	40.61		20	1.27		0	0.00		30	1.90		2	0.13		1	0.06		12	0.76		0	0.00		1581	95.07		82	4.93		1663	2.11
Cecil Hills		89	3.06		47	1.61		8	0.27		2	0.07		119	4.09		2	0.07		111	3.81		18	0.62		10	0.34		1321	45.35		7	0.24		1	0.03		14	0.48		0	0.00		1	0.03		0	0.00		1062	36.46		30	1.03		3	0.10		53	1.82		1	0.03		0	0.00		14	0.48		0	0.00		2913	95.10		150	4.90		3063	3.90
Curran		82	6.39		19	1.48		11	0.86		1	0.08		78	6.07		1	0.08		33	2.57		15	1.17		5	0.39		632	49.22		9	0.70		1	0.08		16	1.25		1	0.08		4	0.31		0	0.00		298	23.21		24	1.87		4	0.31		26	2.02		3	0.23		1	0.08		19	1.48		1	0.08		1284	97.20		37	2.80		1321	1.68
Glenfield		149	6.68		49	2.20		10	0.45		0	0.00		44	1.97		0	0.00		94	4.22		19	0.85		5	0.22		925	41.50		8	0.36		4	0.18		12	0.54		1	0.04		7	0.31		3	0.13		779	34.95		22	0.99		2	0.09		70	3.14		0	0.00		1	0.04		23	1.03		2	0.09		2229	95.13		114	4.87		2343	2.98
