House of Representatives - 2001 Election: Northern Territory														
First Preference Votes and TCP														
By Candidate by Vote Type by Division														
														
Lingiari (57077)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"KELLY, Ron"	CLP	14254	38.20	393	35.12	116	29.44	1605	43.69	765	62.14	17133	39.18
	"CHELLEW, Linda"	DEM	1811	4.85	75	6.70	14	3.55	262	7.13	51	4.14	2213	5.06
	"NORRIS, Wayne David"	HAN	1463	3.92	59	5.27	10	2.54	193	5.25	92	7.47	1817	4.15
#	"SNOWDON, Warren"	ALP	18448	49.44	525	46.92	235	59.64	1419	38.62	289	23.48	20916	47.83
	"HOAD, Rob"	GRN	981	2.63	52	4.65	14	3.55	150	4.08	29	2.36	1226	2.80
	"WRIGHT, Wayne"		358	0.96	15	1.34	5	1.27	45	1.22	5	0.41	428	0.98
		FORMAL	37315	94.81	1119	95.64	394	95.17	3674	97.07	1231	98.64	43733	95.13
		INFORMAL	2041	5.19	51	4.36	20	4.83	111	2.93	17	1.36	2240	4.87
		TOTAL	39356	85.61	1170	2.54	414	0.90	3785	8.23	1248	2.71	45973	80.55
Two Candidate Preferred														
	"KELLY, Ron"	CLP	16174	43.34	476	42.54	130	32.99	1902	51.77	869	70.59	19551	44.71
#	"SNOWDON, Warren"	ALP	21141	56.66	643	57.46	264	67.01	1772	48.23	362	29.41	24182	55.29
														
														
														
Solomon (53945)														
														
			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"POLLOCK, David"	GRN	2059	5.10	53	6.38	24	10.91	261	5.31	42	3.76	2439	5.14
	"HULL, Laurene"	ALP	15669	38.84	352	42.36	86	39.09	1727	35.11	361	32.35	18195	38.36
#	"TOLLNER, David"	CLP	16772	41.57	297	35.74	78	35.45	2164	43.99	517	46.33	19828	41.81
	"DUNSTAN, Ted"	DEM	2148	5.32	49	5.90	14	6.36	298	6.06	73	6.54	2582	5.44
	"STEWART, Mervyn James"	HAN	1317	3.26	31	3.73	10	4.55	250	5.08	61	5.47	1669	3.52
	"RYAN-JAPARTA, Maurie"	IND	267	0.66	11	1.32	3	1.36	50	1.02	6	0.54	337	0.71
	"AUSTIN, Maisie"	IND	2110	5.23	38	4.57	5	2.27	169	3.44	56	5.02	2378	5.01
		FORMAL	40342	95.39	831	94.54	220	95.24	4919	96.77	1116	97.89	47428	95.57
		INFORMAL	1949	4.61	48	5.46	11	4.76	164	3.23	24	2.11	2196	4.43
		TOTAL	42291	85.22	879	1.77	231	0.47	5083	10.24	1140	2.30	49624	91.99
Two Candidate Preferred														
	"HULL, Laurene"	ALP	20281	50.27	473	56.92	112	50.91	2316	47.08	488	43.73	23670	49.91
#	"TOLLNER, David"	CLP	20061	49.73	358	43.08	108	49.09	2603	52.92	628	56.27	23758	50.09
														
														
														
