House of Representatives - 2001 Election: Northern Territory											
Two Candidate Preferred Preference Flow Result											
by Polling Place											
											
Solomon (53945)											
		Candidate		"HULL, Laurene"		              	"TOLLNER, David"		             	Total	
				ALP		                        	CLP		                        		
				Votes	%	                     	Votes	%	                     		
	Anula										
			1st Prefs	962	54.35		808	45.65		1770	
		"POLLOCK, David (GRN)"	82	65	79.27		17	20.73		82	
		"DUNSTAN, Ted (DEM)"	104	82	78.85		22	21.15		104	
		"STEWART, Mervyn James (HAN)"	69	21	30.43		48	69.57		69	
		"RYAN-JAPARTA, Maurie (IND)"	14	9	64.29		5	35.71		14	
		"AUSTIN, Maisie (IND)"	122	51	41.80		71	58.20		122	
		Total	391	1190	55.07		971	44.93		2161	

	Bakewell										
			1st Prefs	609	38.06		991	61.94		1600	
		"POLLOCK, David (GRN)"	60	35	58.33		25	41.67		60	
		"DUNSTAN, Ted (DEM)"	90	54	60.00		36	40.00		90	
		"STEWART, Mervyn James (HAN)"	78	29	37.18		49	62.82		78	
		"RYAN-JAPARTA, Maurie (IND)"	11	5	45.45		6	54.55		11	
		"AUSTIN, Maisie (IND)"	81	30	37.04		51	62.96		81	
		Total	320	762	39.69		1158	60.31		1920	

	Berrimah										
			1st Prefs	182	30.59		413	69.41		595	
		"POLLOCK, David (GRN)"	22	18	81.82		4	18.18		22	
		"DUNSTAN, Ted (DEM)"	41	22	53.66		19	46.34		41	
		"STEWART, Mervyn James (HAN)"	34	14	41.18		20	58.82		34	
		"RYAN-JAPARTA, Maurie (IND)"	2	1	50.00		1	50.00		2	
		"AUSTIN, Maisie (IND)"	24	7	29.17		17	70.83		24	
		Total	123	244	33.98		474	66.02		718	

	Darwin										
			1st Prefs	256	44.52		319	55.48		575	
		"POLLOCK, David (GRN)"	55	43	78.18		12	21.82		55	
		"DUNSTAN, Ted (DEM)"	58	36	62.07		22	37.93		58	
		"STEWART, Mervyn James (HAN)"	19	7	36.84		12	63.16		19	
		"RYAN-JAPARTA, Maurie (IND)"	8	5	62.50		3	37.50		8	
		"AUSTIN, Maisie (IND)"	40	18	45.00		22	55.00		40	
		Total	180	365	48.34		390	51.66		755	

	Driver										
			1st Prefs	857	43.28		1123	56.72		1980	
		"POLLOCK, David (GRN)"	82	56	68.29		26	31.71		82	
		"DUNSTAN, Ted (DEM)"	119	77	64.71		42	35.29		119	
		"STEWART, Mervyn James (HAN)"	125	49	39.20		76	60.80		125	
		"RYAN-JAPARTA, Maurie (IND)"	20	10	50.00		10	50.00		20	
		"AUSTIN, Maisie (IND)"	99	45	45.45		54	54.55		99	
		Total	445	1094	45.11		1331	54.89		2425	

	Durack										
			1st Prefs	400	31.40		874	68.60		1274	
		"POLLOCK, David (GRN)"	42	28	66.67		14	33.33		42	
		"DUNSTAN, Ted (DEM)"	42	22	52.38		20	47.62		42	
		"STEWART, Mervyn James (HAN)"	51	21	41.18		30	58.82		51	
		"RYAN-JAPARTA, Maurie (IND)"	6	2	33.33		4	66.67		6	
		"AUSTIN, Maisie (IND)"	58	23	39.66		35	60.34		58	
		Total	199	496	33.67		977	66.33		1473	

	Gray										
			1st Prefs	843	43.70		1086	56.30		1929	
		"POLLOCK, David (GRN)"	73	50	68.49		23	31.51		73	
		"DUNSTAN, Ted (DEM)"	92	49	53.26		43	46.74		92	
		"STEWART, Mervyn James (HAN)"	104	44	42.31		60	57.69		104	
		"RYAN-JAPARTA, Maurie (IND)"	14	13	92.86		1	7.14		14	
