Senate - 2001 Election: Northern Territory																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Lingiari (57077)																																																																																																																																																																																																																																																											
	   	 A Northern Territory Country Liberal Party												 B Pauline Hanson's One Nation												 C Australian Greens												 D 												 E Australian Democrats												 F Australian Labor Party (Northern Territory) Branch												Ungrouped																																																																																																																																																																																	
    		TICKET VOTES			SCULLION			LOPES			Group Total			TICKET VOTES			PHILLIPS			KING			Group Total			TICKET VOTES			ROSS			MCCABE			Group Total			TICKET VOTES			MILLS			MEYERHOFF			Group Total			TICKET VOTES			CURTIS			FAGGION			Group Total			TICKET VOTES			CROSSIN			HAVNEN			Group Total			FLYNN			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																					
    					Nigel Gregory			John									Rob			Jim									Melanie			Charlotte									June			Gary									David			Joe									Trish			Olga						Peter																																																																																																																																																																																	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																				
Alice Springs		691	41.13		47	2.80		7	0.42		745	44.35		53	3.15		11	0.65		2	0.12		66	3.93		64	3.81		36	2.14		4	0.24		104	6.19		0	0.00		2	0.12		0	0.00		2	0.12		132	7.86		45	2.68		1	0.06		178	10.60		529	31.49		49	2.92		5	0.30		583	34.70		2	0.12		2	0.12		1680	97.67		40	2.33		1720	3.74																																																																																																																																																																				
Alyangula		117	30.63		7	1.83		0	0.00		124	32.46		16	4.19		1	0.26		0	0.00		17	4.45		14	3.66		5	1.31		0	0.00		19	4.97		2	0.52		0	0.00		2	0.52		4	1.05		46	12.04		8	2.09		0	0.00		54	14.14		150	39.27		13	3.40		1	0.26		164	42.93		0	0.00		0	0.00		382	98.71		5	1.29		387	0.84																																																																																																																																																																				
Batchelor		78	26.99		10	3.46		2	0.69		90	31.14		28	9.69		3	1.04		0	0.00		31	10.73		7	2.42		3	1.04		0	0.00		10	3.46		0	0.00		1	0.35		0	0.00		1	0.35		19	6.57		3	1.04		0	0.00		22	7.61		112	38.75		19	6.57		4	1.38		135	46.71		0	0.00		0	0.00		289	97.31		8	2.69		297	0.65																																																																																																																																																																				
Bees Creek		434	48.87		23	2.59		5	0.56		462	52.03		51	5.74		7	0.79		1	0.11		59	6.64		22	2.48		10	1.13		0	0.00		32	3.60		2	0.23		1	0.11		0	0.00		3	0.34		45	5.07		10	1.13		1	0.11		56	6.31		251	28.27		20	2.25		5	0.56		276	31.08		0	0.00		0	0.00		888	97.69		21	2.31		909	1.97																																																																																																																																																																				
Berry Springs		286	44.76		18	2.82		2	0.31		306	47.89		45	7.04		11	1.72		0	0.00		56	8.76		19	2.97		9	1.41		1	0.16		29	4.54		2	0.31		0	0.00		0	0.00		2	0.31		21	3.29		6	0.94		1	0.16		28	4.38		197	30.83		14	2.19		7	1.10		218	34.12		0	0.00		0	0.00		639	96.97		20	3.03		659	1.43																																																																																																																																																																				
Blatherskite Park		138	50.55		2	0.73		2	0.73		142	52.01		14	5.13		2	0.73		0	0.00		16	5.86		14	5.13		6	2.20		0	0.00		20	7.33		0	0.00		0	0.00		0	0.00		0	0.00		20	7.33		3	1.10		0	0.00		23	8.42		64	23.44		8	2.93		0	0.00		72	26.37		0	0.00		0	0.00		273	96.47		10	3.53		283	0.61																																																																																																																																																																				
Braitling		904	49.78		49	2.70		6	0.33		959	52.81		67	3.69		14	0.77		1	0.06		82	4.52		48	2.64		29	1.60		1	0.06		78	4.30		5	0.28		2	0.11		0	0.00		7	0.39		101	5.56		23	1.27		1	0.06		125	6.88		523	28.80		34	1.87		5	0.28		562	30.95		3	0.17		3	0.17		1816	96.85		59	3.15		1875	4.07																																																																																																																																																																				
Christmas Island		97	23.43		8	1.93		0	0.00		105	25.36		14	3.38		0	0.00		0	0.00		14	3.38		31	7.49		5	1.21		1	0.24		37	8.94		6	1.45		0	0.00		0	0.00		6	1.45		21	5.07		5	1.21		0	0.00		26	6.28		212	51.21		14	3.38		0	0.00		226	54.59		0	0.00		0	0.00		414	97.41		11	2.59		425	0.92																																																																																																																																																																		
Gillen		1355	47.16		60	2.09		4	0.14		1419	49.39		131	4.56		21	0.73		3	0.10		155	5.40		67	2.33		26	0.90		0	0.00		93	3.24		11	0.38		2	0.07		0	0.00		13	0.45		200	6.96		42	1.46		2	0.07		244	8.49		883	30.73		52	1.81		13	0.45		948	33.00		1	0.03		1	0.03		2873	98.05		57	1.95		2930	6.36																																																																																																																																																																		
Home Island		85	32.20		0	0.00		0	0.00		85	32.20		2	0.76		0	0.00		0	0.00		2	0.76		3	1.14		1	0.38		0	0.00		4	1.52		2	0.76		0	0.00		0	0.00		2	0.76		5	1.89		0	0.00		1	0.38		6	2.27		156	59.09		9	3.41		0	0.00		165	62.50		0	0.00		0	0.00		264	98.51		4	1.49		268	0.58																																																																																																																																																																		
