Senate - 2001 Election:  Northern Territory																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Solomon (53945)																																																																																																																																																																																																																																																											
		 A Northern Territory Country Liberal Party												 B Pauline Hanson's One Nation												 C Australian Greens												 D 												 E Australian Democrats												 F Australian Labor Party (Northern Territory) Branch												Ungrouped																																																																																																																																																																																	
    		TICKET VOTES			SCULLION			LOPES			Group Total			TICKET VOTES			PHILLIPS			KING			Group Total			TICKET VOTES			ROSS			MCCABE			Group Total			TICKET VOTES			MILLS			MEYERHOFF			Group Total			TICKET VOTES			CURTIS			FAGGION			Group Total			TICKET VOTES			CROSSIN			HAVNEN			Group Total			FLYNN			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																																																																					
    					Nigel Gregory			John									Rob			Jim									Melanie			Charlotte									June			Gary									David			Joe									Trish			Olga						Peter																																																																																																																																																																																	
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																																																																																				
Anula		830	37.73		58	2.64		13	0.59		901	40.95		82	3.73		10	0.45		1	0.05		93	4.23		62	2.82		16	0.73		4	0.18		82	3.73		10	0.45		0	0.00		1	0.05		11	0.50		101	4.59		32	1.45		2	0.09		135	6.14		899	40.86		68	3.09		10	0.45		977	44.41		1	0.05		1	0.05		2200	98.00		45	2.00		2245	4.52																																																																																																																																																																				
Bakewell		978	49.90		54	2.76		15	0.77		1047	53.42		85	4.34		10	0.51		1	0.05		96	4.90		36	1.84		9	0.46		0	0.00		45	2.30		7	0.36		4	0.20		1	0.05		12	0.61		113	5.77		12	0.61		2	0.10		127	6.48		578	29.49		51	2.60		2	0.10		631	32.19		2	0.10		2	0.10		1960	97.95		41	2.05		2001	4.03																																																																																																																																																																				
Berrimah		408	55.74		14	1.91		2	0.27		424	57.92		42	5.74		5	0.68		1	0.14		48	6.56		19	2.60		3	0.41		0	0.00		22	3.01		2	0.27		0	0.00		0	0.00		2	0.27		33	4.51		9	1.23		0	0.00		42	5.74		178	24.32		14	1.91		2	0.27		194	26.50		0	0.00		0	0.00		732	98.65		10	1.35		742	1.49																																																																																																																																																																				
Darwin		322	42.59		21	2.78		4	0.53		347	45.90		21	2.78		3	0.40		0	0.00		24	3.17		42	5.56		12	1.59		1	0.13		55	7.28		4	0.53		2	0.26		0	0.00		6	0.79		63	8.33		15	1.98		1	0.13		79	10.45		210	27.78		23	3.04		12	1.59		245	32.41		0	0.00		0	0.00		756	97.80		17	2.20		773	1.56																																																																																																																																																																				
Driver		1121	45.07		60	2.41		20	0.80		1201	48.29		147	5.91		16	0.64		0	0.00		163	6.55		48	1.93		6	0.24		2	0.08		56	2.25		14	0.56		7	0.28		2	0.08		23	0.92		124	4.99		30	1.21		4	0.16		158	6.35		804	32.33		62	2.49		18	0.72		884	35.54		2	0.08		2	0.08		2487	96.55		89	3.45		2576	5.19																																																																																																																																																																				
Durack		865	57.17		58	3.83		3	0.20		926	61.20		51	3.37		9	0.59		2	0.13		62	4.10		21	1.39		11	0.73		3	0.20		35	2.31		0	0.00		1	0.07		2	0.13		3	0.20		66	4.36		7	0.46		2	0.13		75	4.96		384	25.38		21	1.39		7	0.46		412	27.23		0	0.00		0	0.00		1513	97.87		33	2.13		1546	3.11																																																																																																																																																																				
Gray		1122	47.46		45	1.90		9	0.38		1176	49.75		112	4.74		13	0.55		3	0.13		128	5.41		49	2.07		10	0.42		2	0.08		61	2.58		5	0.21		7	0.30		1	0.04		13	0.55		114	4.82		13	0.55		2	0.08		129	5.46		800	33.84		48	2.03		8	0.34		856	36.21		1	0.04		1	0.04		2364	96.89		76	3.11		2440	4.91																																																																																																																																																																				
Jingili		729	38.17		49	2.57		6	0.31		784	41.05		78	4.08		16	0.84		2	0.10		96	5.03		61	3.19		35	1.83		3	0.16		99	5.18		4	0.21		4	0.21		1	0.05		9	0.47		92	4.82		31	1.62		3	0.16		126	6.60		717	37.54		67	3.51		11	0.58		795	41.62		1	0.05		1	0.05		1910	96.37		72	3.63		1982	3.99																																																																																																																																																																		
Karama		1315	37.08		78	2.20		11	0.31		1404	39.59		139	3.92		24	0.68		4	0.11		167	4.71		82	2.31		22	0.62		2	0.06		106	2.99		22	0.62		5	0.14		5	0.14		32	0.90		193	5.44		31	0.87		3	0.08		227	6.40		1477	41.65		101	2.85		28	0.79		1606	45.29		4	0.11		4	0.11		3546	97.02		109	2.98		3655	7.36																																																																																																																																																																		
Larrakeyah		834	50.18		43	2.59		13	0.78		890	53.55		44	2.65		14	0.84		0	0.00		58	3.49		60	3.61		25	1.50		0	0.00		85	5.11		7	0.42		5	0.30		0	0.00		12	0.72		124	7.46		32	1.93		2	0.12		158	9.51		403	24.25		38	2.29		14	0.84		455	27.38		4	0.24		4	0.24		1662	97.76		38	2.24		1700	3.42																																																																																																																																																																		
