House of Representatives - 2001 Election: Northern Territory																										
Distribution of Preferences																										
By Polling Place																										
																										
Solomon																										
				POLLOCK			HULL			TOLLNER			DUNSTAN			STEWART			RYAN-JAPARTA			AUSTIN				
				David			Laurene			David			Ted			Mervyn James			Maurie			Maisie				
				GRN			ALP			CLP			DEM			HAN			IND			IND				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Anula                                                          																										
	FIRST			82	3.79		962	44.52		808	37.39		104	4.81		69	3.19		14	0.65		122	5.65		2161	
	SECOND			1	7.14		2	14.29		1	7.14		2	14.29		1	7.14			Excluded		7	50.00		14	
		TOTAL		83	3.84		964	44.61		809	37.44		106	4.91		70	3.24					129	5.97		2161	
	THIRD			5	7.14		11	15.71		28	40.00		10	14.29			Excluded					16	22.86		70	
		TOTAL		88	4.07		975	45.12		837	38.73		116	5.37								145	6.71		2161	
	FOURTH				Excluded		37	42.05		7	7.95		31	35.23								13	14.77		88	
		TOTAL					1012	46.83		844	39.06		147	6.80								158	7.31		2161	
	FIFTH						43	27.22		49	31.01		66	41.77									Excluded		158	
		TOTAL					1055	48.82		893	41.32		213	9.86											2161	
	SIXTH						135	63.38		78	36.62			Excluded											213	
		TOTAL					1190	55.07		971	44.93														2161	
										Elected																
																										
Bakewell                                                       																										
	FIRST			60	3.13		609	31.72		991	51.61		90	4.69		78	4.06		11	0.57		81	4.22		1920	
	SECOND			1	9.09		0	0.00		1	9.09		0	0.00		2	18.18			Excluded		7	63.64		11	
		TOTAL		61	3.18		609	31.72		992	51.67		90	4.69		80	4.17					88	4.58		1920	
	THIRD			9	11.25		14	17.50		31	38.75		7	8.75			Excluded					19	23.75		80	
		TOTAL		70	3.65		623	32.45		1023	53.28		97	5.05								107	5.57		1920	
	FOURTH				Excluded		24	34.29		16	22.86		16	22.86								14	20.00		70	
		TOTAL					647	33.70		1039	54.11		113	5.89								121	6.30		1920	
	FIFTH						29	23.97		42	34.71		50	41.32									Excluded		121	
		TOTAL					676	35.21		1081	56.30		163	8.49											1920	
	SIXTH						86	52.76		77	47.24			Excluded											163	
		TOTAL					762	39.69		1158	60.31														1920	
										Elected																
																										
Berrimah                                                       																										
	FIRST			22	3.06		182	25.35		413	57.52		41	5.71		34	4.74		2	0.28		24	3.34		718	
	SECOND			0	0.00		1	50.00		0	0.00		0	0.00		1	50.00			Excluded		0	0.00		2	
		TOTAL		22	3.06		183	25.49		413	57.52		41	5.71		35	4.87					24	3.34		718	
	THIRD			3	8.57		4	11.43		12	34.29		6	17.14			Excluded					10	28.57		35	
		TOTAL		25	3.48		187	26.04		425	59.19		47	6.55								34	4.74		718	
	FOURTH				Excluded		11	44.00		2	8.00		8	32.00								4	16.00		25	
		TOTAL					198	27.58		427	59.47		55	7.66								38	5.29		718	
	FIFTH						4	10.53		9	23.68		25	65.79									Excluded		38	
		TOTAL					202	28.13		436	60.72		80	11.14											718	
	SIXTH						42	52.50		38	47.50			Excluded											80	
		TOTAL					244	33.98		474	66.02														718	
										Elected																
																										
Darwin                                                         																										
	FIRST			55	7.28		256	33.91		319	42.25		58	7.68		19	2.52		8	1.06		40	5.30		755	
	SECOND			1	12.50		1	12.50		1	12.50		0	0.00		1	12.50			Excluded		4	50.00		8	
		TOTAL		56	7.42		257	34.04		320	42.38		58	7.68		20	2.65					44	5.83		755	
	THIRD			3	15.00		3	15.00		5	25.00		2	10.00			Excluded					7	35.00		20	
		TOTAL		59	7.81		260	34.44		325	43.05		60	7.95								51	6.75		755	
	FOURTH				Excluded		15	25.42		8	13.56		24	40.68								12	20.34		59	
		TOTAL					275	36.42		333	44.11		84	11.13								63	8.34		755	
	FIFTH						17	26.98		18	28.57		28	44.44									Excluded		63	
		TOTAL					292	38.68		351	46.49		112	14.83											755	
	SIXTH						73	65.18		39	34.82			Excluded											112	
		TOTAL					365	48.34		390	51.66														755	
										Elected																
																										
Driver                                                         																										
	FIRST			82	3.38		857	35.34		1123	46.31		119	4.91		125	5.15		20	0.82		99	4.08		2425	
	SECOND			4	20.00		3	15.00		1	5.00		4	20.00		0	0.00			Excluded		8	40.00		20	
		TOTAL		86	3.55		860	35.46		1124	46.35		123	5.07		125	5.15					107	4.41		2425	
	THIRD			20	16.00		22	17.60		37	29.60		26	20.80			Excluded					20	16.00		125	
		TOTAL		106	4.37		882	36.37		1161	47.88		149	6.14								127	5.24		2425	
	FOURTH				Excluded		37	34.91		19	17.92		28	26.42								22	20.75		106	
		TOTAL					919	37.90		1180	48.66		177	7.30								149	6.14		2425	
	FIFTH						37	24.83		47	31.54		65	43.62									Excluded		149	
		TOTAL					956	39.42		1227	50.60		242	9.98											2425	
	SIXTH						138	57.02		104	42.98			Excluded											242	
		TOTAL					1094	45.11		1331	54.89														2425	
										Elected																
																										
Durack                                                         																										
	FIRST			42	2.85		400	27.16		874	59.33		42	2.85		51	3.46		6	0.41		58	3.94		1473	
	SECOND			0	0.00		1	16.67		1	16.67		0	0.00		0	0.00			Excluded		4	66.67		6	
		TOTAL		42	2.85		401	27.22		875	59.40		42	2.85		51	3.46					62	4.21		1473	
	THIRD			3	5.88		7	13.73		16	31.37		7	13.73			Excluded					18	35.29		51	
		TOTAL		45	3.05		408	27.70		891	60.49		49	3.33								80	5.43		1473	
	FOURTH				Excluded		16	35.56		6	13.33		14	31.11								9	20.00		45	
		TOTAL					424	28.78		897	60.90		63	4.28								89	6.04		1473	
	FIFTH						17	19.10		24	26.97		48	53.93									Excluded		89	
		TOTAL					441	29.94		921	62.53		111	7.54											1473	
	SIXTH						55	49.55		56	50.45			Excluded											111	
		TOTAL					496	33.67		977	66.33														1473	
										Elected																
																										
Gray                                                           																										
	FIRST			73	3.18		843	36.70		1086	47.28		92	4.01		104	4.53		14	0.61		85	3.70		2297	
	SECOND			1	7.14		2	14.29		0	0.00		5	35.71		0	0.00			Excluded		6	42.86		14	
		TOTAL		74	3.22		845	36.79		1086	47.28		97	4.22		104	4.53					91	3.96		2297	
	THIRD			17	16.35		15	14.42		30	28.85		15	14.42			Excluded					27	25.96		104	
		TOTAL		91	3.96		860	37.44		1116	48.59		112	4.88								118	5.14		2297	
	FOURTH				Excluded		34	37.36		18	19.78		22	24.18								17	18.68		91	
		TOTAL					894	38.92		1134	49.37		134	5.83								135	5.88		2297	
	FIFTH						41	30.37		42	31.11		52	38.52									Excluded		135	
		TOTAL					935	40.71		1176	51.20		186	8.10											2297	
	SIXTH						97	52.15		89	47.85			Excluded											186	
		TOTAL					1032	44.93		1265	55.07														2297	
										Elected																
																										
Jingili                                                        																										
	FIRST			106	5.65		794	42.30		712	37.93		97	5.17		70	3.73		13	0.69		85	4.53		1877	
	SECOND			2	15.38		2	15.38		0	0.00		0	0.00		1	7.69			Excluded		8	61.54		13	
		TOTAL		108	5.75		796	42.41		712	37.93		97	5.17		71	3.78					93	4.95		1877	
	THIRD			12	16.90		10	14.08		19	26.76		7	9.86			Excluded					23	32.39		71	
		TOTAL		120	6.39		806	42.94		731	38.95		104	5.54								116	6.18		1877	
	FOURTH				Excluded		43	35.83		8	6.67		52	43.33								17	14.17		120	
		TOTAL					849	45.23		739	39.37		156	8.31								133	7.09		1877	
	FIFTH						35	26.32		34	25.56		64	48.12									Excluded		133	
		TOTAL					884	47.10		773	41.18		220	11.72											1877	
	SIXTH						149	67.73		71	32.27			Excluded											220	
		TOTAL					1033	55.03		844	44.97														1877	
										Elected																
																										
Karama                                                         																										
	FIRST			140	4.02		1561	44.87		1285	36.94		160	4.60		119	3.42		30	0.86		184	5.29		3479	
	SECOND			3	10.00		6	20.00		1	3.33		3	10.00		0	0.00			Excluded		17	56.67		30	
		TOTAL		143	4.11		1567	45.04		1286	36.96		163	4.69		119	3.42					201	5.78		3479	
	THIRD			10	8.40		21	17.65		43	36.13		8	6.72			Excluded					37	31.09		119	
