General Information - 2001 Election: Queensland			
Polling Places			
			
Polling Place Name	Premises	Address	Suburb
			
Blair			
Amberley	Amberley State School	73 Rosewood Rd	AMBERLEY
Blackbutt	Blackbutt State School	Crofton St	BLACKBUTT
Blair School	Blair State Preschool	Cribb St	SADLIERS CROSSING
Blenheim	Blenheim State School	Mount Berryman Rd	BLENHEIM
Brassall	Brassall Congregational Church Hall	3 Jellicoe St	BRASSALL
Brassall School	Ipswich State High School	Hunter St	BRASSALL
Brisbane City (Blair)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Brooklands	Assembly of God Hall	Cnr Pimpimbudgee & Tarong Rds	BROOKLANDS
Churchill (Blair)	Churchill State School	Warwick Rd	CHURCHILL
Coolabunia	Coolabunia State School	D'Aguilar Hwy	COOLABUNIA
Coominya	Coominya State School	Cnr Main & Cornhill Sts	COOMINYA
Cooyar	Cooyar State School	Gracey St	COOYAR
Crows Nest	Crows Nest Uniting Church Hall	19 Emu Creek Road	CROWS NEST
Esk	Esk Lyceum Hall	Highland St	ESK
Fernvale	Fernvale State Preschool	Brisbane Valley Hwy	FERNVALE
Flagstone Creek	Flagstone Creek State School	Flagstone Creek School Rd	FLAGSTONE CREEK
Forest Hill	Forest Hill State School	11 Church St	FOREST HILL
Gatton	Gatton Peace Lutheran Memorial Hall	East St	GATTON
Gatton South	Lockyer District State High School	William St	GATTON
Glamorgan Vale	Glamorgan Vale State School	Glamorgan Vale Rd	GLAMORGAN VALE
Glenore Grove	Glenore Grove State School	Brightview Rd	GLENORE GROVE
Grandchester	Grandchester State School	School Rd	GRANDCHESTER
Grantham	Grantham State School	Victor St	GRANTHAM
Haden	Haden State School	Crows Nest Rd	HADEN
Haigslea	Haigslea State School	Thagoona Haigslea Rd	HAIGSLEA
Hatton Vale	Hatton Vale State School	Hannant Rd	HATTON VALE
Helidon	Helidon State School	16 School St	HELIDON
Inverlaw	Inverlaw Farmers Hall	Kingaroy-Burrandowan Rd	INVERLAW
Jimna	Jimna State School	Main St	JIMNA
Karalee	Karalee State School	A Summervilles Rd	KARALEE
Karana Downs	Mount Crosby State School	Mt Crosby Rd	KARANA DOWNS
Kentville	Kentville State School	Kentville Rd	KENTVILLE
Kilcoy	Kilcoy District Sports Centre	Hope St	KILCOY
Kingaroy	Kingaroy State High School	Toomey Street	KINGAROY
Kumbia	Kumbia State School	Bell St	KUMBIA
Laidley	Laidley District State School	232 Patrick St	LAIDLEY
Lake Clarendon	Lake Clarendon State School	Lake Clarendon Rd	LAKE CLARENDON
Lawes	University of Qld Gatton Campus	Warrego Hwy	LAWES
Leichhardt	Avon Hall	22 Old Toowoomba Rd	ONE MILE
Leichhardt School	Leichhardt State Preschool	Larsen St	LEICHHARDT
Lowood	Lowood State School	Peace St	LOWOOD
Maidenwell	Maidenwell Hall	Cooyar Rd	MAIDENWELL
Ma Ma Creek	Ma Ma Creek State School	Gatton-Clifton Rd	MA MA CREEK
Marburg	Marburg State Preschool	Louisa St	MARBURG
Memerambi	Memerambi State School	Corndale Rd	MEMERAMBI
Minden	Minden State School	Lowood-Minden Rd	MINDEN
Moore	Moore Soldiers Memorial Hall	D'Aguilar Hwy	MOORE
Mount Kilcoy	Mount Kilcoy State School	Jenkinsons Rd	MOUNT KILCOY
Mount Sylvia	Mount Sylvia State School	Primary Branch Rd	MOUNT SYLVIA
Mount Tarampa	Mount Tarampa State School	Profkes Rd	MOUNT TARAMPA
Murphys Creek	Murphys Creek State School	Murphys Creek Rd	MURPHYS CREEK
Mutdapilly	Mutdapilly State School	Cunningham Hwy	MUTDAPILLY
Nanango	Nanango State High School	54 Elk St	NANANGO
North Ipswich	North Ipswich State School	Fitzgibbon St	NORTH IPSWICH
Perseverance	Perseverance Public Hall	Esk-Hampton Rd	PERSEVERANCE
Pine Mountain	Pine Mountain Public Hall	Pine Montain Rd	PINE MOUNTAIN
Rosevale	Rosevale State School	Lot 50 Rosevale-Aratula Rd	ROSEVALE
Rosewood	Rosewood State High School	Lanefield Rd	ROSEWOOD
St Josephs	St Josephs School	Pine Mountain Rd	NORTH IPSWICH
Somerset Dam	Somerset Dam State School	First Ave	SOMERSET DAM
Stockyard Creek	Stockyard Creek Public Hall	Stockyard Creek Rd	STOCKYARD
Taabinga	Taabinga State School	Railway Tce	KINGAROY
Tarampa	Tarampa State School	Manthey Rd	TARAMPA
Thornton	Thornton State School	Thornton School Rd	THORNTON
Tivoli	Tivoli State Preschool	Mount Crosby Rd	TIVOLI
Toogoolawah	Toogoolawah R.S.L. Hall	Cairnscroft St	TOOGOOLAWAH
Upper Tenthill	Upper Tenthill State School	School Rd	UPPER TENTHILL
Walloon	Walloon State School	Karrabin-Rosewood Rd	WALLOON
Warrill View	Warrill View State School	Cunningham Hwy	WARRILL VIEW
Withcott	Withcott State School	Biggs Rd	WITHCOTT
Yarraman	Yarraman State Preschool	17 John St	YARRAMAN


Bowman			
Alexandra Hills	Alexandra Hills State Primary School	12 Princeton Ave	ALEXANDRA HILLS
Alexandra Park	Alexandra Hills High School	Windemere Rd	ALEXANDRA HILLS
Amity Point	Amity Point Public Hall	Ballow St	AMITY POINT
Birkdale	Birkdale State School	74 Agnes St	BIRKDALE
Birkdale South	Birkdale South State School	451 Old Cleveland Rd E	BIRKDALE
Brisbane City (Bowman)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
Capalaba	Capalaba High School	School Rd	CAPALABA
Capalaba School (Bowman)	Capalaba State Primary School	150 Mt Cotton Rd	CAPALABA
Cleveland	Cleveland District High School	Russell St	CLEVELAND
Cleveland School	Cleveland State School	Queen St	CLEVELAND
Coolnwynpin	Coolnwynpin State School	6 Telaska Ct	CAPALABA
Dunwich	Dunwich State School & Secondary Dept	Bingle Rd	DUNWICH
Gumdale (Bowman)	Gumdale Progress Hall	737 New Cleveland Rd	GUMDALE
Hemmant	Hemmant Community Hall	Hemmant and Tingalpa Rd	HEMMANT
Hilliard	Hilliard State Preschool	Cnr Alexandra Crct & Hanover Dr	ALEXANDRA HILLS
Lake Sherrin	Leona Kyling Memorial Hall	350 Boundary Rd	THORNLANDS
Lindum	Uniting Church Hall	176 Sibley Rd	WYNNUM WEST
Lota	Police Citizens Youth Club	MacDonald St	LOTA
Manly	Manly-Lota RSL Memorial Hall	184 Melville Tce	MANLY
Manly School	Manly State School	63 Ernest St	MANLY
Manly West	Silky Oaks Child Care Centre	218 Manly Rd	MANLY WEST
Ormiston	Ormiston State School	Gordon St	ORMISTON
Point Lookout	North Stradbroke Masonic Club	East Coast Rd	POINT LOOKOUT
Roles Hill	Wynnum-Manly Alliance Church Hall	60 Preston Rd	MANLY WEST
Tangalooma	Tangalooma Island Resort		MORETON ISLAND
Thorneside	Thorneside Uniting Church Hall	John St	THORNESIDE
Thornlands	Thornlands State School	Panorama Dr	THORNLANDS
Vienna Woods	Vienna Woods State School	12 Heffernan Rd	ALEXANDRA HILLS
Wellington Point	Wellington Point State Primary School	476 Main Rd	WELLINGTON POINT
Wellington Point High	Wellington Point High School	Badgen Rd	WELLINGTON POINT
Wondall Heights (Bowman)	Wondall Heights State School	260 Wondall Rd	WYNNUM WEST
Wynnum	Guardian Angels Parish Hall	188 Bay Tce	WYNNUM
Wynnum Central	St Peters Anglican Church Hall	86 Bride St	WYNNUM
Wynnum North	Wynnum North State School	Prospect St	WYNNUM
Wynnum North High	Wynnum North State High School	2287 Wynnum Rd	WYNNUM
Wynnum West	Wynnum West State School	2036 Wynnum Rd	WYNNUM WEST


Brisbane  			
Alderley	Alderley Kindergarten	76 South Pine Rd	ALDERLEY
Ashgrove	St Finbarr's Church Hall	202 Waterworks Rd	ASHGROVE
Ashgrove West	Ashgrove State School	31 Glory St	ASHGROVE
Auchenflower	Qld Scout Centre	32 Dixon St	AUCHENFLOWER
Ballymore	Kindyland Pre School	18 Dunsmore St	KELVIN GROVE
Bardon	St Joseph's School	The Drive	BARDON
Brisbane City (Brisbane)	Brisbane City Hall	64 Adelaide St	BRISBANE CITY
