House of Representatives - 2001 Election: Queensland																																										
First Preference Votes and TCP																																										
By Candidate by Polling Place																																										
Blair (76853)																																										
																																										
		KYSON			# THOMPSON			MCKENZIE			TURNER			RYAN			WENDT			JOHNSTON			COSGROVE			FORMAL			INFORMAL			TOTAL										
		Phil			Cameron P			Neal R			Gary			Dan			Wayne			Selwyn			Lindsay David												Two Candidate Preferred							
		GRN			LP			DEM			HAN			IND			ALP			IND			CEC												# THOMPSON LP			 WENDT ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Amberley	11	2.03		262	48.34		33	6.09		83	15.31		5	0.92		136	25.09		9	1.66		3	0.55		542	94.26		33	5.74		575	0.78		341	62.92		201	37.08			
	Blackbutt	42	4.19		401	39.98		14	1.40		191	19.04		18	1.79		288	28.71		46	4.59		3	0.30		1003	93.30		72	6.70		1075	1.46		519	51.74		484	48.26			
	Blair School	60	3.62		610	36.84		71	4.29		168	10.14		16	0.97		700	42.27		26	1.57		5	0.30		1656	94.25		101	5.75		1757	2.39		768	46.38		888	53.62			
	Blenheim	5	1.75		126	44.06		6	2.10		70	24.48		14	4.90		59	20.63		4	1.40		2	0.70		286	94.70		16	5.30		302	0.41		181	63.29		105	36.71			
	Brassall	33	2.19		631	41.87		43	2.85		170	11.28		10	0.66		591	39.22		26	1.73		3	0.20		1507	93.78		100	6.22		1607	2.19		745	49.44		762	50.56			
	Brassall School	89	3.78		923	39.19		98	4.16		296	12.57		22	0.93		886	37.62		29	1.23		12	0.51		2355	93.97		151	6.03		2506	3.41		1169	49.64		1186	50.36			
	Brisbane City (Blair)	8	11.27		31	43.66		8	11.27		2	2.82		0	0.00		20	28.17		2	2.82		0	0.00		71	95.95		3	4.05		74	0.10		39	54.93		32	45.07			
	Brooklands	0	0.00		65	38.92		4	2.40		49	29.34		1	0.60		31	18.56		15	8.98		2	1.20		167	98.82		2	1.18		169	0.23		98	58.68		69	41.32
	Churchill (Blair)	32	2.52		433	34.09		58	4.57		180	14.17		14	1.10		528	41.57		18	1.42		7	0.55		1270	93.87		83	6.13		1353	1.84		570	44.88		700	55.12
	Coolabunia	7	2.05		222	65.10		3	0.88		52	15.25		0	0.00		35	10.26		22	6.45		0	0.00		341	95.52		16	4.48		357	0.49		260	76.25		81	23.75
