House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							
Brisbane (95781)																																							
		MONSOUR			JANSEN			NIELSEN			LAVELLE			EKERT			DEWAR			# BEVIS			FORMAL			INFORMAL			TOTAL										
		Seb			P R			Richard			Ashley			Sue			Damian			Arch												Two Candidate Preferred							
		LP			HAN			GRN						NP			DEM			ALP												 MONSOUR LP			# BEVIS ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Alderley	722	37.72		46	2.40		82	4.28		20	1.04		50	2.61		149	7.78		845	44.15		1914	95.18		97	4.82		2011	2.26		863	45.09		1051	54.91			
	Ashgrove	1331	42.52		54	1.73		214	6.84		34	1.09		76	2.43		305	9.74		1116	35.65		3130	96.22		123	3.78		3253	3.65		1582	50.54		1548	49.46			
	Ashgrove West	984	45.81		32	1.49		122	5.68		24	1.12		60	2.79		178	8.29		748	34.82		2148	97.55		54	2.45		2202	2.47		1131	52.65		1017	47.35			
	Auchenflower	685	42.28		25	1.54		126	7.78		24	1.48		62	3.83		185	11.42		513	31.67		1620	97.01		50	2.99		1670	1.88		850	52.47		770	47.53			
	Ballymore	217	39.82		12	2.20		36	6.61		5	0.92		14	2.57		30	5.50		231	42.39		545	96.12		22	3.88		567	0.64		265	48.62		280	51.38			
	Bardon	560	42.55		19	1.44		110	8.36		9	0.68		32	2.43		119	9.04		467	35.49		1316	97.55		33	2.45		1349	1.51		646	49.09		670	50.91			
	Brisbane City (Brisbane)	806	37.33		37	1.71		203	9.40		27	1.25		50	2.32		310	14.36		726	33.63		2159	96.08		88	3.92		2247	2.52		1003	46.46		1156	53.54			
	Buranda	172	28.76		35	5.85		54	9.03		8	1.34		20	3.34		51	8.53		258	43.14		598	93.00		45	7.00		643	0.72		247	41.30		351	58.70			
	Dorrington	515	43.35		31	2.61		57	4.80		13	1.09		16	1.35		94	7.91		462	38.89		1188	96.66		41	3.34		1229	1.38		597	50.25		591	49.75
	Dutton Park	281	27.99		11	1.10		111	11.06		23	2.29		18	1.79		74	7.37		486	48.41		1004	95.53		47	4.47		1051	1.18		344	34.26		660	65.74
	East Brisbane	956	38.83		56	2.27		170	6.90		37	1.50		72	2.92		211	8.57		960	38.99		2462	95.57		114	4.43		2576	2.89		1161	47.16		1301	52.84
	Enoggera	488	41.96		42	3.61		65	5.59		6	0.52		21	1.81		104	8.94		437	37.58		1163	97.16		34	2.84		1197	1.34		588	50.56		575	49.44
	Ferny Grove (Brisbane)	100	42.19		10	4.22		10	4.22		1	0.42		10	4.22		9	3.80		97	40.93		237	92.94		18	7.06		255	0.29		123	51.90		114	48.10
	Fortitude Valley	213	37.43		16	2.81		42	7.38		6	1.05		14	2.46		57	10.02		221	38.84		569	93.74		38	6.26		607	0.68		259	45.52		310	54.48
	Gaythorne	426	34.95		22	1.80		45	3.69		5	0.41		27	2.21		88	7.22		606	49.71		1219	96.21		48	3.79		1267	1.42		510	41.84		709	58.16
	Grange	346	39.59		24	2.75		39	4.46		2	0.23		19	2.17		66	7.55		378	43.25		874	97.00		27	3.00		901	1.01		405	46.34		469	53.66
