House of Representatives - 2001 Election: Queensland																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													
Capricornia (81499)																																													
		GILLHAM			CLARKE			LEVER			SCHUBACK			MURPHY			JOHNS			TAYLOR			MUIR			# LIVERMORE			FORMAL			INFORMAL			TOTAL										
		Ray			Herb			John			Peter			John Joseph			Naomi			Lea			Bob			Kirsten												Two Candidate Preferred							
		CEC			HAN			NP			IND			IND			DEM			LP			GRN			ALP												 LEVER NP			# LIVERMORE ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Allenstown	14	0.63		146	6.57		468	21.07		12	0.54		4	0.18		42	1.89		382	17.20		26	1.17		1127	50.74		2221	96.44		82	3.56		2303	2.96		937	42.19		1284	57.81			
	Alpha	3	0.92		46	14.11		125	38.34		4	1.23		5	1.53		2	0.61		42	12.88		2	0.61		97	29.75		326	95.04		17	4.96		343	0.44		206	63.19		120	36.81			
	Alton Downs	2	0.42		46	9.66		163	34.24		3	0.63		0	0.00		7	1.47		83	17.44		1	0.21		171	35.92		476	95.39		23	4.61		499	0.64		276	57.98		200	42.02			
	Applegarth	0	0.00		11	6.47		37	21.76		1	0.59		0	0.00		0	0.00		27	15.88		2	1.18		92	54.12		170	96.05		7	3.95		177	0.23		66	38.82		104	61.18			
	Aramac	5	2.03		34	13.82		62	25.20		1	0.41		0	0.00		1	0.41		41	16.67		4	1.63		98	39.84		246	93.54		17	6.46		263	0.34		128	52.03		118	47.97			
	Archer Park	3	0.45		66	9.92		116	17.44		3	0.45		6	0.90		7	1.05		97	14.59		5	0.75		362	54.44		665	96.52		24	3.48		689	0.89		252	37.89		413	62.11			
	Barcaldine	4	0.50		54	6.74		130	16.23		3	0.37		5	0.62		7	0.87		117	14.61		10	1.25		471	58.80		801	97.09		24	2.91		825	1.06		279	34.83		522	65.17			
	Berserker	10	0.45		153	6.89		306	13.79		25	1.13		10	0.45		34	1.53		319	14.38		34	1.53		1328	59.85		2219	95.89		95	4.11		2314	2.97		711	32.04		1508	67.96			
	Bouldercombe	5	1.07		60	12.82		98	20.94		15	3.21		6	1.28		7	1.50		69	14.74		7	1.50		201	42.95		468	94.93		25	5.07		493	0.63		213	45.51		255	54.49
	Brisbane City (Capricornia)	0	0.00		4	3.33		22	18.33		2	1.67		0	0.00		5	4.17		42	35.00		2	1.67		43	35.83		120	96.77		4	3.23		124	0.16		65	54.17		55	45.83
	Burnett Street	1	0.17		36	5.94		123	20.30		5	0.83		4	0.66		8	1.32		69	11.39		2	0.33		358	59.08		606	94.69		34	5.31		640	0.82		218	35.97		388	64.03
	Capella	2	0.34		62	10.54		229	38.95		7	1.19		0	0.00		8	1.36		132	22.45		3	0.51		145	24.66		588	96.87		19	3.13		607	0.78		402	68.37		186	31.63
	Cawarral	3	0.47		76	11.88		175	27.34		3	0.47		4	0.63		6	0.94		89	13.91		16	2.50		268	41.88		640	94.53		37	5.47		677	0.87		310	48.44		330	51.56
	Clermont	10	0.75		119	8.97		312	23.53		10	0.75		8	0.60		13	0.98		276	20.81		8	0.60		570	42.99		1326	97.14		39	2.86		1365	1.75		666	50.23		660	49.77
	Collinsville	19	1.75		64	5.90		51	4.70		4	0.37		6	0.55		23	2.12		155	14.30		2	0.18		760	70.11		1084	96.27		42	3.73		1126	1.45		253	23.34		831	76.66
	Coppabella	3	2.40		5	4.00		23	18.40		0	0.00		2	1.60		2	1.60		10	8.00		0	0.00		80	64.00		125	98.43		2	1.57		127	0.16		36	28.80		89	71.20
	Crescent Lagoon	5	0.45		74	6.60		185	16.50		3	0.27		2	0.18		31	2.77		181	16.15		13	1.16		627	55.93		1121	96.64		39	3.36		1160	1.49		395	35.24		726	64.76
	Depot Hill	5	0.90		63	11.37		50	9.03		2	0.36		2	0.36		5	0.90		47	8.48		6	1.08		374	67.51		554	94.06		35	5.94		589	0.76		132	23.83		422	76.17
