House of Representatives - 2001 Election: Queensland																																													
First Preference Votes and TCP 																																													
By Candidate by Polling Place																																													
Dickson (88001)																																													
		HYLAND			KERNOT			TURNER			# DUTTON			KIMLIN			WHITNEY			KRAMER			KESSELS			BARNES			FORMAL			INFORMAL			TOTAL										
		Terry			Cheryl			Shayne			Peter			Gary			Wayne			Paul			Colin			J F												Two Candidate Preferred							
		IND			ALP			DEM			LP			ORP			HAN			GRN			IND			IND												 KERNOT ALP			# DUTTON LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Albany Creek	47	1.19		1213	30.72		168	4.25		2046	51.81		31	0.79		124	3.14		87	2.20		225	5.70		8	0.20		3949	93.85		259	6.15		4208	4.97		1557	39.43		2392	60.57			
	Albany Creek South	41	0.96		1091	25.67		228	5.36		2443	57.48		33	0.78		75	1.76		73	1.72		257	6.05		9	0.21		4250	94.57		244	5.43		4494	5.31		1423	33.48		2827	66.52			
	Arana Hills	27	1.56		611	35.28		129	7.45		743	42.90		12	0.69		37	2.14		58	3.35		110	6.35		5	0.29		1732	96.92		55	3.08		1787	2.11		826	47.69		906	52.31			
	Bray Park	104	2.47		1786	42.38		224	5.32		1530	36.31		20	0.47		144	3.42		82	1.95		301	7.14		23	0.55		4214	92.47		343	7.53		4557	5.39		2252	53.44		1962	46.56			
	Brisbane City (Dickson)	4	1.90		66	31.43		13	6.19		89	42.38		1	0.48		5	2.38		12	5.71		17	8.10		3	1.43		210	95.45		10	4.55		220	0.26		98	46.67		112	53.33			
	Closeburn	7	1.07		143	21.93		24	3.68		354	54.29		2	0.31		19	2.91		62	9.51		39	5.98		2	0.31		652	94.77		36	5.23		688	0.81		214	32.82		438	67.18			
	Dakabin	7	0.83		299	35.55		43	5.11		334	39.71		6	0.71		37	4.40		30	3.57		83	9.87		2	0.24		841	93.13		62	6.87		903	1.07		396	47.09		445	52.91			
	Dayboro	19	1.26		359	23.76		47	3.11		775	51.29		10	0.66		58	3.84		130	8.60		108	7.15		5	0.33		1511	92.59		121	7.41		1632	1.93		555	36.73		956	63.27			
	Eatons Hill	30	0.74		988	24.46		233	5.77		2237	55.37		18	0.45		83	2.05		146	3.61		295	7.30		10	0.25		4040	95.24		202	4.76		4242	5.01		1373	33.99		2667	66.01
	Everton Hills	44	1.60		858	31.13		186	6.75		1304	47.31		17	0.62		73	2.65		81	2.94		182	6.60		11	0.40		2756	97.11		82	2.89		2838	3.35		1146	41.58		1610	58.42
