House of Representatives - 2001 Election: Queensland																																	
First Preference Votes and TCP																																	
By Candidate by Polling Place																																	
Fadden (86004)																																	
		MERLEHAN			WOOLFORD			# JULL			COTTER			COYLE			FORMAL			INFORMAL			TOTAL										
		Ray			Julian			David Francis			Neil			Chris												Two Candidate Preferred							
		ALP			GRN			LP			DEM			HAN												 MERLEHAN ALP			# JULL LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Alberton	129	28.35		10	2.20		255	56.04		10	2.20		51	11.21		455	91.37		43	8.63		498	0.61		172	37.80		283	62.20			
	Biggera Waters	862	30.77		91	3.25		1499	53.52		97	3.46		252	9.00		2801	93.46		196	6.54		2997	3.69		1124	40.13		1677	59.87			
	Brisbane City (Fadden)	32	33.33		6	6.25		41	42.71		13	13.54		4	4.17		96	91.43		9	8.57		105	0.13		44	45.83		52	54.17			
	Canowindra (Fadden)	256	30.73		25	3.00		439	52.70		37	4.44		76	9.12		833	96.41		31	3.59		864	1.06		322	38.66		511	61.34			
	Capalaba School (Fadden)	172	30.66		20	3.57		311	55.44		29	5.17		29	5.17		561	96.89		18	3.11		579	0.71		219	39.04		342	60.96			
	Carbrook	262	31.76		20	2.42		464	56.24		18	2.18		61	7.39		825	93.86		54	6.14		879	1.08		306	37.09		519	62.91			
	Chatswood Hills	658	31.60		66	3.17		1148	55.14		115	5.52		95	4.56		2082	94.77		115	5.23		2197	2.70		819	39.34		1263	60.66			
	Coochiemudlo Island	118	40.97		10	3.47		132	45.83		13	4.51		15	5.21		288	95.68		13	4.32		301	0.37		143	49.65		145	50.35			
	Coombabah	586	29.17		57	2.84		1138	56.65		52	2.59		176	8.76		2009	92.62		160	7.38		2169	2.67		751	37.38		1258	62.62
	Coombabah High	478	38.80		35	2.84		562	45.62		58	4.71		99	8.04		1232	93.69		83	6.31		1315	1.62		576	46.75		656	53.25
	Coomera (Fadden)	272	27.78		47	4.80		498	50.87		48	4.90		114	11.64		979	93.68		66	6.32		1045	1.29		390	39.84		589	60.16
	Cornubia (Fadden)	196	26.42		29	3.91		438	59.03		38	5.12		41	5.53		742	94.64		42	5.36		784	0.96		244	32.88		498	67.12
	Eight Mile Plains (Fadden)	611	34.10		69	3.85		916	51.12		89	4.97		107	5.97		1792	97.34		49	2.66		1841	2.26		754	42.08		1038	57.92
	Helensvale	770	29.70		77	2.97		1438	55.46		111	4.28		197	7.60		2593	92.97		196	7.03		2789	3.43		968	37.33		1625	62.67
	Helensvale North (Fadden)	806	25.91		85	2.73		1914	61.52		87	2.80		219	7.04		3111	92.67		246	7.33		3357	4.13		1024	32.92		2087	67.08
	Hope Island	263	17.55		42	2.80		1082	72.18		37	2.47		75	5.00		1499	94.51		87	5.49		1586	1.95		343	22.88		1156	77.12
