House of Representatives - 2001 Election: Queensland																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				
Fairfax (84217)																																				
		# SOMLYAY			JACKSON			MACKELLAR			RINGROSE			HENDERSON			PAULGER			FORMAL			INFORMAL			TOTAL										
		Alex			Karen			Jim			Joy			John			Shane Peter Stanley												Two Candidate Preferred							
		LP			DEM			HAN			GRN			ALP			IND												# SOMLYAY LP			 HENDERSON ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Amamoor	184	44.44		8	1.93		67	16.18		7	1.69		70	16.91		78	18.84		414	95.39		20	4.61		434	0.55		275	66.43		139	33.57			
	Bli Bli	1375	50.05		119	4.33		207	7.54		70	2.55		724	26.36		252	9.17		2747	94.85		149	5.15		2896	3.64		1670	60.79		1077	39.21			
	Boreen Point	108	32.93		15	4.57		37	11.28		38	11.59		98	29.88		32	9.76		328	95.07		17	4.93		345	0.43		150	45.73		178	54.27			
	Brisbane City (Fairfax)	53	61.63		1	1.16		4	4.65		8	9.30		15	17.44		5	5.81		86	96.63		3	3.37		89	0.11		62	72.09		24	27.91			
	Burnside	935	45.02		93	4.48		168	8.09		85	4.09		470	22.63		326	15.70		2077	96.02		86	3.98		2163	2.72		1221	58.79		856	41.21			
	Chatsworth	232	48.84		11	2.32		88	18.53		15	3.16		77	16.21		52	10.95		475	95.57		22	4.43		497	0.62		315	66.32		160	33.68			
	Coolum Beach	1534	40.40		307	8.09		208	5.48		321	8.45		1166	30.71		261	6.87		3797	95.04		198	4.96		3995	5.02		1934	50.93		1863	49.07			
	Coolum Beach North	191	43.12		31	7.00		15	3.39		27	6.09		149	33.63		30	6.77		443	96.51		16	3.49		459	0.58		227	51.24		216	48.76			
	Cooran	208	32.96		37	5.86		81	12.84		44	6.97		212	33.60		49	7.77		631	95.46		30	4.54		661	0.83		282	44.69		349	55.31
	Cooroy	1281	44.90		128	4.49		229	8.03		170	5.96		684	23.97		361	12.65		2853	97.21		82	2.79		2935	3.69		1658	58.11		1195	41.89
	Deep Creek	118	35.76		13	3.94		56	16.97		10	3.03		82	24.85		51	15.45		330	95.10		17	4.90		347	0.44		189	57.27		141	42.73
	Eumundi	757	41.43		80	4.38		126	6.90		210	11.49		443	24.25		211	11.55		1827	94.81		100	5.19		1927	2.42		995	54.46		832	45.54
	Federal	110	43.31		14	5.51		36	14.17		8	3.15		43	16.93		43	16.93		254	96.21		10	3.79		264	0.33		156	61.42		98	38.58
