House of Representatives - 2001 Election: Queensland																																				
First Preference Votes and TCP																																				
By Candidate by Polling Place																																				
Fisher (85315)																																				
		TANNOCK			ARMSTRONG			O'DONNELL			MCLEOD			# SLIPPER			HOURIGAN			FORMAL			INFORMAL			TOTAL										
		Bruce			Geoff			Ray			Tony			Peter			Ros												Two Candidate Preferred							
		HAN			DEM			ALP			GRN			LP			IND												 O'DONNELL ALP			# SLIPPER LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Alexandra Headland	34	5.69		25	4.18		124	20.74		29	4.85		297	49.67		89	14.88		598	97.55		15	2.45		613	0.76		213	35.62		385	64.38			
	Aroona	128	9.50		58	4.31		330	24.50		37	2.75		703	52.19		91	6.76		1347	95.40		65	4.60		1412	1.75		520	38.60		827	61.40			
	Arthur Street	36	8.76		6	1.46		124	30.17		25	6.08		201	48.91		19	4.62		411	97.16		12	2.84		423	0.52		171	41.61		240	58.39			
	Brisbane City (Fisher)	4	4.00		11	11.00		20	20.00		8	8.00		50	50.00		7	7.00		100	98.04		2	1.96		102	0.13		34	34.00		66	66.00			
	Buddina	343	8.66		139	3.51		1098	27.72		136	3.43		1943	49.05		302	7.62		3961	94.51		230	5.49		4191	5.18		1649	41.63		2312	58.37			
	Buderim	227	5.30		215	5.02		837	19.53		204	4.76		2421	56.50		381	8.89		4285	95.43		205	4.57		4490	5.55		1408	32.86		2877	67.14			
	Buderim Central	32	4.71		18	2.65		114	16.79		18	2.65		414	60.97		83	12.22		679	97.14		20	2.86		699	0.86		195	28.72		484	71.28			
	Buderim Garden Village	62	4.98		28	2.25		250	20.06		39	3.13		736	59.07		131	10.51		1246	95.77		55	4.23		1301	1.61		382	30.66		864	69.34			
	Buderim Immanuel Lutheran College	24	7.27		11	3.33		59	17.88		22	6.67		186	56.36		28	8.48		330	94.29		20	5.71		350	0.43		104	31.52		226	68.48
	Buderim North	89	6.42		30	2.16		309	22.29		27	1.95		780	56.28		151	10.89		1386	96.05		57	3.95		1443	1.78		475	34.27		911	65.73
	Buderim Pines	75	5.24		65	4.55		303	21.19		36	2.52		825	57.69		126	8.81		1430	94.95		76	5.05		1506	1.86		443	30.98		987	69.02
	Buderim South	32	3.54		42	4.65		148	16.39		26	2.88		563	62.35		92	10.19		903	95.56		42	4.44		945	1.17		231	25.58		672	74.42
	Caloundra	276	8.72		119	3.76		979	30.92		103	3.25		1530	48.33		159	5.02		3166	95.91		135	4.09		3301	4.08		1355	42.80		1811	57.20
	Caloundra West	56	8.89		28	4.44		196	31.11		29	4.60		293	46.51		28	4.44		630	97.22		18	2.78		648	0.80		294	46.67		336	53.33
	Cotton Tree	98	5.77		41	2.41		475	27.97		71	4.18		799	47.06		214	12.60		1698	96.15		68	3.85		1766	2.18		713	41.99		985	58.01
	Currimundi	265	7.84		137	4.05		1050	31.06		178	5.26		1593	47.12		158	4.67		3381	95.29		167	4.71		3548	4.39		1523	45.05		1858	54.95
	Currimundi West	181	7.65		98	4.14		707	29.88		63	2.66		1200	50.72		117	4.95		2366	94.98		125	5.02		2491	3.08		976	41.25		1390	58.75
	Diddillibah	54	7.10		33	4.34		156	20.50		40	5.26		395	51.91		83	10.91		761	93.15		56	6.85		817	1.01		280	36.79		481	63.21
	Eudlo	73	10.22		20	2.80		171	23.95		111	15.55		266	37.25		73	10.22		714	94.69		40	5.31		754	0.93		361	50.56		353	49.44
	Forest Glen	89	10.80		22	2.67		146	17.72		31	3.76		444	53.88		92	11.17		824	97.40		22	2.60		846	1.05		265	32.16		559	67.84
	Glenview	61	8.65		32	4.54		139	19.72		22	3.12		398	56.45		53	7.52		705	94.13		44	5.87		749	0.93		224	31.77		481	68.23
	Golden Beach	294	8.26		78	2.19		1042	29.27		95	2.67		1847	51.88		204	5.73		3560	94.45		209	5.55		3769	4.66		1454	40.84		2106	59.16
	Kawana Waters	241	8.67		105	3.78		813	29.23		88	3.16		1367	49.15		167	6.01		2781	93.29		200	6.71		2981	3.69		1164	41.86		1617	58.14
	Kuluin	156	9.17		63	3.70		476	27.98		74	4.35		774	45.50		158	9.29		1701	95.62		78	4.38		1779	2.20		723	42.50		978	57.50
	Little Mountain	148	10.24		57	3.94		329	22.75		36	2.49		803	55.53		73	5.05		1446	94.51		84	5.49		1530	1.89		501	34.65		945	65.35			
	Maroochydore	154	7.27		106	5.01		590	27.87		86	4.06		1007	47.57		174	8.22		2117	95.84		92	4.16		2209	2.73		878	41.47		1239	58.53			
	Maroochydore East	217	7.65		110	3.88		728	25.67		120	4.23		1354	47.74		307	10.83		2836	95.91		121	4.09		2957	3.66		1158	40.83		1678	59.17			
	Minyama	29	4.56		19	2.99		105	16.51		13	2.04		419	65.88		51	8.02		636	94.22		39	5.78		675	0.83		161	25.31		475	74.69			
	Mooloolaba	184	5.57		147	4.45		808	24.45		184	5.57		1711	51.77		271	8.20		3305	94.56		190	5.44		3495	4.32		1261	38.15		2044	61.85			
	Mooloolah	113	10.24		45	4.08		338	30.64		77	6.98		463	41.98		67	6.07		1103	94.60		63	5.40		1166	1.44		529	47.96		574	52.04			
	Mountain Creek	200	6.26		97	3.04		727	22.76		79	2.47		1819	56.95		272	8.52		3194	95.43		153	4.57		3347	4.14		1098	34.38		2096	65.62			
	Ocean View Avenue	56	5.48		42	4.11		227	22.23		48	4.70		517	50.64		131	12.83		1021	94.10		64	5.90		1085	1.34		382	37.41		639	62.59			
	Palmwoods	160	8.70		80	4.35		389	21.15		108	5.87		920	50.03		182	9.90		1839	94.74		102	5.26		1941	2.40		685	37.25		1154	62.75			
	Shelly Beach	74	5.35		48	3.47		399	28.85		49	3.54		730	52.78		83	6.00		1383	96.71		47	3.29		1430	1.77		541	39.12		842	60.88			
	Sippy Downs	100	5.81		57	3.31		443	25.74		44	2.56		920	53.46		157	9.12		1721	96.52		62	3.48		1783	2.20		622	36.14		1099	63.86			
	Warana	59	9.12		17	2.63		208	32.15		12	1.85		312	48.22		39	6.03		647	97.00		20	3.00		667	0.82		277	42.81		370	57.19			
	Woombye	138	8.48		47	2.89		366	22.48		92	5.65		840	51.60		145	8.91		1628	96.85		53	3.15		1681	2.08		578	35.50		1050	64.50			
	Wurtulla	100	10.85		23	2.49		273	29.61		20	2.17		432	46.85		74	8.03		922	95.45		44	4.55		966	1.19		405	43.93		517	56.07			
	Special Hospitals	18	5.45		6	1.82		92	27.88		6	1.82		193	58.48		15	4.55		330	94.83		18	5.17		348	0.43		121	36.67		209	63.33			
