House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							
Griffith (92367)																																							
		ROOKE			MCMAHON			WILSON			VASTA			RENDELL			GRAHAM			# RUDD			FORMAL			INFORMAL			TOTAL										
		Joseph			Edmund Gavin			Rob			Ross			David			Ann			Kevin												Two Candidate Preferred							
					HAN			GRN			LP			DEM			NP			ALP												 VASTA LP			# RUDD ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Balmoral	6	0.46		37	2.83		33	2.52		446	34.12		81	6.20		16	1.22		688	52.64		1307	95.82		57	4.18		1364	1.56		511	39.10		796	60.90			
	Belmont School	32	0.53		104	1.73		110	1.83		3035	50.47		170	2.83		81	1.35		2482	41.27		6014	95.45		287	4.55		6301	7.20		3287	54.66		2727	45.34			
	Brisbane City (Griffith)	5	1.15		10	2.30		34	7.82		134	30.80		44	10.11		5	1.15		203	46.67		435	93.55		30	6.45		465	0.53		172	39.54		263	60.46			
	Broadwater	0	0.00		13	4.08		2	0.63		108	33.86		12	3.76		11	3.45		173	54.23		319	97.55		8	2.45		327	0.37		126	39.50		193	60.50			
	Bulimba	16	0.44		58	1.59		168	4.60		1366	37.42		172	4.71		59	1.62		1811	49.62		3650	95.52		171	4.48		3821	4.37		1544	42.30		2106	57.70			
	Camp Hill	10	0.40		36	1.45		112	4.52		951	38.39		125	5.05		38	1.53		1205	48.65		2477	95.71		111	4.29		2588	2.96		1078	43.52		1399	56.48			
	Camp Hill High	7	0.35		52	2.62		59	2.98		837	42.23		96	4.84		36	1.82		895	45.16		1982	95.61		91	4.39		2073	2.37		933	47.07		1049	52.93			
	Cannon Hill	12	0.36		96	2.89		100	3.01		917	27.59		169	5.08		43	1.29		1987	59.78		3324	95.60		153	4.40		3477	3.97		1076	32.37		2248	67.63			
	Carina	17	0.78		70	3.23		43	1.98		688	31.71		106	4.88		45	2.07		1201	55.35		2170	96.32		83	3.68		2253	2.58		812	37.42		1358	62.58
	Carina Heights	19	0.73		81	3.10		69	2.64		947	36.26		111	4.25		39	1.49		1346	51.53		2612	95.57		121	4.43		2733	3.12		1080	41.35		1532	58.65
	Carindale	12	0.28		110	2.57		97	2.26		1717	40.08		145	3.38		76	1.77		2127	49.65		4284	94.88		231	5.12		4515	5.16		1945	45.40		2339	54.60
	Cavendish Road	11	0.64		42	2.45		75	4.37		654	38.11		82	4.78		29	1.69		823	47.96		1716	96.03		71	3.97		1787	2.04		757	44.11		959	55.89
	Chatsworth Road	5	0.30		28	1.66		73	4.33		826	49.02		80	4.75		26	1.54		647	38.40		1685	98.19		31	1.81		1716	1.96		895	53.12		790	46.88
	Coorparoo	25	0.83		62	2.06		170	5.64		1028	34.10		206	6.83		58	1.92		1466	48.62		3015	95.08		156	4.92		3171	3.63		1239	41.09		1776	58.91
	Coorparoo South	7	0.81		13	1.51		37	4.29		361	41.83		40	4.63		15	1.74		390	45.19		863	96.10		35	3.90		898	1.03		406	47.05		457	52.95
	Greenmeadows	2	0.19		22	2.14		17	1.65		524	50.97		25	2.43		28	2.72		410	39.88		1028	95.99		43	4.01		1071	1.22		584	56.81		444	43.19
	Greenslopes School (Griffith)	13	1.12		31	2.68		64	5.54		403	34.86		93	8.04		22	1.90		530	45.85		1156	94.06		73	5.94		1229	1.40		475	41.09		681	58.91
	Gumdale (Griffith)	10	0.46		101	4.60		55	2.51		1039	47.36		66	3.01		52	2.37		871	39.70		2194	95.06		114	4.94		2308	2.64		1194	54.42		1000	45.58
	Holland Park (Griffith)	2	0.59		11	3.24		18	5.29		143	42.06		16	4.71		8	2.35		142	41.76		340	91.89		30	8.11		370	0.42		167	49.12		173	50.88
	Holland Park School	3	0.25		25	2.10		49	4.12		532	44.71		52	4.37		26	2.18		503	42.27		1190	95.51		56	4.49		1246	1.42		608	51.09		582	48.91
	Majestic Park	4	0.46		12	1.39		21	2.43		483	55.97		19	2.20		11	1.27		313	36.27		863	98.29		15	1.71		878	1.00		510	59.10		353	40.90
	Mansfield (Griffith)	26	0.87		58	1.95		54	1.82		1388	46.67		115	3.87		66	2.22		1267	42.60		2974	95.87		128	4.13		3102	3.55		1549	52.08		1425	47.92
