House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Places																																							
Groom (84838)																																							
		KANE			WUERSCHING			HOY			# MACFARLANE			KING			BERRY			EYRES			FORMAL			INFORMAL			TOTAL										
		Michael			Barbara			David			Ian			Leeann			Rob			Stephen												Two Candidate Preferred							
		GRN			NP			HAN			LP			ALP			IND			DEM												# MACFARLANE LP			 KING ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Acland	3	1.63		40	21.74		34	18.48		63	34.24		28	15.22		14	7.61		2	1.09		184	93.40		13	6.60		197	0.24		120	65.22		64	34.78			
	Baker Street	29	6.18		36	7.68		20	4.26		234	49.89		123	26.23		6	1.28		21	4.48		469	96.90		15	3.10		484	0.60		292	62.26		177	37.74			
	Biddeston	4	1.12		87	24.44		36	10.11		165	46.35		37	10.39		25	7.02		2	0.56		356	96.22		14	3.78		370	0.46		281	78.93		75	21.07			
	Bongeen	0	0.00		49	42.98		13	11.40		40	35.09		3	2.63		8	7.02		1	0.88		114	98.28		2	1.72		116	0.14		109	95.61		5	4.39			
	Bowenville	4	2.31		46	26.59		22	12.72		72	41.62		13	7.51		15	8.67		1	0.58		173	93.01		13	6.99		186	0.23		143	82.66		30	17.34			
	Brisbane City (Groom)	5	6.10		10	12.20		5	6.10		32	39.02		18	21.95		1	1.22		11	13.41		82	96.47		3	3.53		85	0.11		52	63.41		30	36.59			
	Brookstead	3	2.01		55	36.91		22	14.77		55	36.91		14	9.40		0	0.00		0	0.00		149	95.51		7	4.49		156	0.19		121	81.21		28	18.79			
	Cambooya	16	2.35		92	13.49		115	16.86		315	46.19		115	16.86		15	2.20		14	2.05		682	96.46		25	3.54		707	0.87		488	71.55		194	28.45			
	Charlton	17	2.80		85	14.00		60	9.88		315	51.89		93	15.32		22	3.62		15	2.47		607	96.20		24	3.80		631	0.78		452	74.46		155	25.54
	Clifton	17	2.13		84	10.54		137	17.19		392	49.18		124	15.56		24	3.01		19	2.38		797	96.37		30	3.63		827	1.02		568	71.27		229	28.73
	Darling Heights	145	4.55		279	8.76		203	6.37		1536	48.23		782	24.55		86	2.70		154	4.84		3185	96.40		119	3.60		3304	4.09		2072	65.05		1113	34.95
	Drayton	38	2.56		172	11.57		173	11.64		682	45.90		338	22.75		51	3.43		32	2.15		1486	97.38		40	2.62		1526	1.89		967	65.07		519	34.93
	Fairview Heights	24	2.40		108	10.81		70	7.01		491	49.15		249	24.92		28	2.80		29	2.90		999	96.62		35	3.38		1034	1.28		659	65.97		340	34.03
	Felton East	0	0.00		40	28.17		16	11.27		76	53.52		5	3.52		4	2.82		1	0.70		142	99.30		1	0.70		143	0.18		128	90.14		14	9.86
	Gabbinbar	64	3.49		204	11.12		101	5.50		1023	55.75		357	19.46		36	1.96		50	2.72		1835	96.88		59	3.12		1894	2.34		1306	71.17		529	28.83
	Geham	13	3.37		54	13.99		57	14.77		158	40.93		63	16.32		24	6.22		17	4.40		386	95.54		18	4.46		404	0.50		246	63.73		140	36.27
	Glenvale	44	2.28		203	10.53		186	9.65		1031	53.50		358	18.58		60	3.11		45	2.34		1927	96.40		72	3.60		1999	2.47		1380	71.61		547	28.39
	Goombungee	11	1.76		142	22.72		70	11.20		236	37.76		131	20.96		24	3.84		11	1.76		625	95.57		29	4.43		654	0.81		418	66.88		207	33.12
	Gowrie	21	2.77		114	15.04		87	11.48		364	48.02		102	13.46		55	7.26		15	1.98		758	95.71		34	4.29		792	0.98		546	72.03		212	27.97
	Greenmount East	6	1.41		63	14.79		76	17.84		209	49.06		47	11.03		21	4.93		4	0.94		426	95.09		22	4.91		448	0.55		298	69.95		128	30.05
	Harlaxton	75	4.64		133	8.23		146	9.03		708	43.78		445	27.52		49	3.03		61	3.77		1617	95.85		70	4.15		1687	2.09		961	59.43		656	40.57
	Harlaxton North	11	4.44		11	4.44		21	8.47		96	38.71		102	41.13		3	1.21		4	1.61		248	94.30		15	5.70		263	0.33		124	50.00		124	50.00
	Harristown	116	4.23		228	8.31		278	10.13		1186	43.21		747	27.21		71	2.59		119	4.34		2745	96.42		102	3.58		2847	3.52		1659	60.44		1086	39.56
