House of Representatives - 2001 Election: Queensland 																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							
Kennedy (84739)																																							
																																							
		WALL			RIVAS			NEILAN			LYLE			HARRIS			# KATTER			BURNETT			FORMAL			INFORMAL			TOTAL										
		Jo			Cherie			Alan			Mary			Judith			Bob			Jerry												Two Candidate Preferred							
		DEM			GRN			ALP			NP			CEC			IND			HAN												 NEILAN ALP			# KATTER IND				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Abergowrie	2	1.03		1	0.51		19	9.74		38	19.49		0	0.00		118	60.51		17	8.72		195	95.59		9	4.41		204	0.26		25	12.82		170	87.18			
	Aloomba	3	1.16		3	1.16		57	22.09		61	23.64		1	0.39		104	40.31		29	11.24		258	93.48		18	6.52		276	0.35		70	27.13		188	72.87			
	Atherton	83	3.59		54	2.33		485	20.96		372	16.08		8	0.35		1047	45.25		265	11.45		2314	95.42		111	4.58		2425	3.06		664	28.69		1650	71.31			
	Atherton North	35	3.40		16	1.55		192	18.64		215	20.87		2	0.19		471	45.73		99	9.61		1030	95.37		50	4.63		1080	1.36		266	25.83		764	74.17			
	Babinda	24	2.92		11	1.34		256	31.11		77	9.36		4	0.49		344	41.80		107	13.00		823	94.60		47	5.40		870	1.10		307	37.30		516	62.70			
	Bambaroo	7	3.41		3	1.46		25	12.20		32	15.61		2	0.98		117	57.07		19	9.27		205	93.61		14	6.39		219	0.28		41	20.00		164	80.00			
	Bellenden Ker	4	3.42		6	5.13		11	9.40		19	16.24		0	0.00		68	58.12		9	7.69		117	99.15		1	0.85		118	0.15		19	16.24		98	83.76			
	Biboohra	6	2.26		6	2.26		32	12.08		20	7.55		2	0.75		162	61.13		37	13.96		265	94.31		16	5.69		281	0.35		49	18.49		216	81.51
	Bluewater	32	2.33		42	3.06		408	29.72		264	19.23		2	0.15		466	33.94		159	11.58		1373	94.23		84	5.77		1457	1.84		526	38.31		847	61.69
	Boulia	3	1.69		29	16.38		52	29.38		22	12.43		0	0.00		61	34.46		10	5.65		177	98.88		2	1.12		179	0.23		73	41.24		104	58.76
