House of Representatives - 2001 Election: Queensland																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				
Leichhardt (85689)																																				
		EAST			# ENTSCH			TREZISE			METCALFE			PUGH			SALIER			FORMAL			INFORMAL			TOTAL										
		Thomas James			Warren			Matt			Jonathan			Rata Hami			Harold												Two Candidate Preferred							
		HAN			LP			ALP			GRN			IND			DEM												# ENTSCH LP			 TREZISE ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Alexandra Bay	32	12.08		109	41.13		64	24.15		42	15.85		1	0.38		17	6.42		265	92.66		21	7.34		286	0.36		133	50.19		132	49.81			
	Aurukun	55	10.93		86	17.10		329	65.41		11	2.19		4	0.80		18	3.58		503	90.31		54	9.69		557	0.71		146	29.03		357	70.97			
	Balaclava	223	9.49		1128	47.98		820	34.88		94	4.00		17	0.72		69	2.93		2351	92.71		185	7.29		2536	3.21		1296	55.13		1055	44.87			
	Bamaga	17	4.42		101	26.23		247	64.16		11	2.86		2	0.52		7	1.82		385	96.98		12	3.02		397	0.50		116	30.13		269	69.87			
	Bloomfield	20	9.66		65	31.40		100	48.31		12	5.80		2	0.97		8	3.86		207	90.00		23	10.00		230	0.29		85	41.06		122	58.94			
	Brinsmead	96	7.12		827	61.30		316	23.42		56	4.15		12	0.89		42	3.11		1349	94.27		82	5.73		1431	1.81		929	68.87		420	31.13			
	Brisbane City (Leichhardt)	2	3.17		29	46.03		19	30.16		5	7.94		3	4.76		5	7.94		63	98.44		1	1.56		64	0.08		35	55.56		28	44.44			
	Cairns	52	6.85		363	47.83		217	28.59		79	10.41		5	0.66		43	5.67		759	94.40		45	5.60		804	1.02		427	56.26		332	43.74			
	Cairns Base Hospital	35	6.58		238	44.74		205	38.53		34	6.39		1	0.19		19	3.57		532	92.52		43	7.48		575	0.73		268	50.38		264	49.62
	Cairns North	116	7.21		793	49.32		484	30.10		142	8.83		12	0.75		61	3.79		1608	93.22		117	6.78		1725	2.19		912	56.72		696	43.28
	Cairns West	235	9.07		1061	40.93		1112	42.90		117	4.51		17	0.66		50	1.93		2592	92.97		196	7.03		2788	3.53		1251	48.26		1341	51.74
	Caravonica	259	9.09		1540	54.05		708	24.85		157	5.51		29	1.02		156	5.48		2849	96.74		96	3.26		2945	3.73		1787	62.72		1062	37.28
	Clifton Beach	102	7.59		736	54.80		342	25.47		113	8.41		6	0.45		44	3.28		1343	94.64		76	5.36		1419	1.80		828	61.65		515	38.35
	Coen	22	13.84		48	30.19		78	49.06		1	0.63		2	1.26		8	5.03		159	94.64		9	5.36		168	0.21		68	42.77		91	57.23
	Cooktown	157	17.16		457	49.95		243	26.56		26	2.84		5	0.55		27	2.95		915	92.33		76	7.67		991	1.26		556	60.77		359	39.23
	Daintree	26	16.46		71	44.94		43	27.22		16	10.13		1	0.63		1	0.63		158	94.61		9	5.39		167	0.21		92	58.23		66	41.77
	Earlville	267	8.61		1745	56.25		896	28.88		94	3.03		17	0.55		83	2.68		3102	94.26		189	5.74		3291	4.17		1940	62.54		1162	37.46
	Edge Hill	261	7.40		1852	52.49		950	26.93		260	7.37		42	1.19		163	4.62		3528	94.13		220	5.87		3748	4.75		2144	60.77		1384	39.23
	Edmonton	375	10.53		1912	53.68		1074	30.15		74	2.08		15	0.42		112	3.14		3562	94.08		224	5.92		3786	4.80		2159	60.61		1403	39.39
	Freshwater	63	6.38		540	54.71		269	27.25		64	6.48		6	0.61		45	4.56		987	95.36		48	4.64		1035	1.31		605	61.30		382	38.70
	Hambledon	349	12.29		1392	49.03		906	31.91		75	2.64		23	0.81		94	3.31		2839	93.88		185	6.12		3024	3.83		1648	58.05		1191	41.95
	Holloways Beach	87	8.62		469	46.48		326	32.31		57	5.65		7	0.69		63	6.24		1009	95.19		51	4.81		1060	1.34		553	54.81		456	45.19
	Hope Vale	8	2.65		98	32.45		189	62.58		3	0.99		0	0.00		4	1.32		302	88.30		40	11.70		342	0.43		104	34.44		198	65.56
	Horn Island	8	3.96		68	33.66		118	58.42		6	2.97		0	0.00		2	0.99		202	90.99		20	9.01		222	0.28		75	37.13		127	62.87
	Injinoo	15	6.79		58	26.24		136	61.54		6	2.71		1	0.45		5	2.26		221	88.40		29	11.60		250	0.32		74	33.48		147	66.52
	Julatten	55	14.99		176	47.96		84	22.89		37	10.08		3	0.82		12	3.27		367	96.07		15	3.93		382	0.48		219	59.67		148	40.33
	Kowanyama	18	4.31		77	18.42		318	76.08		2	0.48		2	0.48		1	0.24		418	93.93		27	6.07		445	0.56		92	22.01		326	77.99
