House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP																																							
By Candidate by Polling Place																																							
Longman (83408)																																							
		BECKETT			SCOPES			PATRICK			# BROUGH			HALLAM			HARDWICK			BOWDEN			FORMAL			INFORMAL			TOTAL										
		Stephen			Eve			Bronwyn			Mal			Brian			Leslie Vernon			Bert												Two Candidate Preferred							
		ALP			GRN			DEM			LP			IND			CEC			HAN												 BECKETT ALP			# BROUGH LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Banksia Beach	850	34.12		38	1.53		61	2.45		1323	53.11		28	1.12		3	0.12		188	7.55		2491	96.03		103	3.97		2594	3.26		1049	42.11		1442	57.89			
	Beachmere	671	39.01		31	1.80		53	3.08		746	43.37		42	2.44		2	0.12		175	10.17		1720	93.53		119	6.47		1839	2.31		830	48.26		890	51.74			
	Beerburrum	106	39.41		7	2.60		11	4.09		121	44.98		5	1.86		0	0.00		19	7.06		269	95.39		13	4.61		282	0.35		133	49.44		136	50.56			
	Beerwah	615	31.03		94	4.74		78	3.94		958	48.34		59	2.98		0	0.00		178	8.98		1982	95.61		91	4.39		2073	2.60		843	42.53		1139	57.47			
	Bellara	1108	40.75		44	1.62		58	2.13		1301	47.85		31	1.14		3	0.11		174	6.40		2719	95.00		143	5.00		2862	3.59		1324	48.69		1395	51.31			
	Bongaree	1008	38.80		50	1.92		55	2.12		1263	48.61		48	1.85		0	0.00		174	6.70		2598	94.47		152	5.53		2750	3.45		1195	46.00		1403	54.00			
	Brisbane City (Longman)	28	29.47		9	9.47		7	7.37		44	46.32		3	3.16		0	0.00		4	4.21		95	96.94		3	3.06		98	0.12		41	43.16		54	56.84			
	Burpengary	1018	36.87		54	1.96		119	4.31		1242	44.98		86	3.11		2	0.07		240	8.69		2761	93.75		184	6.25		2945	3.70		1313	47.56		1448	52.44			
	Burpengary East	484	35.59		15	1.10		51	3.75		678	49.85		30	2.21		1	0.07		101	7.43		1360	92.52		110	7.48		1470	1.85		602	44.26		758	55.74
	Burpengary South	527	31.80		40	2.41		83	5.01		840	50.69		38	2.29		3	0.18		126	7.60		1657	96.84		54	3.16		1711	2.15		699	42.18		958	57.82
	Burpengary West	1069	37.33		83	2.90		138	4.82		1293	45.15		72	2.51		5	0.17		204	7.12		2864	93.56		197	6.44		3061	3.84		1358	47.42		1506	52.58
	Caboolture	1909	40.33		129	2.72		210	4.44		1973	41.68		109	2.30		11	0.23		393	8.30		4734	93.02		355	6.98		5089	6.39		2414	50.99		2320	49.01
	Caboolture East	953	42.49		86	3.83		84	3.74		853	38.03		57	2.54		6	0.27		204	9.09		2243	93.23		163	6.77		2406	3.02		1226	54.66		1017	45.34
	Caboolture West	952	37.30		73	2.86		112	4.39		1156	45.30		47	1.84		2	0.08		210	8.23		2552	94.59		146	5.41		2698	3.39		1234	48.35		1318	51.65
	Conondale	93	24.35		71	18.59		27	7.07		134	35.08		19	4.97		4	1.05		34	8.90		382	96.71		13	3.29		395	0.50		200	52.36		182	47.64
	Deception Bay	544	50.98		31	2.91		31	2.91		333	31.21		20	1.87		2	0.19		106	9.93		1067	92.78		83	7.22		1150	1.44		661	61.95		406	38.05
	Deception Bay North	1454	47.02		67	2.17		118	3.82		1103	35.67		56	1.81		4	0.13		290	9.38		3092	93.44		217	6.56		3309	4.16		1784	57.70		1308	42.30
	Deception Bay South (Longman)	399	48.25		9	1.09		35	4.23		303	36.64		23	2.78		1	0.12		57	6.89		827	92.82		64	7.18		891	1.12		467	56.47		360	43.53
	Donnybrook	169	41.32		7	1.71		11	2.69		154	37.65		13	3.18		1	0.24		54	13.20		409	91.29		39	8.71		448	0.56		222	54.28		187	45.72
	Elimbah	451	33.02		34	2.49		51	3.73		643	47.07		51	3.73		1	0.07		135	9.88		1366	94.93		73	5.07		1439	1.81		601	44.00		765	56.00
	Glass House Mountains	557	30.55		65	3.57		60	3.29		973	53.37		30	1.65		3	0.16		135	7.41		1823	94.85		99	5.15		1922	2.41		722	39.61		1101	60.39
	Landsborough	618	35.76		117	6.77		45	2.60		736	42.59		42	2.43		3	0.17		167	9.66		1728	94.17		107	5.83		1835	2.30		838	48.50		890	51.50
	Maleny	781	26.09		327	10.93		158	5.28		1494	49.92		83	2.77		5	0.17		145	4.84		2993	96.02		124	3.98		3117	3.91		1272	42.50		1721	57.50
	Morayfield	1611	39.06		142	3.44		179	4.34		1772	42.97		95	2.30		7	0.17		318	7.71		4124	94.76		228	5.24		4352	5.46		2044	49.56		2080	50.44
	Morayfield East	746	37.04		56	2.78		98	4.87		936	46.47		41	2.04		2	0.10		135	6.70		2014	93.76		134	6.24		2148	2.70		940	46.67		1074	53.33			
	Morayfield West	1001	37.75		59	2.22		127	4.79		1175	44.31		70	2.64		4	0.15		216	8.14		2652	94.88		143	5.12		2795	3.51		1304	49.17		1348	50.83			
	Mount Mee	56	24.89		7	3.11		10	4.44		116	51.56		5	2.22		7	3.11		24	10.67		225	96.15		9	3.85		234	0.29		83	36.89		142	63.11			
	Narangba	1090	34.75		133	4.24		185	5.90		1464	46.67		63	2.01		3	0.10		199	6.34		3137	95.26		156	4.74		3293	4.14		1438	45.84		1699	54.16			
