House of Representatives - 2001 Election: Queensland																																				
First Preference Votes and TCP																																				
By Candidate by Polling Place																																				
Maranoa (84022)																																				
		WILSON			BOWDEN			ROLLS			MCNICHOL			# SCOTT			NEMETH			FORMAL			INFORMAL			TOTAL										
		Rhonda			David L			Cindy			Mark			Bruce			Noel												Two Candidate Preferred							
		DEM			ALP			CEC			HAN			NP			GRN												 BOWDEN ALP			# SCOTT NP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Allora	35	3.31		167	15.80		5	0.47		175	16.56		644	60.93		31	2.93		1057	95.14		54	4.86		1111	1.40		294	27.81		763	72.19			
	Amby	0	0.00		7	9.86		0	0.00		16	22.54		48	67.61		0	0.00		71	95.95		3	4.05		74	0.09		15	21.13		56	78.87			
	Amiens	4	1.60		51	20.40		0	0.00		58	23.20		130	52.00		7	2.80		250	95.79		11	4.21		261	0.33		80	32.00		170	68.00			
	Anakie	3	3.49		21	24.42		0	0.00		18	20.93		43	50.00		1	1.16		86	91.49		8	8.51		94	0.12		25	29.07		61	70.93			
	Applethorpe	17	5.01		69	20.35		1	0.29		84	24.78		159	46.90		9	2.65		339	95.76		15	4.24		354	0.44		129	38.05		210	61.95			
	Augathella	6	2.14		113	40.36		1	0.36		18	6.43		140	50.00		2	0.71		280	94.92		15	5.08		295	0.37		129	46.07		151	53.93			
	Ballandean	15	5.05		52	17.51		1	0.34		50	16.84		149	50.17		30	10.10		297	97.06		9	2.94		306	0.38		113	38.05		184	61.95			
	Bauhinia Downs	2	1.83		7	6.42		3	2.75		19	17.43		77	70.64		1	0.92		109	99.09		1	0.91		110	0.14		15	13.76		94	86.24			
	Bedourie	4	6.35		8	12.70		1	1.59		5	7.94		44	69.84		1	1.59		63	96.92		2	3.08		65	0.08		11	17.46		52	82.54
	Bell	11	3.14		44	12.57		0	0.00		85	24.29		204	58.29		6	1.71		350	92.84		27	7.16		377	0.47		95	27.14		255	72.86
