House of Representatives - 2001 Election: Queensland																																							
First Preference Votes and TCP 																																							
By Candidate by Polling Place																																							
McPherson (94653)																																							
		LIGHT			LEWIS			# MAY			BRADLEY			TRIGGER			GOODWIN			WHITE			FORMAL			INFORMAL			TOTAL										
		Inge			Paul			Margaret			Ronald			Kellie			Kevin Patrick			Russell V												Two Candidate Preferred							
		GRN			HAN			LP			IND			ALP			IND			DEM												# MAY LP			 TRIGGER ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Bonogin	81	4.25		119	6.24		1218	63.84		11	0.58		390	20.44		7	0.37		82	4.30		1908	96.36		72	3.64		1980	2.22		1342	70.34		566	29.66			
	Brisbane City (McPherson)	3	5.77		2	3.85		30	57.69		3	5.77		12	23.08		0	0.00		2	3.85		52	96.30		2	3.70		54	0.06		35	67.31		17	32.69			
	Broadbeach (McPherson)	121	7.86		53	3.44		866	56.23		10	0.65		359	23.31		13	0.84		118	7.66		1540	94.36		92	5.64		1632	1.83		1025	66.56		515	33.44			
	Burleigh Heads	301	7.60		227	5.73		2066	52.16		21	0.53		1114	28.12		25	0.63		207	5.23		3961	93.75		264	6.25		4225	4.73		2431	61.37		1530	38.63			
	Burleigh North	26	3.93		27	4.08		360	54.38		2	0.30		230	34.74		2	0.30		15	2.27		662	94.30		40	5.70		702	0.79		394	59.52		268	40.48			
	Burleigh Waters	231	4.97		275	5.91		2393	51.44		26	0.56		1526	32.80		21	0.45		180	3.87		4652	94.40		276	5.60		4928	5.52		2721	58.49		1931	41.51			
	Burleigh West	78	5.52		74	5.23		779	55.09		13	0.92		399	28.22		11	0.78		60	4.24		1414	93.46		99	6.54		1513	1.70		887	62.73		527	37.27			
	Coolangatta	49	5.17		48	5.07		458	48.36		8	0.84		319	33.69		26	2.75		39	4.12		947	92.75		74	7.25		1021	1.14		531	56.07		416	43.93			
	Currumbin	131	5.19		168	6.66		1257	49.82		16	0.63		866	34.32		10	0.40		75	2.97		2523	93.44		177	6.56		2700	3.03		1423	56.40		1100	43.60
	Currumbin Valley	23	7.26		41	12.93		159	50.16		4	1.26		79	24.92		2	0.63		9	2.84		317	95.20		16	4.80		333	0.37		186	58.68		131	41.32
	Currumbin Waters	103	4.67		126	5.71		1168	52.97		18	0.82		715	32.43		12	0.54		63	2.86		2205	94.96		117	5.04		2322	2.60		1286	58.32		919	41.68
	Elanora	112	4.18		155	5.78		1469	54.81		17	0.63		779	29.07		9	0.34		139	5.19		2680	95.92		114	4.08		2794	3.13		1638	61.12		1042	38.88
	Elanora High	88	3.69		171	7.16		1232	51.59		11	0.46		793	33.21		10	0.42		83	3.48		2388	93.87		156	6.13		2544	2.85		1395	58.42		993	41.58
