House of Representatives - 2001 Election: Queensland																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				
Moreton (89254)																																				
		# HARDGRAVE			LAMB			TAYLOR			BROOKES			COMANS			WEEDON			FORMAL			INFORMAL			TOTAL										
		Gary			Andrew			Lenore			Kathleen			Tracy Anne			Barry												Two Candidate Preferred							
		LP			IND			GRN			ALP			DEM			HAN												# HARDGRAVE LP			 BROOKES ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Annerley	542	41.95		15	1.16		76	5.88		517	40.02		103	7.97		39	3.02		1292	96.06		53	3.94		1345	1.60		617	47.76		675	52.24			
	Annerley Junction	265	38.02		19	2.73		60	8.61		290	41.61		50	7.17		13	1.87		697	93.68		47	6.32		744	0.89		317	45.48		380	54.52			
	Brisbane City (Moreton)	187	41.19		10	2.20		45	9.91		143	31.50		60	13.22		9	1.98		454	92.65		36	7.35		490	0.58		232	51.10		222	48.90			
	Chelmer	560	66.19		12	1.42		47	5.56		170	20.09		45	5.32		12	1.42		846	96.91		27	3.09		873	1.04		601	71.04		245	28.96			
	Coopers Plains	827	38.68		46	2.15		89	4.16		964	45.09		111	5.19		101	4.72		2138	94.35		128	5.65		2266	2.70		949	44.39		1189	55.61			
	Corinda (Moreton)	162	45.51		12	3.37		18	5.06		124	34.83		27	7.58		13	3.65		356	96.48		13	3.52		369	0.44		184	51.69		172	48.31			
	Dupre St	223	50.57		11	2.49		10	2.27		161	36.51		15	3.40		21	4.76		441	96.08		18	3.92		459	0.55		252	57.14		189	42.86			
	Eight Mile Plains (Moreton)	751	47.71		43	2.73		24	1.52		617	39.20		52	3.30		87	5.53		1574	94.76		87	5.24		1661	1.98		842	53.49		732	46.51			
	Fairfield	435	39.65		22	2.01		92	8.39		435	39.65		72	6.56		41	3.74		1097	96.57		39	3.43		1136	1.35		498	45.40		599	54.60
	Graceville	1365	49.64		35	1.27		154	5.60		947	34.44		188	6.84		61	2.22		2750	97.17		80	2.83		2830	3.37		1498	54.47		1252	45.53
	Graceville West	323	59.93		11	2.04		24	4.45		148	27.46		17	3.15		16	2.97		539	98.36		9	1.64		548	0.65		353	65.49		186	34.51
	Greenslopes Hospital	295	54.63		7	1.30		35	6.48		154	28.52		41	7.59		8	1.48		540	98.00		11	2.00		551	0.66		320	59.26		220	40.74
	Greenslopes School (Moreton)	576	41.20		25	1.79		88	6.29		572	40.92		109	7.80		28	2.00		1398	94.14		87	5.86		1485	1.77		662	47.35		736	52.65
	Holland Park (Moreton)	442	49.94		19	2.15		42	4.75		326	36.84		44	4.97		12	1.36		885	96.09		36	3.91		921	1.10		479	54.12		406	45.88
	Junction Park	511	37.80		17	1.26		98	7.25		595	44.01		96	7.10		35	2.59		1352	96.16		54	3.84		1406	1.68		579	42.83		773	57.17
	Kuraby (Moreton)	705	49.47		42	2.95		35	2.46		521	36.56		68	4.77		54	3.79		1425	94.50		83	5.50		1508	1.80		799	56.07		626	43.93
	Macgregor	1049	54.04		46	2.37		54	2.78		682	35.14		65	3.35		45	2.32		1941	92.87		149	7.13		2090	2.49		1139	58.68		802	41.32
	Mansfield (Moreton)	925	55.49		41	2.46		44	2.64		560	33.59		60	3.60		37	2.22		1667	96.64		58	3.36		1725	2.06		1002	60.11		665	39.89
	Market Square	1230	52.12		25	1.06		75	3.18		849	35.97		118	5.00		63	2.67		2360	94.74		131	5.26		2491	2.97		1328	56.27		1032	43.73
	Marshall Road	1088	51.64		35	1.66		102	4.84		749	35.55		86	4.08		47	2.23		2107	96.30		81	3.70		2188	2.61		1185	56.24		922	43.76
	Moorooka	337	41.76		13	1.61		34	4.21		359	44.49		32	3.97		32	3.97		807	93.84		53	6.16		860	1.02		371	45.97		436	54.03
	Moorooka School	925	41.20		33	1.47		110	4.90		919	40.94		159	7.08		99	4.41		2245	94.17		139	5.83		2384	2.84		1042	46.41		1203	53.59
	Moorvale	351	43.28		16	1.97		35	4.32		340	41.92		42	5.18		27	3.33		811	94.41		48	5.59		859	1.02		394	48.58		417	51.42
	Mount Gravatt (Moreton)	928	47.32		50	2.55		94	4.79		722	36.82		121	6.17		46	2.35		1961	96.60		69	3.40		2030	2.42		1044	53.24		917	46.76
	Mt Petrie (Moreton)	135	61.36		4	1.82		7	3.18		55	25.00		12	5.45		7	3.18		220	96.49		8	3.51		228	0.27		147	66.82		73	33.18
	Robertson	1016	54.51		38	2.04		68	3.65		637	34.17		73	3.92		32	1.72		1864	94.24		114	5.76		1978	2.36		1103	59.17		761	40.83
	Rochedale (Moreton)	419	63.58		12	1.82		10	1.52		170	25.80		17	2.58		31	4.70		659	97.34		18	2.66		677	0.81		455	69.04		204	30.96
	Rocklea	214	28.80		12	1.62		22	2.96		400	53.84		17	2.29		78	10.50		743	93.81		49	6.19		792	0.94		245	32.97		498	67.03
	Runcorn (Moreton)	597	48.38		31	2.51		40	3.24		456	36.95		60	4.86		50	4.05		1234	93.98		79	6.02		1313	1.56		675	54.70		559	45.30
	Runcorn High School	339	43.52		17	2.18		18	2.31		353	45.31		30	3.85		22	2.82		779	96.29		30	3.71		809	0.96		377	48.40		402	51.60
	Salisbury	1183	39.59		78	2.61		125	4.18		1294	43.31		179	5.99		129	4.32		2988	95.25		149	4.75		3137	3.74		1373	45.95		1615	54.05
	Sherwood	805	51.27		30	1.91		114	7.26		493	31.40		85	5.41		43	2.74		1570	96.67		54	3.33		1624	1.94		904	57.58		666	42.42
	Sunnybank (Moreton)	909	48.69		24	1.29		82	4.39		731	39.15		67	3.59		54	2.89		1867	94.68		105	5.32		1972	2.35		1008	53.99		859	46.01
	Tarragindi	612	49.59		18	1.46		68	5.51		428	34.68		76	6.16		32	2.59		1234	95.73		55	4.27		1289	1.54		721	58.43		513	41.57
	Tarragindi East	691	52.99		17	1.30		74	5.67		430	32.98		64	4.91		28	2.15		1304	97.60		32	2.40		1336	1.59		748	57.36		556	42.64
	Tennyson	145	56.64		4	1.56		7	2.73		81	31.64		17	6.64		2	0.78		256	96.24		10	3.76		266	0.32		151	58.98		105	41.02
	Thompson Estate	186	40.35		10	2.17		20	4.34		209	45.34		28	6.07		8	1.74		461	95.45		22	4.55		483	0.58		211	45.77		250	54.23
	Upper Mt Gravatt	2076	49.93		54	1.30		163	3.92		1507	36.24		208	5.00		150	3.61		4158	94.31		251	5.69		4409	5.25		2276	54.74		1882	45.26
	Warrigal Road	2625	53.72		69	1.41		140	2.87		1724	35.28		215	4.40		113	2.31		4886	95.26		243	4.74		5129	6.11		2837	58.06		2049	41.94
	Wellers Hill	1644	50.40		34	1.04		175	5.36		1111	34.06		233	7.14		65	1.99		3262	97.40		87	2.60		3349	3.99		1828	56.04		1434	43.96
	Wishart	1369	54.50		43	1.71		63	2.51		836	33.28		133	5.29		68	2.71		2512	95.91		107	4.09		2619	3.12		1513	60.23		999	39.77			
	Yeronga	889	43.58		16	0.78		138	6.76		769	37.70		189	9.26		39	1.91		2040	95.33		100	4.67		2140	2.55		996	48.82		1044	51.18			
	Yeronga West	972	52.15		37	1.98		106	5.69		572	30.69		135	7.24		42	2.25		1864	97.08		56	2.92		1920	2.29		1078	57.83		786	42.17			
	Special Hospitals	117	60.31		0	0.00		4	2.06		66	34.02		2	1.03		5	2.58		194	96.52		7	3.48		201	0.24		125	64.43		69	35.57			
	Total Ordinary	31945	48.56		1153	1.75		2929	4.45		24186	36.77		3621	5.50		1944	2.96		65778	95.48		3112	4.52		68890	82.09		35458	53.91		30320	46.09			
	ABSENT	2736	45.31		128	2.12		467	7.73		1953	32.35		517	8.56		237	3.93		6038	95.48		286	4.52		6324	7.54		3206	53.10		2832	46.90			
	POSTAL	2823	55.64		54	1.06		78	1.54		1796	35.40		162	3.19		161	3.17		5074	98.56		74	1.44		5148	6.13		3033	59.78		2041	40.22			
