House of Representatives - 2001 Election: Queensland 																																				
First Preference Votes and TCP																																				
By Candidate by Polling Place																																				
Petrie (89711)																																				
		GRIFFITHS			PANTANO			BLACK			HUME			EATON			# GAMBARO			FORMAL			INFORMAL			TOTAL										
		Owen			Kim			Bill			Rosemary			Ron			Teresa												Two Candidate Preferred							
		DEM			GRN			HAN			ALP			IND			LP												 HUME ALP			# GAMBARO LP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Aspley (Petrie)	29	3.42		21	2.48		47	5.54		250	29.48		11	1.30		490	57.78		848	93.91		55	6.09		903	1.06		309	36.44		539	63.56			
	Aspley West	192	5.33		92	2.56		75	2.08		999	27.76		32	0.89		2209	61.38		3599	96.49		131	3.51		3730	4.37		1240	34.45		2359	65.55			
	Bald Hills	155	6.60		59	2.51		123	5.24		1071	45.61		50	2.13		890	37.90		2348	96.03		97	3.97		2445	2.86		1299	55.32		1049	44.68			
	Bald Hills North	35	5.74		17	2.79		28	4.59		240	39.34		14	2.30		276	45.25		610	94.28		37	5.72		647	0.76		295	48.36		315	51.64			
	Ballycara	28	2.97		16	1.70		31	3.29		287	30.43		11	1.17		570	60.45		943	95.83		41	4.17		984	1.15		324	34.36		619	65.64			
	Bracken Ridge	98	4.55		45	2.09		100	4.64		940	43.64		68	3.16		903	41.92		2154	95.18		109	4.82		2263	2.65		1111	51.58		1043	48.42			
	Bracken Ridge East	144	4.72		64	2.10		99	3.24		1210	39.63		74	2.42		1462	47.89		3053	95.41		147	4.59		3200	3.75		1433	46.94		1620	53.06			
	Bracken Ridge West	146	5.63		67	2.58		124	4.78		1083	41.75		68	2.62		1106	42.64		2594	95.26		129	4.74		2723	3.19		1326	51.12		1268	48.88			
	Bridgeman Downs	97	3.96		38	1.55		49	2.00		563	23.01		19	0.78		1681	68.70		2447	96.49		89	3.51		2536	2.97		679	27.75		1768	72.25
	Brisbane City (Petrie)	15	6.85		13	5.94		5	2.28		79	36.07		2	0.91		105	47.95		219	95.22		11	4.78		230	0.27		101	46.12		118	53.88
	Carseldine	96	4.79		29	1.45		59	2.95		697	34.80		23	1.15		1099	54.87		2003	95.06		104	4.94		2107	2.47		818	40.84		1185	59.16
	Chermside	17	4.27		11	2.76		15	3.77		181	45.48		10	2.51		164	41.21		398	95.22		20	4.78		418	0.49		213	53.52		185	46.48
	Chermside Garden Settlement	18	3.81		12	2.54		12	2.54		166	35.17		5	1.06		259	54.87		472	93.65		32	6.35		504	0.59		196	41.53		276	58.47
	Chermside West	196	6.58		110	3.69		113	3.79		1025	34.42		21	0.71		1513	50.81		2978	95.79		131	4.21		3109	3.64		1329	44.63		1649	55.37
	Clontarf	121	5.28		79	3.45		135	5.90		964	42.10		36	1.57		955	41.70		2290	95.82		100	4.18		2390	2.80		1213	52.97		1077	47.03
	Clontarf Beach	109	5.05		41	1.90		120	5.56		971	44.95		28	1.30		891	41.25		2160	96.30		83	3.70		2243	2.63		1157	53.56		1003	46.44
	Craigslea	41	3.59		35	3.07		29	2.54		377	33.04		16	1.40		643	56.35		1141	96.12		46	3.88		1187	1.39		452	39.61		689	60.39
	Deception Bay South (Petrie)	86	7.04		21	1.72		111	9.09		552	45.21		24	1.97		427	34.97		1221	95.17		62	4.83		1283	1.50		725	59.38		496	40.62
	Everton Park (Petrie)	18	4.81		8	2.14		10	2.67		129	34.49		9	2.41		200	53.48		374	94.92		20	5.08		394	0.46		155	41.44		219	58.56
	Everton Park North (Petrie)	67	6.05		25	2.26		31	2.80		354	31.95		11	0.99		620	55.96		1108	97.11		33	2.89		1141	1.34		427	38.54		681	61.46
	Kippa-Ring	133	4.26		100	3.20		150	4.81		1399	44.83		59	1.89		1280	41.01		3121	94.52		181	5.48		3302	3.87		1684	53.96		1437	46.04
	Kippa-Ring North	71	4.11		39	2.26		80	4.63		724	41.92		26	1.51		787	45.57		1727	94.68		97	5.32		1824	2.14		861	49.86		866	50.14
	Kippa-Ring West	82	4.83		38	2.24		88	5.18		758	44.61		31	1.82		702	41.32		1699	94.97		90	5.03		1789	2.09		909	53.50		790	46.50
	McDowall	249	5.63		101	2.28		90	2.03		1284	29.03		53	1.20		2646	59.82		4423	96.38		166	3.62		4589	5.37		1599	36.15		2824	63.85
	Mango Hill	57	4.81		19	1.60		62	5.23		424	35.78		23	1.94		600	50.63		1185	96.58		42	3.42		1227	1.44		527	44.47		658	55.53
	Margate	193	6.58		99	3.38		136	4.64		1240	42.29		40	1.36		1224	41.75		2932	94.64		166	5.36		3098	3.63		1552	52.93		1380	47.07
	Moreton Downs	30	5.80		9	1.74		39	7.54		222	42.94		15	2.90		202	39.07		517	94.86		28	5.14		545	0.64		268	51.84		249	48.16
	Redcliffe	131	4.78		97	3.54		144	5.25		1173	42.79		29	1.06		1167	42.58		2741	95.07		142	4.93		2883	3.38		1431	52.21		1310	47.79
	Redcliffe Hospital	51	4.23		24	1.99		53	4.40		556	46.14		13	1.08		508	42.16		1205	95.26		60	4.74		1265	1.48		656	54.44		549	45.56
	Rothwell	50	3.47		23	1.60		76	5.28		506	35.14		24	1.67		761	52.85		1440	94.92		77	5.08		1517	1.78		610	42.36		830	57.64
	Scarborough	161	5.29		100	3.29		139	4.57		1153	37.89		39	1.28		1451	47.68		3043	95.63		139	4.37		3182	3.73		1452	47.72		1591	52.28
	Scarborough North	46	3.97		29	2.50		56	4.83		438	37.79		10	0.86		580	50.04		1159	94.38		69	5.62		1228	1.44		527	45.47		632	54.53
	Somerset Hills (Petrie)	116	6.97		79	4.74		57	3.42		648	38.92		26	1.56		739	44.38		1665	96.02		69	3.98		1734	2.03		833	50.03		832	49.97
	Stafford (Petrie)	32	5.62		43	7.56		15	2.64		229	40.25		9	1.58		241	42.36		569	95.31		28	4.69		597	0.70		304	53.43		265	46.57
	Stafford Central	83	6.50		36	2.82		29	2.27		559	43.81		26	2.04		543	42.55		1276	96.81		42	3.19		1318	1.54		676	52.98		600	47.02
	Stafford Heights	163	6.71		78	3.21		81	3.33		936	38.52		38	1.56		1134	46.67		2430	95.37		118	4.63		2548	2.98		1186	48.81		1244	51.19
	Stafford West (Petrie)	50	6.14		39	4.79		40	4.91		306	37.59		19	2.33		360	44.23		814	96.22		32	3.78		846	0.99		393	48.28		421	51.72
	Taigum (Petrie)	55	7.25		27	3.56		21	2.77		317	41.77		16	2.11		323	42.56		759	94.17		47	5.83		806	0.94		390	51.38		369	48.62
	Woody Point	90	4.61		44	2.26		126	6.46		849	43.52		30	1.54		812	41.62		1951	95.22		98	4.78		2049	2.40		1037	53.15		914	46.85
	Special Hospitals	10	4.52		1	0.45		5	2.26		84	38.01		2	0.90		119	53.85		221	97.79		5	2.21		226	0.26		96	43.44		125	56.56
	Total Ordinary	3561	5.25		1828	2.69		2803	4.13		25943	38.24		1060	1.56		32642	48.12		67837	95.53		3173	4.47		71010	83.14		31793	46.87		36044	53.13			
	ABSENT	426	7.76		280	5.10		299	5.45		1923	35.04		147	2.68		2413	43.97		5488	95.11		282	4.89		5770	6.76		2621	47.76		2867	52.24			
	POSTAL	116	2.28		54	1.06		220	4.33		1960	38.54		61	1.20		2674	52.59		5085	98.43		81	1.57		5166	6.05		2181	42.89		2904	57.11			
	PRE_POLL	153	5.09		77	2.56		126	4.19		1051	34.95		40	1.33		1560	51.88		3007	97.47		78	2.53		3085	3.61		1286	42.77		1721	57.23			
	PROVISIONAL	28	7.82		15	4.19		15	4.19		167	46.65		11	3.07		122	34.08		358	93.23		26	6.77		384	0.45		212	59.22		146	40.78			
	Division Summary	4284	5.24		2254	2.76		3463	4.23		31044	37.96		1319	1.61		39411	48.19		81775	95.74		3640	4.26		85415	95.21		38093	46.58		43682	53.42			
																																				
																																				
																																				
																																				
																																				
