House of Representatives - 2001 Election: Queensland																																													
First Preference Votes and TCP																																													
By Candidate by Polling Place																																													
Wide Bay (81391)																																													
		WICKS			HETHERINGTON			# TRUSS			DWYER			JANSEN			PITT			TREMLIN			SMITH			DALGLEISH			FORMAL			INFORMAL			TOTAL										
		Graeme			Maurice			Warren			Jim			Paul			A R			Russ			Althea			David												Two Candidate Preferred							
		IND			CEC			NP			HAN			GRN			IND			ALP			DEM			IND												# TRUSS NP			 TREMLIN ALP				
	Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
	Baddow	85	4.19		4	0.20		879	43.34		204	10.06		42	2.07		137	6.76		603	29.73		30	1.48		44	2.17		2028	95.08		105	4.92		2133	2.75		1155	56.95		873	43.05			
	Banana	3	1.84		9	5.52		93	57.06		36	22.09		0	0.00		4	2.45		15	9.20		0	0.00		3	1.84		163	95.32		8	4.68		171	0.22		124	76.07		39	23.93			
	Bancroft	3	3.06		0	0.00		61	62.24		25	25.51		0	0.00		2	2.04		5	5.10		0	0.00		2	2.04		98	95.15		5	4.85		103	0.13		77	78.57		21	21.43			
	Baralaba	7	2.54		33	11.96		151	54.71		31	11.23		0	0.00		2	0.72		44	15.94		2	0.72		6	2.17		276	97.18		8	2.82		284	0.37		208	75.36		68	24.64			
	Bauple	9	2.85		0	0.00		127	40.19		45	14.24		11	3.48		16	5.06		96	30.38		5	1.58		7	2.22		316	94.61		18	5.39		334	0.43		162	51.27		154	48.73			
	Bell Hilltop	65	4.38		3	0.20		652	43.91		104	7.00		20	1.35		111	7.47		476	32.05		28	1.89		26	1.75		1485	94.83		81	5.17		1566	2.02		833	56.09		652	43.91			
	Biggenden	55	7.43		11	1.49		379	51.22		99	13.38		8	1.08		33	4.46		131	17.70		5	0.68		19	2.57		740	94.03		47	5.97		787	1.01		509	68.78		231	31.22			
	Biloela	76	2.42		70	2.23		1427	45.36		348	11.06		66	2.10		38	1.21		990	31.47		67	2.13		64	2.03		3146	92.72		247	7.28		3393	4.37		1833	58.26		1313	41.74			
	Binjour	10	9.90		1	0.99		64	63.37		17	16.83		0	0.00		2	1.98		4	3.96		1	0.99		2	1.98		101	96.19		4	3.81		105	0.14		87	86.14		14	13.86
	Boondooma	18	12.68		0	0.00		94	66.20		15	10.56		1	0.70		3	2.11		9	6.34		2	1.41		0	0.00		142	96.60		5	3.40		147	0.19		121	85.21		21	14.79
	Boonooroo	9	2.54		1	0.28		148	41.69		43	12.11		4	1.13		17	4.79		123	34.65		2	0.56		8	2.25		355	93.92		23	6.08		378	0.49		190	53.52		165	46.48
	Booral	17	3.27		2	0.38		195	37.50		67	12.88		7	1.35		9	1.73		156	30.00		8	1.54		59	11.35		520	92.36		43	7.64		563	0.72		292	56.15		228	43.85
	Brisbane City (Wide Bay)	2	2.35		0	0.00		43	50.59		2	2.35		4	4.71		3	3.53		20	23.53		7	8.24		4	4.71		85	95.51		4	4.49		89	0.11		56	65.88		29	34.12
	Brooweena	11	6.47		0	0.00		78	45.88		14	8.24		3	1.76		21	12.35		40	23.53		2	1.18		1	0.59		170	92.39		14	7.61		184	0.24		103	60.59		67	39.41
	Bullyard	10	7.19		0	0.00		62	44.60		20	14.39		5	3.60		4	2.88		27	19.42		3	2.16		8	5.76		139	93.92		9	6.08		148	0.19		89	64.03		50	35.97
	Burrum Heads	15	2.62		1	0.17		252	44.06		61	10.66		6	1.05		33	5.77		159	27.80		5	0.87		40	6.99		572	95.65		26	4.35		598	0.77		346	60.49		226	39.51
	Cherbourg	16	4.68		5	1.46		83	24.27		5	1.46		2	0.58		4	1.17		223	65.20		2	0.58		2	0.58		342	91.69		31	8.31		373	0.48		107	31.29		235	68.71
	Cloyna	25	13.97		1	0.56		89	49.72		48	26.82		2	1.12		0	0.00		12	6.70		1	0.56		1	0.56		179	97.81		4	2.19		183	0.24		142	79.33		37	20.67
