House of Representatives - 2001 Election: Queensland							
Swing to ALP							
By Division by Polling Place							
Blair							
							
Polling Place	Formal	WENDT		THOMPSON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Amberley	542	201	37.08	341	62.92	-	
Blackbutt	1003	484	48.26	519	51.74	-	
Blair School	1656	888	53.62	768	46.38	-	
Blenheim	286	105	36.71	181	63.29	-	
Brassall	1507	762	50.56	745	49.44	-	
Brassall School	2355	1186	50.36	1169	49.64	-	
Brisbane City (Blair)	71	32	45.07	39	54.93	-	
Brooklands	167	69	41.32	98	58.68	-	
Churchill (Blair)	1270	700	55.12	570	44.88	-	
Coolabunia	341	81	23.75	260	76.25	-
Coominya	783	351	44.83	432	55.17	-
Cooyar	188	54	28.72	134	71.28	-
Crows Nest	1247	405	32.48	842	67.52	-
Esk	1028	460	44.75	568	55.25	-
Fernvale	1182	503	42.55	679	57.45	-
Flagstone Creek	123	35	28.46	88	71.54	-
Forest Hill	608	226	37.17	382	62.83	-
Gatton	1522	516	33.90	1006	66.10	-
Gatton South	2147	694	32.32	1453	67.68	-
Glamorgan Vale	315	108	34.29	207	65.71	-
Glenore Grove	1320	645	48.86	675	51.14	-
Grandchester	259	109	42.08	150	57.92	-
Grantham	566	189	33.39	377	66.61	-
Haden	124	25	20.16	99	79.84	-
Haigslea	306	95	31.05	211	68.95	-
Hatton Vale	979	470	48.01	509	51.99	-
Helidon	659	257	39.00	402	61.00	-
Inverlaw	208	37	17.79	171	82.21	-
Jimna	70	25	35.71	45	64.29	-
Karalee	2239	853	38.10	1386	61.90	-
Karana Downs	2566	856	33.36	1710	66.64	-
Kentville	200	100	50.00	100	50.00	-
Kilcoy	1345	562	41.78	783	58.22	-
Kingaroy	2740	883	32.23	1857	67.77	-
Kumbia	401	111	27.68	290	72.32	-
Laidley	2175	911	41.89	1264	58.11	-
Lake Clarendon	252	112	44.44	140	55.56	-
Lawes	56	16	28.57	40	71.43	-
Leichhardt	1007	578	57.40	429	42.60	-
Leichhardt School	1438	869	60.43	569	39.57	-
Lowood	1234	556	45.06	678	54.94	-
Ma Ma Creek	204	46	22.55	158	77.45	-
Maidenwell	203	77	37.93	126	62.07	-
Marburg	484	185	38.22	299	61.78	-
Memerambi	433	130	30.02	303	69.98	-
Minden	601	283	47.09	318	52.91	-
Moore	341	126	36.95	215	63.05	-
Mount Kilcoy	274	104	37.96	170	62.04	-
Mount Sylvia	205	45	21.95	160	78.05	-
Mount Tarampa	258	110	42.64	148	57.36	-
Murphys Creek	412	178	43.20	234	56.80	-
Mutdapilly	273	85	31.14	188	68.86	-
Nanango	2403	1081	44.99	1322	55.01	-
North Ipswich	1238	723	58.40	515	41.60	-
Perseverance	199	83	41.71	116	58.29	-
Pine Mountain	407	151	37.10	256	62.90	-
Rosevale	150	36	24.00	114	76.00	-
Rosewood	1974	860	43.57	1114	56.43	-
Somerset Dam	78	27	34.62	51	65.38	-
Special Hospital Team 1	149	53	35.57	96	64.43	-
Special Hospital Team 2	52	12	23.08	40	76.92	-
Special Hospital Team 3	94	29	30.85	65	69.15	-
Special Hospital Team 4	102	13	12.75	89	87.25	-
St Josephs	1448	825	56.98	623	43.02	-
Stockyard Creek	194	70	36.08	124	63.92	-
Taabinga	2014	590	29.29	1424	70.71	-
Tarampa	429	164	38.23	265	61.77	-
Thornton	163	44	26.99	119	73.01	-
Tivoli	1306	599	45.87	707	54.13	-
Toogoolawah	1091	445	40.79	646	59.21	-
Upper Tenthill	251	53	21.12	198	78.88	-
Walloon	1359	619	45.55	740	54.45	-
Warrill View	140	36	25.71	104	74.29	-
Withcott	1088	371	34.10	717	65.90	-	
Yarraman	614	221	35.99	393	64.01	-	
ABSENT	4771	1995	41.82	2776	58.18	-	
