Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Blair (76853)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Amberley		1	0.18		0	0.00		0	0.00		1	0.18		121	21.42		3	0.53		0	0.00		1	0.18		125	22.12		1	0.18		0	0.00		0	0.00		1	0.18		27	4.78		1	0.18		0	0.00		0	0.00		28	4.96		4	0.71		1	0.18		0	0.00		5	0.88		5	0.88		0	0.00		0	0.00		0	0.00		5	0.88		8	1.42		0	0.00		0	0.00		8	1.42		3	0.53		0	0.00		0	0.00		3	0.53		106	18.76		10	1.77		0	0.00		0	0.00		0	0.00		116	20.53		215	38.05		1	0.18		3	0.53		0	0.00		1	0.18		220	38.94		6	1.06		0	0.00		0	0.00		6	1.06		46	8.14		0	0.00		0	0.00		0	0.00		46	8.14		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		565	97.75		13	2.25		578	0.78																																															
	Blackbutt		3	0.29		0	0.00		1	0.10		4	0.38		296	28.33		3	0.29		0	0.00		1	0.10		300	28.71		3	0.29		0	0.00		0	0.00		3	0.29		92	8.80		3	0.29		0	0.00		0	0.00		95	9.09		3	0.29		0	0.00		0	0.00		3	0.29		29	2.78		2	0.19		0	0.00		0	0.00		31	2.97		8	0.77		1	0.10		0	0.00		9	0.86		1	0.10		0	0.00		0	0.00		1	0.10		253	24.21		9	0.86		0	0.00		0	0.00		0	0.00		262	25.07		288	27.56		6	0.57		0	0.00		0	0.00		0	0.00		294	28.13		16	1.53		1	0.10		0	0.00		17	1.63		21	2.01		2	0.19		0	0.00		0	0.00		23	2.20		2	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		3	0.29		1045	97.03		32	2.97		1077	1.46																																															
	Blair School		4	0.23		1	0.06		0	0.00		5	0.29		632	36.72		5	0.29		1	0.06		1	0.06		639	37.13		1	0.06		0	0.00		0	0.00		1	0.06		55	3.20		3	0.17		0	0.00		0	0.00		58	3.37		16	0.93		2	0.12		0	0.00		18	1.05		45	2.61		12	0.70		0	0.00		1	0.06		58	3.37		24	1.39		0	0.00		0	0.00		24	1.39		2	0.12		0	0.00		0	0.00		2	0.12		230	13.36		19	1.10		0	0.00		0	0.00		0	0.00		249	14.47		495	28.76		15	0.87		1	0.06		0	0.00		0	0.00		511	29.69		19	1.10		1	0.06		0	0.00		20	1.16		124	7.21		8	0.46		1	0.06		2	0.12		135	7.84		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1721	97.45		45	2.55		1766	2.40																																															
	Blenheim		0	0.00		0	0.00		0	0.00		0	0.00		59	20.14		2	0.68		0	0.00		0	0.00		61	20.82		0	0.00		0	0.00		0	0.00		0	0.00		30	10.24		2	0.68		0	0.00		0	0.00		32	10.92		1	0.34		1	0.34		0	0.00		2	0.68		3	1.02		0	0.00		0	0.00		0	0.00		3	1.02		6	2.05		0	0.00		0	0.00		6	2.05		0	0.00		0	0.00		0	0.00		0	0.00		75	25.60		12	4.10		0	0.00		0	0.00		0	0.00		87	29.69		86	29.35		3	1.02		0	0.00		0	0.00		0	0.00		89	30.38		3	1.02		0	0.00		0	0.00		3	1.02		10	3.41		0	0.00		0	0.00		0	0.00		10	3.41		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		293	97.02		9	2.98		302	0.41																																															
	Brassall		9	0.57		1	0.06		0	0.00		10	0.64		536	34.14		8	0.51		2	0.13		1	0.06		547	34.84		1	0.06		1	0.06		0	0.00		2	0.13		61	3.89		1	0.06		0	0.00		0	0.00		62	3.95		12	0.76		2	0.13		0	0.00		14	0.89		26	1.66		3	0.19		0	0.00		0	0.00		29	1.85		11	0.70		0	0.00		0	0.00		11	0.70		0	0.00		0	0.00		0	0.00		0	0.00		270	17.20		19	1.21		0	0.00		0	0.00		0	0.00		289	18.41		495	31.53		8	0.51		2	0.13		0	0.00		0	0.00		505	32.17		8	0.51		0	0.00		0	0.00		8	0.51		85	5.41		7	0.45		0	0.00		0	0.00		92	5.86		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1570	97.45		41	2.55		1611	2.19																																															
	Brassall School		4	0.16		1	0.04		0	0.00		5	0.21		862	35.39		8	0.33		2	0.08		5	0.21		877	36.00		2	0.08		0	0.00		0	0.00		2	0.08		89	3.65		6	0.25		0	0.00		0	0.00		95	3.90		10	0.41		2	0.08		1	0.04		13	0.53		54	2.22		2	0.08		1	0.04		0	0.00		57	2.34		35	1.44		0	0.00		1	0.04		36	1.48		2	0.08		0	0.00		1	0.04		3	0.12		349	14.33		22	0.90		0	0.00		0	0.00		0	0.00		371	15.23		773	31.73		9	0.37		0	0.00		0	0.00		1	0.04		783	32.14		41	1.68		1	0.04		0	0.00		42	1.72		135	5.54		14	0.57		1	0.04		0	0.00		150	6.16		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		2	0.08		2436	96.94		77	3.06		2513	3.41																																															
	Brisbane City (Blair)		0	0.00		0	0.00		0	0.00		0	0.00		20	28.17		0	0.00		0	0.00		0	0.00		20	28.17		0	0.00		0	0.00		0	0.00		0	0.00		5	7.04		0	0.00		0	0.00		0	0.00		5	7.04		0	0.00		0	0.00		0	0.00		0	0.00		8	11.27		0	0.00		0	0.00		1	1.41		9	12.68		1	1.41		0	0.00		0	0.00		1	1.41		0	0.00		0	0.00		0	0.00		0	0.00		3	4.23		0	0.00		0	0.00		0	0.00		0	0.00		3	4.23		21	29.58		0	0.00		0	0.00		0	0.00		0	0.00		21	29.58		0	0.00		0	0.00		0	0.00		0	0.00		12	16.90		0	0.00		0	0.00		0	0.00		12	16.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		71	97.26		2	2.74		73	0.10																																															
	Brooklands		1	0.60		0	0.00		0	0.00		1	0.60		25	14.88		2	1.19		0	0.00		0	0.00		27	16.07		1	0.60		0	0.00		0	0.00		1	0.60		30	17.86		2	1.19		0	0.00		0	0.00		32	19.05		3	1.79		0	0.00		0	0.00		3	1.79		1	0.60		0	0.00		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		67	39.88		5	2.98		0	0.00		0	0.00		0	0.00		72	42.86		22	13.10		0	0.00		0	0.00		0	0.00		0	0.00		22	13.10		1	0.60		0	0.00		0	0.00		1	0.60		6	3.57		2	1.19		0	0.00		0	0.00		8	4.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		168	99.41		1	0.59		169	0.23																																															
	Churchill (Blair)		7	0.54		1	0.08		0	0.00		8	0.62		475	36.57		8	0.62		1	0.08		0	0.00		484	37.26		1	0.08		0	0.00		0	0.00		1	0.08		39	3.00		5	0.38		0	0.00		0	0.00		44	3.39		15	1.15		0	0.00		0	0.00		15	1.15		28	2.16		2	0.15		0	0.00		0	0.00		30	2.31		13	1.00		2	0.15		0	0.00		15	1.15		1	0.08		0	0.00		0	0.00		1	0.08		226	17.40		25	1.92		0	0.00		0	0.00		2	0.15		253	19.48		343	26.40		11	0.85		1	0.08		0	0.00		0	0.00		355	27.33		18	1.39		0	0.00		0	0.00		18	1.39		69	5.31		4	0.31		1	0.08		0	0.00		74	5.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		1	0.08		1299	96.08		53	3.92		1352	1.84																																													
	Coolabunia		0	0.00		1	0.29		0	0.00		1	0.29		38	10.92		0	0.00		0	0.00		0	0.00		38	10.92		0	0.00		0	0.00		0	0.00		0	0.00		94	27.01		4	1.15		0	0.00		0	0.00		98	28.16		2	0.57		0	0.00		0	0.00		2	0.57		4	1.15		2	0.57		0	0.00		0	0.00		6	1.72		2	0.57		0	0.00		0	0.00		2	0.57		0	0.00		0	0.00		0	0.00		0	0.00		88	25.29		4	1.15		0	0.00		0	0.00		0	0.00		92	26.44		97	27.87		3	0.86		1	0.29		0	0.00		1	0.29		102	29.31		0	0.00		0	0.00		0	0.00		0	0.00		6	1.72		0	0.00		0	0.00		0	0.00		6	1.72		1	0.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.29		348	97.48		9	2.52		357	0.48																																													
	Coominya		1	0.13		0	0.00		0	0.00		1	0.13		208	26.16		1	0.13		1	0.13		0	0.00		210	26.42		1	0.13		0	0.00		0	0.00		1	0.13		73	9.18		5	0.63		0	0.00		0	0.00		78	9.81		4	0.50		1	0.13		0	0.00		5	0.63		20	2.52		2	0.25		0	0.00		0	0.00		22	2.77		9	1.13		2	0.25		0	0.00		11	1.38		2	0.25		0	0.00		0	0.00		2	0.25		190	23.90		14	1.76		0	0.00		0	0.00		0	0.00		204	25.66		221	27.80		0	0.00		0	0.00		0	0.00		2	0.25		223	28.05		23	2.89		0	0.00		0	0.00		23	2.89		14	1.76		1	0.13		0	0.00		0	0.00		15	1.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		795	98.15		15	1.85		810	1.10																																													
	Cooyar		0	0.00		0	0.00		0	0.00		0	0.00		34	18.18		3	1.60		0	0.00		0	0.00		37	19.79		0	0.00		0	0.00		0	0.00		0	0.00		55	29.41		6	3.21		0	0.00		1	0.53		62	33.16		2	1.07		2	1.07		1	0.53		5	2.67		7	3.74		0	0.00		0	0.00		0	0.00		7	3.74		3	1.60		0	0.00		0	0.00		3	1.60		0	0.00		0	0.00		0	0.00		0	0.00		25	13.37		9	4.81		0	0.00		0	0.00		0	0.00		34	18.18		33	17.65		2	1.07		0	0.00		0	0.00		0	0.00		35	18.72		0	0.00		0	0.00		0	0.00		0	0.00		4	2.14		0	0.00		0	0.00		0	0.00		4	2.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		187	97.40		5	2.60		192	0.26																																													
	Crows Nest		3	0.24		0	0.00		1	0.08		4	0.32		190	15.14		7	0.56		0	0.00		0	0.00		197	15.70		1	0.08		0	0.00		0	0.00		1	0.08		130	10.36		12	0.96		0	0.00		0	0.00		142	11.31		11	0.88		2	0.16		1	0.08		14	1.12		29	2.31		5	0.40		0	0.00		0	0.00		34	2.71		9	0.72		1	0.08		0	0.00		10	0.80		2	0.16		0	0.00		0	0.00		2	0.16		255	20.32		13	1.04		2	0.16		0	0.00		0	0.00		270	21.51		494	39.36		6	0.48		0	0.00		0	0.00		0	0.00		500	39.84		24	1.91		0	0.00		0	0.00		24	1.91		52	4.14		4	0.32		0	0.00		0	0.00		56	4.46		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		1255	95.95		53	4.05		1308	1.78																																													
	Esk		3	0.29		1	0.10		0	0.00		4	0.38		288	27.56		7	0.67		1	0.10		0	0.00		296	28.33		2	0.19		0	0.00		0	0.00		2	0.19		120	11.48		2	0.19		0	0.00		0	0.00		122	11.67		7	0.67		0	0.00		0	0.00		7	0.67		26	2.49		3	0.29		0	0.00		1	0.10		30	2.87		5	0.48		1	0.10		0	0.00		6	0.57		2	0.19		0	0.00		0	0.00		2	0.19		237	22.68		10	0.96		0	0.00		0	0.00		0	0.00		247	23.64		282	26.99		5	0.48		0	0.00		0	0.00		0	0.00		287	27.46		8	0.77		0	0.00		0	0.00		8	0.77		31	2.97		2	0.19		0	0.00		0	0.00		33	3.16		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		1045	97.03		32	2.97		1077	1.46																																													
	Fernvale		1	0.08		0	0.00		0	0.00		1	0.08		286	23.62		10	0.83		0	0.00		1	0.08		297	24.53		0	0.00		0	0.00		0	0.00		0	0.00		85	7.02		6	0.50		0	0.00		0	0.00		91	7.51		5	0.41		1	0.08		0	0.00		6	0.50		46	3.80		3	0.25		0	0.00		1	0.08		50	4.13		25	2.06		0	0.00		0	0.00		25	2.06		0	0.00		0	0.00		0	0.00		0	0.00		228	18.83		18	1.49		1	0.08		0	0.00		0	0.00		247	20.40		430	35.51		8	0.66		0	0.00		0	0.00		0	0.00		438	36.17		9	0.74		0	0.00		0	0.00		9	0.74		42	3.47		4	0.33		0	0.00		0	0.00		46	3.80		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		1211	97.04		37	2.96		1248	1.69																																													
