Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Bowman (87122)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Alexandra Hills		7	0.25		2	0.07		0	0.00		9	0.32		1232	44.21		16	0.57		1	0.04		1	0.04		1250	44.85		2	0.07		0	0.00		0	0.00		2	0.07		79	2.83		6	0.22		0	0.00		1	0.04		86	3.09		22	0.79		8	0.29		0	0.00		30	1.08		57	2.05		4	0.14		0	0.00		0	0.00		61	2.19		31	1.11		4	0.14		0	0.00		35	1.26		3	0.11		0	0.00		0	0.00		3	0.11		152	5.45		13	0.47		1	0.04		0	0.00		0	0.00		166	5.96		900	32.29		7	0.25		1	0.04		0	0.00		0	0.00		908	32.58		17	0.61		0	0.00		0	0.00		17	0.61		205	7.36		12	0.43		1	0.04		0	0.00		218	7.82		2	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.07		2787	96.80		92	3.20		2879	3.46																																															
	Alexandra Park		11	0.43		1	0.04		0	0.00		12	0.47		971	38.03		24	0.94		3	0.12		1	0.04		999	39.13		1	0.04		0	0.00		0	0.00		1	0.04		66	2.59		4	0.16		0	0.00		0	0.00		70	2.74		23	0.90		4	0.16		1	0.04		28	1.10		63	2.47		2	0.08		0	0.00		0	0.00		65	2.55		34	1.33		1	0.04		0	0.00		35	1.37		2	0.08		1	0.04		0	0.00		3	0.12		158	6.19		16	0.63		0	0.00		0	0.00		0	0.00		174	6.82		888	34.78		15	0.59		1	0.04		0	0.00		1	0.04		905	35.45		21	0.82		0	0.00		0	0.00		21	0.82		220	8.62		14	0.55		2	0.08		1	0.04		237	9.28		1	0.04		1	0.04		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.12		2553	97.00		79	3.00		2632	3.17																																															
	Amity Point		1	0.38		1	0.38		0	0.00		2	0.76		109	41.44		8	3.04		0	0.00		0	0.00		117	44.49		0	0.00		0	0.00		0	0.00		0	0.00		7	2.66		0	0.00		0	0.00		0	0.00		7	2.66		1	0.38		1	0.38		0	0.00		2	0.76		10	3.80		2	0.76		0	0.00		0	0.00		12	4.56		1	0.38		0	0.00		0	0.00		1	0.38		1	0.38		0	0.00		0	0.00		1	0.38		15	5.70		8	3.04		0	0.00		0	0.00		0	0.00		23	8.75		79	30.04		3	1.14		0	0.00		0	0.00		0	0.00		82	31.18		1	0.38		1	0.38		0	0.00		2	0.76		11	4.18		3	1.14		0	0.00		0	0.00		14	5.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		263	95.29		13	4.71		276	0.33																																															
	Birkdale		11	0.27		0	0.00		0	0.00		11	0.27		1416	34.23		23	0.56		3	0.07		2	0.05		1444	34.90		1	0.02		1	0.02		0	0.00		2	0.05		138	3.34		9	0.22		0	0.00		0	0.00		147	3.55		23	0.56		6	0.15		2	0.05		31	0.75		87	2.10		9	0.22		0	0.00		0	0.00		96	2.32		43	1.04		7	0.17		0	0.00		50	1.21		3	0.07		2	0.05		0	0.00		5	0.12		324	7.83		25	0.60		0	0.00		0	0.00		0	0.00		349	8.44		1577	38.12		27	0.65		4	0.10		0	0.00		1	0.02		1609	38.89		42	1.02		0	0.00		2	0.05		44	1.06		313	7.57		32	0.77		2	0.05		0	0.00		347	8.39		1	0.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.02		0	0.00		2	0.05		4137	96.01		172	3.99		4309	5.18																																															
	Birkdale South		10	0.27		0	0.00		0	0.00		10	0.27		1375	37.53		22	0.60		2	0.05		2	0.05		1401	38.24		0	0.00		0	0.00		0	0.00		0	0.00		157	4.28		6	0.16		0	0.00		0	0.00		163	4.45		40	1.09		6	0.16		5	0.14		51	1.39		70	1.91		6	0.16		1	0.03		4	0.11		81	2.21		46	1.26		2	0.05		1	0.03		49	1.34		6	0.16		0	0.00		0	0.00		6	0.16		252	6.88		21	0.57		0	0.00		0	0.00		0	0.00		273	7.45		1250	34.12		20	0.55		2	0.05		0	0.00		0	0.00		1272	34.72		44	1.20		0	0.00		0	0.00		44	1.20		287	7.83		22	0.60		1	0.03		4	0.11		314	8.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3664	96.57		130	3.43		3794	4.56																																															
	Brisbane City (Bowman)		1	0.67		0	0.00		0	0.00		1	0.67		47	31.54		0	0.00		0	0.00		0	0.00		47	31.54		0	0.00		0	0.00		0	0.00		0	0.00		4	2.68		0	0.00		0	0.00		0	0.00		4	2.68		3	2.01		0	0.00		0	0.00		3	2.01		6	4.03		2	1.34		1	0.67		0	0.00		9	6.04		5	3.36		0	0.00		0	0.00		5	3.36		0	0.00		0	0.00		0	0.00		0	0.00		7	4.70		1	0.67		0	0.00		0	0.00		0	0.00		8	5.37		45	30.20		1	0.67		0	0.00		0	0.00		0	0.00		46	30.87		3	2.01		0	0.00		0	0.00		3	2.01		19	12.75		3	2.01		0	0.00		1	0.67		23	15.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		149	96.13		6	3.87		155	0.19																																															
	Capalaba		8	0.35		1	0.04		0	0.00		9	0.40		881	38.67		13	0.57		0	0.00		2	0.09		896	39.33		0	0.00		0	0.00		0	0.00		0	0.00		86	3.78		7	0.31		0	0.00		0	0.00		93	4.08		11	0.48		3	0.13		1	0.04		15	0.66		45	1.98		5	0.22		0	0.00		1	0.04		51	2.24		28	1.23		3	0.13		0	0.00		31	1.36		4	0.18		0	0.00		0	0.00		4	0.18		191	8.38		20	0.88		0	0.00		0	0.00		0	0.00		211	9.26		725	31.83		7	0.31		2	0.09		0	0.00		0	0.00		734	32.22		29	1.27		1	0.04		0	0.00		30	1.32		190	8.34		12	0.53		0	0.00		2	0.09		204	8.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2278	95.51		107	4.49		2385	2.87																																															
	Capalaba School (Bowman)		17	0.57		1	0.03		0	0.00		18	0.61		1289	43.36		17	0.57		5	0.17		2	0.07		1313	44.16		1	0.03		0	0.00		0	0.00		1	0.03		89	2.99		9	0.30		0	0.00		0	0.00		98	3.30		26	0.87		4	0.13		0	0.00		30	1.01		40	1.35		2	0.07		2	0.07		1	0.03		45	1.51		26	0.87		0	0.00		0	0.00		26	0.87		2	0.07		3	0.10		0	0.00		5	0.17		204	6.86		15	0.50		1	0.03		0	0.00		0	0.00		220	7.40		959	32.26		15	0.50		3	0.10		0	0.00		0	0.00		977	32.86		32	1.08		1	0.03		0	0.00		33	1.11		190	6.39		15	0.50		0	0.00		0	0.00		205	6.90		1	0.03		0	0.00		0	0.00		1	0.03		0	0.00		0	0.00		0	0.00		0	0.00		2	0.07		2973	96.59		105	3.41		3078	3.70																																															
	Cleveland		3	0.14		2	0.09		0	0.00		5	0.23		628	28.79		10	0.46		2	0.09		1	0.05		641	29.39		3	0.14		0	0.00		0	0.00		3	0.14		101	4.63		5	0.23		0	0.00		0	0.00		106	4.86		22	1.01		1	0.05		0	0.00		23	1.05		46	2.11		7	0.32		0	0.00		2	0.09		55	2.52		24	1.10		3	0.14		0	0.00		27	1.24		2	0.09		1	0.05		0	0.00		3	0.14		168	7.70		16	0.73		0	0.00		0	0.00		0	0.00		184	8.44		909	41.68		21	0.96		6	0.28		0	0.00		0	0.00		936	42.92		14	0.64		0	0.00		0	0.00		14	0.64		171	7.84		12	0.55		0	0.00		1	0.05		184	8.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2181	96.29		84	3.71		2265	2.72																																													
	Cleveland School		10	0.23		0	0.00		0	0.00		10	0.23		1125	26.14		25	0.58		1	0.02		0	0.00		1151	26.74		1	0.02		1	0.02		0	0.00		2	0.05		228	5.30		20	0.46		0	0.00		0	0.00		248	5.76		25	0.58		1	0.02		0	0.00		26	0.60		92	2.14		7	0.16		0	0.00		0	0.00		99	2.30		27	0.63		2	0.05		0	0.00		29	0.67		5	0.12		0	0.00		0	0.00		5	0.12		321	7.46		28	0.65		0	0.00		0	0.00		0	0.00		349	8.11		2058	47.82		18	0.42		2	0.05		1	0.02		2	0.05		2081	48.35		28	0.65		0	0.00		0	0.00		28	0.65		260	6.04		11	0.26		2	0.05		1	0.02		274	6.37		1	0.02		0	0.00		1	0.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.05		4304	96.63		150	3.37		4454	5.36																																													
	Coolnwynpin		6	0.23		0	0.00		0	0.00		6	0.23		920	35.26		13	0.50		5	0.19		3	0.11		941	36.07		1	0.04		0	0.00		0	0.00		1	0.04		96	3.68		9	0.34		0	0.00		0	0.00		105	4.02		20	0.77		1	0.04		1	0.04		22	0.84		28	1.07		3	0.11		0	0.00		0	0.00		31	1.19		25	0.96		2	0.08		0	0.00		27	1.03		0	0.00		0	0.00		0	0.00		0	0.00		153	5.86		22	0.84		0	0.00		0	0.00		0	0.00		175	6.71		1052	40.32		12	0.46		3	0.11		0	0.00		2	0.08		1069	40.97		23	0.88		0	0.00		0	0.00		23	0.88		193	7.40		15	0.57		0	0.00		1	0.04		209	8.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2609	96.63		91	3.37		2700	3.25																																													
	Dunwich		3	0.58		3	0.58		0	0.00		6	1.17		247	48.15		6	1.17		1	0.19		3	0.58		257	50.10		1	0.19		1	0.19		0	0.00		2	0.39		15	2.92		1	0.19		0	0.00		0	0.00		16	3.12		7	1.36		0	0.00		0	0.00		7	1.36		7	1.36		2	0.39		0	0.00		0	0.00		9	1.75		5	0.97		1	0.19		0	0.00		6	1.17		0	0.00		0	0.00		0	0.00		0	0.00		38	7.41		1	0.19		0	0.00		0	0.00		0	0.00		39	7.60		122	23.78		2	0.39		0	0.00		0	0.00		0	0.00		124	24.17		12	2.34		0	0.00		0	0.00		12	2.34		32	6.24		3	0.58		0	0.00		0	0.00		35	6.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		513	93.44		36	6.56		549	0.66																																													
	Gumdale (Bowman)		0	0.00		0	0.00		0	0.00		0	0.00		107	30.06		1	0.28		0	0.00		0	0.00		108	30.34		0	0.00		0	0.00		0	0.00		0	0.00		13	3.65		1	0.28		0	0.00		0	0.00		14	3.93		2	0.56		2	0.56		0	0.00		4	1.12		9	2.53		0	0.00		0	0.00		0	0.00		9	2.53		3	0.84		0	0.00		0	0.00		3	0.84		1	0.28		0	0.00		0	0.00		1	0.28		34	9.55		4	1.12		1	0.28		0	0.00		0	0.00		39	10.96		144	40.45		4	1.12		0	0.00		0	0.00		0	0.00		148	41.57		4	1.12		0	0.00		0	0.00		4	1.12		24	6.74		2	0.56		0	0.00		0	0.00		26	7.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		356	97.53		9	2.47		365	0.44																																													
	Hemmant		2	0.20		1	0.10		0	0.00		3	0.30		488	48.27		6	0.59		1	0.10		1	0.10		496	49.06		1	0.10		0	0.00		0	0.00		1	0.10		17	1.68		5	0.49		0	0.00		0	0.00		22	2.18		3	0.30		1	0.10		0	0.00		4	0.40		26	2.57		3	0.30		0	0.00		1	0.10		30	2.97		22	2.18		3	0.30		0	0.00		25	2.47		1	0.10		0	0.00		0	0.00		1	0.10		78	7.72		17	1.68		0	0.00		0	0.00		0	0.00		95	9.40		252	24.93		3	0.30		0	0.00		0	0.00		0	0.00		255	25.22		10	0.99		0	0.00		0	0.00		10	0.99		60	5.93		9	0.89		0	0.00		0	0.00		69	6.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1011	96.75		34	3.25		1045	1.26																																													
	Hilliard		2	0.10		1	0.05		0	0.00		3	0.15		629	32.22		12	0.61		0	0.00		4	0.20		645	33.04		1	0.05		0	0.00		0	0.00		1	0.05		33	1.69		4	0.20		0	0.00		0	0.00		37	1.90		11	0.56		3	0.15		1	0.05		15	0.77		42	2.15		4	0.20		0	0.00		0	0.00		46	2.36		17	0.87		3	0.15		0	0.00		20	1.02		0	0.00		0	0.00		0	0.00		0	0.00		115	5.89		7	0.36		0	0.00		0	0.00		0	0.00		122	6.25		892	45.70		7	0.36		3	0.15		0	0.00		0	0.00		902	46.21		9	0.46		0	0.00		0	0.00		9	0.46		142	7.27		6	0.31		1	0.05		1	0.05		150	7.68		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		2	0.10		1952	97.65		47	2.35		1999	2.40																																													
	Lake Sherrin		0	0.00		0	0.00		0	0.00		0	0.00		131	24.39		0	0.00		0	0.00		0	0.00		131	24.39		0	0.00		0	0.00		0	0.00		0	0.00		26	4.84		4	0.74		0	0.00		0	0.00		30	5.59		4	0.74		1	0.19		0	0.00		5	0.93		9	1.68		3	0.56		0	0.00		0	0.00		12	2.23		4	0.74		2	0.37		0	0.00		6	1.12		1	0.19		0	0.00		0	0.00		1	0.19		62	11.55		8	1.49		0	0.00		0	0.00		0	0.00		70	13.04		237	44.13		7	1.30		0	0.00		0	0.00		1	0.19		245	45.62		2	0.37		0	0.00		0	0.00		2	0.37		31	5.77		4	0.74		0	0.00		0	0.00		35	6.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		537	96.24		21	3.76		558	0.67																																													
	Lindum		0	0.00		0	0.00		0	0.00		0	0.00		448	46.91		8	0.84		1	0.10		1	0.10		458	47.96		1	0.10		0	0.00		0	0.00		1	0.10		55	5.76		13	1.36		0	0.00		0	0.00		68	7.12		7	0.73		0	0.00		0	0.00		7	0.73		16	1.68		4	0.42		0	0.00		1	0.10		21	2.20		12	1.26		1	0.10		0	0.00		13	1.36		0	0.00		0	0.00		0	0.00		0	0.00		60	6.28		8	0.84		1	0.10		0	0.00		0	0.00		69	7.23		238	24.92		5	0.52		1	0.10		0	0.00		0	0.00		244	25.55		11	1.15		0	0.00		0	0.00		11	1.15		55	5.76		7	0.73		0	0.00		1	0.10		63	6.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		955	95.79		42	4.21		997	1.20																																													
	Lota		9	0.59		0	0.00		0	0.00		9	0.59		637	42.02		13	0.86		1	0.07		3	0.20		654	43.14		0	0.00		0	0.00		0	0.00		0	0.00		60	3.96		3	0.20		0	0.00		0	0.00		63	4.16		11	0.73		4	0.26		0	0.00		15	0.99		42	2.77		8	0.53		1	0.07		1	0.07		52	3.43		12	0.79		1	0.07		0	0.00		13	0.86		0	0.00		0	0.00		0	0.00		0	0.00		111	7.32		8	0.53		0	0.00		0	0.00		0	0.00		119	7.85		435	28.69		5	0.33		1	0.07		0	0.00		1	0.07		442	29.16		14	0.92		0	0.00		0	0.00		14	0.92		116	7.65		16	1.06		0	0.00		2	0.13		134	8.84		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		1	0.07		1516	95.77		67	4.23		1583	1.90																																													
	Manly		5	0.51		1	0.10		0	0.00		6	0.61		305	31.25		7	0.72		0	0.00		2	0.20		314	32.17		0	0.00		0	0.00		0	0.00		0	0.00		106	10.86		12	1.23		0	0.00		0	0.00		118	12.09		4	0.41		0	0.00		0	0.00		4	0.41		34	3.48		4	0.41		0	0.00		1	0.10		39	4.00		5	0.51		0	0.00		0	0.00		5	0.51		1	0.10		0	0.00		1	0.10		2	0.20		48	4.92		13	1.33		1	0.10		0	0.00		0	0.00		62	6.35		325	33.30		7	0.72		1	0.10		0	0.00		1	0.10		334	34.22		4	0.41		0	0.00		0	0.00		4	0.41		78	7.99		9	0.92		0	0.00		0	0.00		87	8.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		1	0.10		976	96.16		39	3.84		1015	1.22																																													
	Manly School		3	0.21		1	0.07		0	0.00		4	0.27		520	35.71		9	0.62		3	0.21		1	0.07		533	36.61		2	0.14		0	0.00		0	0.00		2	0.14		126	8.65		7	0.48		0	0.00		0	0.00		133	9.13		6	0.41		0	0.00		0	0.00		6	0.41		51	3.50		18	1.24		2	0.14		0	0.00		71	4.88		17	1.17		2	0.14		0	0.00		19	1.30		1	0.07		0	0.00		0	0.00		1	0.07		80	5.49		8	0.55		0	0.00		0	0.00		0	0.00		88	6.04		455	31.25		13	0.89		3	0.21		1	0.07		2	0.14		474	32.55		12	0.82		0	0.00		0	0.00		12	0.82		95	6.52		15	1.03		0	0.00		2	0.14		112	7.69		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1456	96.94		46	3.06		1502	1.81																																													
