Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Brisbane (95781)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Alderley		14	0.73		2	0.10		0	0.00		16	0.83		681	35.32		20	1.04		2	0.10		1	0.05		704	36.51		0	0.00		1	0.05		0	0.00		1	0.05		84	4.36		11	0.57		0	0.00		0	0.00		95	4.93		4	0.21		2	0.10		0	0.00		6	0.31		73	3.79		9	0.47		1	0.05		3	0.16		86	4.46		13	0.67		1	0.05		0	0.00		14	0.73		2	0.10		1	0.05		0	0.00		3	0.16		87	4.51		15	0.78		0	0.00		0	0.00		0	0.00		102	5.29		639	33.14		15	0.78		5	0.26		0	0.00		0	0.00		659	34.18		7	0.36		0	0.00		0	0.00		7	0.36		205	10.63		25	1.30		2	0.10		1	0.05		233	12.09		1	0.05		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		2	0.10		1928	95.63		88	4.37		2016	2.25																																															
	Ashgrove		13	0.41		6	0.19		0	0.00		19	0.60		833	26.19		38	1.19		5	0.16		6	0.19		882	27.73		2	0.06		0	0.00		0	0.00		2	0.06		123	3.87		36	1.13		1	0.03		0	0.00		160	5.03		12	0.38		1	0.03		0	0.00		13	0.41		179	5.63		37	1.16		1	0.03		0	0.00		217	6.82		36	1.13		6	0.19		0	0.00		42	1.32		2	0.06		1	0.03		0	0.00		3	0.09		62	1.95		17	0.53		0	0.00		0	0.00		1	0.03		80	2.51		1249	39.26		19	0.60		9	0.28		0	0.00		3	0.09		1280	40.24		16	0.50		0	0.00		0	0.00		16	0.50		390	12.26		73	2.29		2	0.06		2	0.06		467	14.68		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3181	97.76		73	2.24		3254	3.64																																															
	Ashgrove West		12	0.56		2	0.09		0	0.00		14	0.65		536	24.85		34	1.58		1	0.05		3	0.14		574	26.61		0	0.00		1	0.05		0	0.00		1	0.05		103	4.78		18	0.83		1	0.05		0	0.00		122	5.66		3	0.14		2	0.09		0	0.00		5	0.23		139	6.44		22	1.02		0	0.00		1	0.05		162	7.51		18	0.83		3	0.14		0	0.00		21	0.97		3	0.14		0	0.00		0	0.00		3	0.14		45	2.09		14	0.65		0	0.00		0	0.00		0	0.00		59	2.74		885	41.03		25	1.16		10	0.46		0	0.00		6	0.28		926	42.93		6	0.28		0	0.00		0	0.00		6	0.28		226	10.48		33	1.53		1	0.05		4	0.19		264	12.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2157	98.09		42	1.91		2199	2.46																																															
	Auchenflower		9	0.55		6	0.37		1	0.06		16	0.98		391	24.05		27	1.66		6	0.37		1	0.06		425	26.14		1	0.06		0	0.00		0	0.00		1	0.06		104	6.40		20	1.23		0	0.00		0	0.00		124	7.63		5	0.31		1	0.06		0	0.00		6	0.37		89	5.47		30	1.85		1	0.06		1	0.06		121	7.44		15	0.92		5	0.31		0	0.00		20	1.23		3	0.18		0	0.00		0	0.00		3	0.18		24	1.48		11	0.68		0	0.00		0	0.00		0	0.00		35	2.15		587	36.10		23	1.41		5	0.31		2	0.12		4	0.25		621	38.19		3	0.18		0	0.00		0	0.00		3	0.18		198	12.18		51	3.14		1	0.06		1	0.06		251	15.44		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1626	97.37		44	2.63		1670	1.87																																															
	Ballymore		0	0.00		0	0.00		0	0.00		0	0.00		174	32.40		7	1.30		1	0.19		1	0.19		183	34.08		0	0.00		0	0.00		0	0.00		0	0.00		20	3.72		2	0.37		0	0.00		0	0.00		22	4.10		4	0.74		0	0.00		0	0.00		4	0.74		28	5.21		8	1.49		0	0.00		0	0.00		36	6.70		3	0.56		1	0.19		1	0.19		5	0.93		0	0.00		0	0.00		0	0.00		0	0.00		15	2.79		4	0.74		0	0.00		0	0.00		0	0.00		19	3.54		186	34.64		4	0.74		2	0.37		0	0.00		2	0.37		194	36.13		2	0.37		1	0.19		0	0.00		3	0.56		61	11.36		9	1.68		1	0.19		0	0.00		71	13.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		537	94.88		29	5.12		566	0.63																																															
	Bardon		1	0.08		2	0.15		0	0.00		3	0.23		344	26.08		17	1.29		3	0.23		0	0.00		364	27.60		1	0.08		0	0.00		0	0.00		1	0.08		62	4.70		16	1.21		0	0.00		0	0.00		78	5.91		5	0.38		0	0.00		0	0.00		5	0.38		90	6.82		24	1.82		1	0.08		1	0.08		116	8.79		12	0.91		5	0.38		0	0.00		17	1.29		1	0.08		0	0.00		0	0.00		1	0.08		33	2.50		5	0.38		0	0.00		0	0.00		0	0.00		38	2.88		478	36.24		17	1.29		6	0.45		0	0.00		3	0.23		504	38.21		6	0.45		0	0.00		0	0.00		6	0.45		155	11.75		30	2.27		1	0.08		0	0.00		186	14.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1319	97.56		33	2.44		1352	1.51																																															
	Brisbane City (Brisbane)		12	0.55		9	0.41		2	0.09		23	1.05		613	28.08		26	1.19		4	0.18		2	0.09		645	29.55		0	0.00		1	0.05		0	0.00		1	0.05		72	3.30		15	0.69		0	0.00		0	0.00		87	3.99		13	0.60		1	0.05		0	0.00		14	0.64		148	6.78		29	1.33		2	0.09		1	0.05		180	8.25		37	1.69		11	0.50		1	0.05		49	2.24		3	0.14		1	0.05		0	0.00		4	0.18		43	1.97		7	0.32		0	0.00		0	0.00		0	0.00		50	2.29		740	33.90		15	0.69		3	0.14		0	0.00		3	0.14		761	34.86		14	0.64		0	0.00		0	0.00		14	0.64		301	13.79		48	2.20		0	0.00		5	0.23		354	16.22		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		2183	97.11		65	2.89		2248	2.51																																															
	Buranda		3	0.49		1	0.16		1	0.16		5	0.81		229	37.18		12	1.95		0	0.00		3	0.49		244	39.61		1	0.16		0	0.00		0	0.00		1	0.16		22	3.57		2	0.32		0	0.00		0	0.00		24	3.90		3	0.49		0	0.00		0	0.00		3	0.49		38	6.17		10	1.62		0	0.00		2	0.32		50	8.12		12	1.95		5	0.81		0	0.00		17	2.76		0	0.00		0	0.00		0	0.00		0	0.00		43	6.98		4	0.65		0	0.00		0	0.00		0	0.00		47	7.63		147	23.86		3	0.49		1	0.16		0	0.00		0	0.00		151	24.51		0	0.00		0	0.00		0	0.00		0	0.00		61	9.90		12	1.95		0	0.00		0	0.00		73	11.85		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		1	0.16		616	95.95		26	4.05		642	0.72																																															
	Dorrington		2	0.17		2	0.17		0	0.00		4	0.34		352	29.70		17	1.43		2	0.17		2	0.17		373	31.48		0	0.00		0	0.00		0	0.00		0	0.00		51	4.30		12	1.01		0	0.00		0	0.00		63	5.32		5	0.42		1	0.08		0	0.00		6	0.51		59	4.98		10	0.84		0	0.00		1	0.08		70	5.91		7	0.59		2	0.17		0	0.00		9	0.76		0	0.00		0	0.00		0	0.00		0	0.00		44	3.71		14	1.18		0	0.00		0	0.00		0	0.00		58	4.89		448	37.81		10	0.84		3	0.25		0	0.00		0	0.00		461	38.90		4	0.34		0	0.00		0	0.00		4	0.34		111	9.37		22	1.86		1	0.08		3	0.25		137	11.56		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1185	96.50		43	3.50		1228	1.37																																													
	Dutton Park		11	1.08		9	0.88		3	0.29		23	2.25		391	38.30		15	1.47		1	0.10		2	0.20		409	40.06		0	0.00		0	0.00		0	0.00		0	0.00		28	2.74		8	0.78		0	0.00		0	0.00		36	3.53		11	1.08		1	0.10		1	0.10		13	1.27		79	7.74		25	2.45		2	0.20		3	0.29		109	10.68		18	1.76		3	0.29		0	0.00		21	2.06		2	0.20		0	0.00		0	0.00		2	0.20		18	1.76		5	0.49		0	0.00		0	0.00		0	0.00		23	2.25		250	24.49		10	0.98		2	0.20		0	0.00		1	0.10		263	25.76		4	0.39		0	0.00		0	0.00		4	0.39		94	9.21		18	1.76		3	0.29		2	0.20		117	11.46		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		1021	97.05		31	2.95		1052	1.18																																													
