Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Capricornia (81499)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Allenstown		10	0.44		4	0.18		0	0.00		14	0.62		925	40.91		10	0.44		2	0.09		0	0.00		937	41.44		4	0.18		0	0.00		0	0.00		4	0.18		252	11.15		8	0.35		0	0.00		0	0.00		260	11.50		10	0.44		7	0.31		0	0.00		17	0.75		45	1.99		5	0.22		0	0.00		0	0.00		50	2.21		38	1.68		3	0.13		0	0.00		41	1.81		3	0.13		0	0.00		0	0.00		3	0.13		220	9.73		15	0.66		0	0.00		0	0.00		0	0.00		235	10.39		513	22.69		5	0.22		3	0.13		0	0.00		0	0.00		521	23.04		33	1.46		0	0.00		0	0.00		33	1.46		135	5.97		9	0.40		1	0.04		1	0.04		146	6.46		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2261	98.13		43	1.87		2304	2.97																																															
	Alpha		1	0.30		0	0.00		0	0.00		1	0.30		90	27.11		0	0.00		0	0.00		0	0.00		90	27.11		2	0.60		0	0.00		0	0.00		2	0.60		131	39.46		1	0.30		0	0.00		0	0.00		132	39.76		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		1	0.30		4	1.20		0	0.00		0	0.00		4	1.20		0	0.00		0	0.00		0	0.00		0	0.00		54	16.27		1	0.30		0	0.00		0	0.00		0	0.00		55	16.57		42	12.65		0	0.00		0	0.00		0	0.00		0	0.00		42	12.65		3	0.90		0	0.00		0	0.00		3	0.90		1	0.30		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		1	0.30		332	96.51		12	3.49		344	0.44																																															
	Alton Downs		1	0.20		0	0.00		0	0.00		1	0.20		146	29.67		1	0.20		0	0.00		0	0.00		147	29.88		0	0.00		0	0.00		0	0.00		0	0.00		126	25.61		6	1.22		0	0.00		0	0.00		132	26.83		5	1.02		1	0.20		0	0.00		6	1.22		6	1.22		2	0.41		0	0.00		0	0.00		8	1.63		1	0.20		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		0	0.00		0	0.00		65	13.21		6	1.22		1	0.20		0	0.00		0	0.00		72	14.63		102	20.73		2	0.41		0	0.00		0	0.00		0	0.00		104	21.14		7	1.42		1	0.20		0	0.00		8	1.63		10	2.03		2	0.41		0	0.00		0	0.00		12	2.44		1	0.20		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.20		492	98.60		7	1.40		499	0.64																																															
	Applegarth		3	1.75		0	0.00		0	0.00		3	1.75		64	37.43		2	1.17		0	0.00		0	0.00		66	38.60		0	0.00		0	0.00		0	0.00		0	0.00		26	15.20		3	1.75		0	0.00		0	0.00		29	16.96		1	0.58		0	0.00		0	0.00		1	0.58		4	2.34		2	1.17		0	0.00		0	0.00		6	3.51		1	0.58		0	0.00		0	0.00		1	0.58		0	0.00		0	0.00		0	0.00		0	0.00		24	14.04		1	0.58		0	0.00		0	0.00		0	0.00		25	14.62		29	16.96		0	0.00		0	0.00		0	0.00		0	0.00		29	16.96		0	0.00		0	0.00		0	0.00		0	0.00		11	6.43		0	0.00		0	0.00		0	0.00		11	6.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		171	96.61		6	3.39		177	0.23																																															
	Aramac		0	0.00		0	0.00		0	0.00		0	0.00		84	32.81		3	1.17		0	0.00		0	0.00		87	33.98		0	0.00		0	0.00		0	0.00		0	0.00		64	25.00		0	0.00		0	0.00		0	0.00		64	25.00		1	0.39		0	0.00		0	0.00		1	0.39		5	1.95		0	0.00		0	0.00		0	0.00		5	1.95		2	0.78		1	0.39		0	0.00		3	1.17		0	0.00		0	0.00		0	0.00		0	0.00		37	14.45		4	1.56		0	0.00		0	0.00		0	0.00		41	16.02		47	18.36		0	0.00		0	0.00		0	0.00		0	0.00		47	18.36		5	1.95		0	0.00		0	0.00		5	1.95		2	0.78		0	0.00		0	0.00		1	0.39		3	1.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		256	97.71		6	2.29		262	0.34																																															
	Archer Park		3	0.44		1	0.15		1	0.15		5	0.74		305	45.19		7	1.04		0	0.00		1	0.15		313	46.37		1	0.15		0	0.00		0	0.00		1	0.15		64	9.48		5	0.74		0	0.00		0	0.00		69	10.22		4	0.59		0	0.00		0	0.00		4	0.59		9	1.33		1	0.15		0	0.00		0	0.00		10	1.48		4	0.59		0	0.00		0	0.00		4	0.59		0	0.00		0	0.00		0	0.00		0	0.00		97	14.37		3	0.44		0	0.00		0	0.00		0	0.00		100	14.81		130	19.26		3	0.44		0	0.00		0	0.00		0	0.00		133	19.70		14	2.07		1	0.15		0	0.00		15	2.22		19	2.81		2	0.30		0	0.00		0	0.00		21	3.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		675	97.97		14	2.03		689	0.89																																															
	Barcaldine		4	0.50		0	0.00		0	0.00		4	0.50		404	50.37		3	0.37		1	0.12		0	0.00		408	50.87		1	0.12		0	0.00		0	0.00		1	0.12		136	16.96		6	0.75		0	0.00		0	0.00		142	17.71		4	0.50		0	0.00		0	0.00		4	0.50		7	0.87		2	0.25		0	0.00		0	0.00		9	1.12		3	0.37		0	0.00		0	0.00		3	0.37		0	0.00		0	0.00		0	0.00		0	0.00		67	8.35		4	0.50		0	0.00		0	0.00		0	0.00		71	8.85		138	17.21		4	0.50		0	0.00		0	0.00		0	0.00		142	17.71		6	0.75		0	0.00		0	0.00		6	0.75		12	1.50		0	0.00		0	0.00		0	0.00		12	1.50		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		802	96.16		32	3.84		834	1.07																																															
	Berserker		7	0.31		2	0.09		1	0.04		10	0.44		1136	50.33		15	0.66		7	0.31		4	0.18		1162	51.48		2	0.09		0	0.00		0	0.00		2	0.09		198	8.77		8	0.35		2	0.09		1	0.04		209	9.26		26	1.15		5	0.22		3	0.13		34	1.51		47	2.08		11	0.49		0	0.00		1	0.04		59	2.61		27	1.20		0	0.00		1	0.04		28	1.24		1	0.04		1	0.04		0	0.00		2	0.09		224	9.92		15	0.66		1	0.04		0	0.00		0	0.00		240	10.63		374	16.57		8	0.35		0	0.00		0	0.00		0	0.00		382	16.93		35	1.55		1	0.04		0	0.00		36	1.60		86	3.81		6	0.27		0	0.00		0	0.00		92	4.08		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2257	97.62		55	2.38		2312	2.98																																															
	Bouldercombe		1	0.21		0	0.00		0	0.00		1	0.21		170	35.49		0	0.00		0	0.00		1	0.21		171	35.70		0	0.00		0	0.00		0	0.00		0	0.00		71	14.82		2	0.42		0	0.00		1	0.21		74	15.45		4	0.84		0	0.00		0	0.00		4	0.84		13	2.71		0	0.00		0	0.00		0	0.00		13	2.71		4	0.84		1	0.21		0	0.00		5	1.04		0	0.00		0	0.00		0	0.00		0	0.00		102	21.29		3	0.63		0	0.00		0	0.00		0	0.00		105	21.92		68	14.20		1	0.21		1	0.21		0	0.00		0	0.00		70	14.61		11	2.30		0	0.00		0	0.00		11	2.30		25	5.22		0	0.00		0	0.00		0	0.00		25	5.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		479	97.16		14	2.84		493	0.64																																													
	Brisbane City (Capricornia)		0	0.00		0	0.00		0	0.00		0	0.00		34	27.42		0	0.00		0	0.00		0	0.00		34	27.42		0	0.00		0	0.00		0	0.00		0	0.00		11	8.87		0	0.00		0	0.00		0	0.00		11	8.87		1	0.81		0	0.00		0	0.00		1	0.81		1	0.81		0	0.00		0	0.00		0	0.00		1	0.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	2.42		1	0.81		0	0.00		0	0.00		0	0.00		4	3.23		54	43.55		3	2.42		0	0.00		0	0.00		1	0.81		58	46.77		1	0.81		0	0.00		0	0.00		1	0.81		13	10.48		0	0.00		0	0.00		1	0.81		14	11.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		124	99.20		1	0.80		125	0.16																																													
