Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Dawson (87405)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Airlie Beach		1	0.18		0	0.00		0	0.00		1	0.18		156	28.78		4	0.74		0	0.00		1	0.18		161	29.70		0	0.00		0	0.00		0	0.00		0	0.00		141	26.01		0	0.00		0	0.00		0	0.00		141	26.01		5	0.92		1	0.18		0	0.00		6	1.11		19	3.51		2	0.37		0	0.00		0	0.00		21	3.87		10	1.85		1	0.18		0	0.00		11	2.03		1	0.18		0	0.00		0	0.00		1	0.18		21	3.87		4	0.74		0	0.00		0	0.00		0	0.00		25	4.61		122	22.51		4	0.74		0	0.00		0	0.00		0	0.00		126	23.25		2	0.37		0	0.00		0	0.00		2	0.37		42	7.75		4	0.74		0	0.00		0	0.00		46	8.49		0	0.00		1	0.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		542	98.37		9	1.63		551	0.66																																															
	Airville		0	0.00		0	0.00		0	0.00		0	0.00		59	15.13		0	0.00		1	0.26		0	0.00		60	15.38		0	0.00		0	0.00		0	0.00		0	0.00		130	33.33		2	0.51		0	0.00		0	0.00		132	33.85		4	1.03		1	0.26		0	0.00		5	1.28		4	1.03		1	0.26		0	0.00		0	0.00		5	1.28		1	0.26		0	0.00		0	0.00		1	0.26		0	0.00		0	0.00		0	0.00		0	0.00		54	13.85		3	0.77		0	0.00		0	0.00		0	0.00		57	14.62		113	28.97		5	1.28		0	0.00		0	0.00		0	0.00		118	30.26		4	1.03		0	0.00		0	0.00		4	1.03		6	1.54		2	0.51		0	0.00		0	0.00		8	2.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		390	94.20		24	5.80		414	0.50																																															
	Alligator Creek		4	0.36		0	0.00		0	0.00		4	0.36		427	38.71		7	0.63		1	0.09		2	0.18		437	39.62		2	0.18		0	0.00		0	0.00		2	0.18		239	21.67		3	0.27		2	0.18		0	0.00		244	22.12		9	0.82		0	0.00		0	0.00		9	0.82		33	2.99		0	0.00		0	0.00		0	0.00		33	2.99		13	1.18		0	0.00		0	0.00		13	1.18		3	0.27		0	0.00		0	0.00		3	0.27		174	15.78		11	1.00		0	0.00		0	0.00		0	0.00		185	16.77		123	11.15		0	0.00		0	0.00		0	0.00		0	0.00		123	11.15		15	1.36		0	0.00		0	0.00		15	1.36		30	2.72		2	0.18		1	0.09		1	0.09		34	3.08		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		0	0.00		1	0.09		1103	96.58		39	3.42		1142	1.37																																															
	Andergrove		10	0.37		0	0.00		0	0.00		10	0.37		1107	40.49		13	0.48		1	0.04		0	0.00		1121	41.00		6	0.22		0	0.00		0	0.00		6	0.22		615	22.49		11	0.40		0	0.00		1	0.04		627	22.93		32	1.17		3	0.11		0	0.00		35	1.28		51	1.87		1	0.04		0	0.00		1	0.04		53	1.94		39	1.43		3	0.11		0	0.00		42	1.54		4	0.15		0	0.00		0	0.00		4	0.15		309	11.30		5	0.18		1	0.04		0	0.00		0	0.00		315	11.52		334	12.22		4	0.15		1	0.04		0	0.00		0	0.00		339	12.40		34	1.24		1	0.04		0	0.00		35	1.28		137	5.01		7	0.26		0	0.00		1	0.04		145	5.30		1	0.04		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		2	0.07		2734	97.23		78	2.77		2812	3.38																																															
	Ayr		7	0.29		3	0.13		0	0.00		10	0.42		737	30.97		12	0.50		1	0.04		0	0.00		750	31.51		8	0.34		0	0.00		0	0.00		8	0.34		412	17.31		6	0.25		1	0.04		0	0.00		419	17.61		24	1.01		2	0.08		1	0.04		27	1.13		26	1.09		3	0.13		0	0.00		0	0.00		29	1.22		22	0.92		1	0.04		1	0.04		24	1.01		4	0.17		0	0.00		0	0.00		4	0.17		271	11.39		14	0.59		0	0.00		0	0.00		0	0.00		285	11.97		699	29.37		17	0.71		0	0.00		0	0.00		0	0.00		716	30.08		36	1.51		1	0.04		0	0.00		37	1.55		63	2.65		7	0.29		1	0.04		0	0.00		71	2.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2380	95.58		110	4.42		2490	2.99																																															
	Ayr North		0	0.00		0	0.00		0	0.00		0	0.00		113	40.50		2	0.72		0	0.00		0	0.00		115	41.22		0	0.00		0	0.00		0	0.00		0	0.00		42	15.05		2	0.72		0	0.00		0	0.00		44	15.77		0	0.00		0	0.00		0	0.00		0	0.00		1	0.36		0	0.00		0	0.00		1	0.36		2	0.72		2	0.72		0	0.00		0	0.00		2	0.72		0	0.00		0	0.00		0	0.00		0	0.00		31	11.11		1	0.36		0	0.00		0	0.00		0	0.00		32	11.47		69	24.73		2	0.72		0	0.00		0	0.00		0	0.00		71	25.45		4	1.43		0	0.00		0	0.00		4	1.43		9	3.23		0	0.00		0	0.00		0	0.00		9	3.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		279	96.21		11	3.79		290	0.35																																															
	Beaconsfield		1	0.13		0	0.00		0	0.00		1	0.13		325	43.05		7	0.93		1	0.13		0	0.00		333	44.11		1	0.13		0	0.00		0	0.00		1	0.13		179	23.71		9	1.19		0	0.00		0	0.00		188	24.90		6	0.79		0	0.00		0	0.00		6	0.79		13	1.72		0	0.00		0	0.00		0	0.00		13	1.72		11	1.46		0	0.00		0	0.00		11	1.46		2	0.26		0	0.00		0	0.00		2	0.26		44	5.83		2	0.26		0	0.00		0	0.00		0	0.00		46	6.09		78	10.33		1	0.13		0	0.00		0	0.00		1	0.13		80	10.60		12	1.59		0	0.00		0	0.00		12	1.59		53	7.02		6	0.79		0	0.00		1	0.13		60	7.95		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		2	0.26		755	98.18		14	1.82		769	0.92																																															
	Bloomsbury		0	0.00		0	0.00		0	0.00		0	0.00		83	21.90		1	0.26		0	0.00		0	0.00		84	22.16		0	0.00		0	0.00		0	0.00		0	0.00		169	44.59		7	1.85		0	0.00		0	0.00		176	46.44		1	0.26		1	0.26		0	0.00		2	0.53		3	0.79		0	0.00		0	0.00		0	0.00		3	0.79		6	1.58		0	0.00		0	0.00		6	1.58		0	0.00		0	0.00		0	0.00		0	0.00		56	14.78		6	1.58		0	0.00		0	0.00		0	0.00		62	16.36		27	7.12		1	0.26		0	0.00		0	0.00		0	0.00		28	7.39		6	1.58		0	0.00		0	0.00		6	1.58		11	2.90		1	0.26		0	0.00		0	0.00		12	3.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		379	96.93		12	3.07		391	0.47																																															
	Bowen		4	0.18		2	0.09		1	0.04		7	0.31		1058	46.61		12	0.53		3	0.13		0	0.00		1073	47.27		1	0.04		0	0.00		0	0.00		1	0.04		459	20.22		11	0.48		0	0.00		1	0.04		471	20.75		31	1.37		4	0.18		1	0.04		36	1.59		42	1.85		3	0.13		0	0.00		0	0.00		45	1.98		22	0.97		1	0.04		0	0.00		23	1.01		0	0.00		0	0.00		0	0.00		0	0.00		294	12.95		16	0.70		0	0.00		0	0.00		0	0.00		310	13.66		197	8.68		4	0.18		0	0.00		1	0.04		0	0.00		202	8.90		25	1.10		1	0.04		0	0.00		26	1.15		70	3.08		4	0.18		0	0.00		1	0.04		75	3.30		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2270	95.50		107	4.50		2377	2.86																																													
	Bowen Hospital		1	0.37		1	0.37		0	0.00		2	0.74		131	48.16		0	0.00		0	0.00		0	0.00		131	48.16		0	0.00		0	0.00		0	0.00		0	0.00		47	17.28		0	0.00		0	0.00		0	0.00		47	17.28		0	0.00		0	0.00		0	0.00		0	0.00		8	2.94		0	0.00		0	0.00		0	0.00		8	2.94		8	2.94		0	0.00		0	0.00		8	2.94		0	0.00		0	0.00		0	0.00		0	0.00		31	11.40		3	1.10		0	0.00		0	0.00		0	0.00		34	12.50		30	11.03		0	0.00		1	0.37		0	0.00		0	0.00		31	11.40		5	1.84		0	0.00		0	0.00		5	1.84		6	2.21		0	0.00		0	0.00		0	0.00		6	2.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		272	97.84		6	2.16		278	0.33																																													
