Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Dickson (88001)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Albany Creek		11	0.27		2	0.05		0	0.00		13	0.32		1151	27.98		24	0.58		7	0.17		2	0.05		1184	28.79		0	0.00		0	0.00		0	0.00		0	0.00		155	3.77		12	0.29		0	0.00		0	0.00		167	4.06		44	1.07		4	0.10		1	0.02		49	1.19		84	2.04		7	0.17		0	0.00		0	0.00		91	2.21		45	1.09		4	0.10		0	0.00		49	1.19		1	0.02		0	0.00		0	0.00		1	0.02		228	5.54		24	0.58		0	0.00		0	0.00		0	0.00		252	6.13		1891	45.98		21	0.51		7	0.17		0	0.00		4	0.10		1923	46.75		46	1.12		4	0.10		0	0.00		50	1.22		305	7.42		22	0.53		1	0.02		4	0.10		332	8.07		1	0.02		0	0.00		1	0.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.05		4113	97.49		106	2.51		4219	4.98																																															
	Albany Creek South		7	0.16		2	0.05		1	0.02		10	0.23		1065	24.26		24	0.55		4	0.09		1	0.02		1094	24.92		2	0.05		0	0.00		0	0.00		2	0.05		146	3.33		19	0.43		0	0.00		1	0.02		166	3.78		62	1.41		6	0.14		3	0.07		71	1.62		78	1.78		10	0.23		1	0.02		0	0.00		89	2.03		29	0.66		3	0.07		0	0.00		32	0.73		6	0.14		0	0.00		1	0.02		7	0.16		154	3.51		31	0.71		1	0.02		0	0.00		0	0.00		186	4.24		2173	49.50		36	0.82		6	0.14		0	0.00		0	0.00		2215	50.46		23	0.52		1	0.02		1	0.02		25	0.57		462	10.52		29	0.66		0	0.00		1	0.02		492	11.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.02		0	0.00		0	0.00		0	0.00		1	0.02		4390	97.73		102	2.27		4492	5.30																																															
	Arana Hills		8	0.46		3	0.17		0	0.00		11	0.63		567	32.38		10	0.57		0	0.00		0	0.00		577	32.95		0	0.00		0	0.00		0	0.00		0	0.00		68	3.88		9	0.51		0	0.00		0	0.00		77	4.40		20	1.14		3	0.17		0	0.00		23	1.31		54	3.08		7	0.40		0	0.00		0	0.00		61	3.48		26	1.48		1	0.06		0	0.00		27	1.54		0	0.00		0	0.00		0	0.00		0	0.00		89	5.08		15	0.86		0	0.00		0	0.00		0	0.00		104	5.94		635	36.26		11	0.63		6	0.34		1	0.06		1	0.06		654	37.35		17	0.97		1	0.06		1	0.06		19	1.09		183	10.45		11	0.63		0	0.00		1	0.06		195	11.14		2	0.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		3	0.17		1751	97.93		37	2.07		1788	2.11																																															
	Bray Park		10	0.23		0	0.00		0	0.00		10	0.23		1843	41.66		32	0.72		8	0.18		3	0.07		1886	42.63		3	0.07		1	0.02		0	0.00		4	0.09		88	1.99		7	0.16		1	0.02		1	0.02		97	2.19		32	0.72		5	0.11		1	0.02		38	0.86		91	2.06		11	0.25		1	0.02		0	0.00		103	2.33		67	1.51		2	0.05		0	0.00		69	1.56		3	0.07		0	0.00		0	0.00		3	0.07		280	6.33		25	0.57		1	0.02		0	0.00		0	0.00		306	6.92		1447	32.71		23	0.52		5	0.11		0	0.00		1	0.02		1476	33.36		58	1.31		2	0.05		1	0.02		61	1.38		337	7.62		25	0.57		1	0.02		4	0.09		367	8.30		2	0.05		0	0.00		0	0.00		1	0.02		0	0.00		0	0.00		0	0.00		1	0.02		4	0.09		4424	97.06		134	2.94		4558	5.38																																															
	Brisbane City (Dickson)		1	0.47		0	0.00		0	0.00		1	0.47		58	27.36		3	1.42		1	0.47		0	0.00		62	29.25		0	0.00		0	0.00		0	0.00		0	0.00		4	1.89		1	0.47		0	0.00		0	0.00		5	2.36		3	1.42		0	0.00		0	0.00		3	1.42		11	5.19		2	0.94		0	0.00		0	0.00		13	6.13		7	3.30		0	0.00		0	0.00		7	3.30		0	0.00		1	0.47		0	0.00		1	0.47		7	3.30		0	0.00		0	0.00		0	0.00		0	0.00		7	3.30		86	40.57		3	1.42		0	0.00		0	0.00		0	0.00		89	41.98		1	0.47		0	0.00		0	0.00		1	0.47		20	9.43		1	0.47		0	0.00		0	0.00		21	9.91		0	0.00		1	0.47		1	0.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.94		212	97.25		6	2.75		218	0.26																																															
	Closeburn		2	0.30		0	0.00		0	0.00		2	0.30		127	19.01		3	0.45		1	0.15		0	0.00		131	19.61		1	0.15		0	0.00		0	0.00		1	0.15		52	7.78		8	1.20		0	0.00		0	0.00		60	8.98		8	1.20		1	0.15		0	0.00		9	1.35		42	6.29		16	2.40		0	0.00		1	0.15		59	8.83		2	0.30		1	0.15		0	0.00		3	0.45		0	0.00		1	0.15		0	0.00		1	0.15		49	7.34		4	0.60		0	0.00		0	0.00		0	0.00		53	7.93		282	42.22		6	0.90		3	0.45		0	0.00		0	0.00		291	43.56		3	0.45		0	0.00		0	0.00		3	0.45		44	6.59		11	1.65		0	0.00		0	0.00		55	8.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		668	97.52		17	2.48		685	0.81																																															
	Dakabin		2	0.23		0	0.00		0	0.00		2	0.23		295	33.52		8	0.91		0	0.00		1	0.11		304	34.55		0	0.00		0	0.00		0	0.00		0	0.00		34	3.86		3	0.34		0	0.00		0	0.00		37	4.20		15	1.70		1	0.11		1	0.11		17	1.93		28	3.18		1	0.11		0	0.00		0	0.00		29	3.30		13	1.48		2	0.23		0	0.00		15	1.70		1	0.11		0	0.00		0	0.00		1	0.11		59	6.70		8	0.91		0	0.00		0	0.00		0	0.00		67	7.61		319	36.25		2	0.23		0	0.00		0	0.00		0	0.00		321	36.48		9	1.02		0	0.00		0	0.00		9	1.02		70	7.95		6	0.68		0	0.00		2	0.23		78	8.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		880	97.45		23	2.55		903	1.07																																															
	Dayboro		6	0.38		1	0.06		0	0.00		7	0.44		367	23.20		7	0.44		2	0.13		3	0.19		379	23.96		2	0.13		0	0.00		0	0.00		2	0.13		174	11.00		10	0.63		1	0.06		1	0.06		186	11.76		6	0.38		2	0.13		1	0.06		9	0.57		106	6.70		15	0.95		1	0.06		1	0.06		123	7.77		18	1.14		1	0.06		0	0.00		19	1.20		3	0.19		0	0.00		0	0.00		3	0.19		101	6.38		14	0.88		0	0.00		0	0.00		0	0.00		115	7.27		613	38.75		13	0.82		2	0.13		1	0.06		1	0.06		630	39.82		20	1.26		0	0.00		0	0.00		20	1.26		78	4.93		10	0.63		0	0.00		1	0.06		89	5.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1582	97.17		46	2.83		1628	1.92																																															
	Eatons Hill		5	0.12		0	0.00		1	0.02		6	0.14		953	22.82		25	0.60		2	0.05		4	0.10		984	23.56		1	0.02		0	0.00		0	0.00		1	0.02		87	2.08		14	0.34		0	0.00		1	0.02		102	2.44		68	1.63		12	0.29		3	0.07		83	1.99		133	3.18		18	0.43		1	0.02		0	0.00		152	3.64		35	0.84		4	0.10		0	0.00		39	0.93		4	0.10		1	0.02		0	0.00		5	0.12		189	4.53		33	0.79		0	0.00		0	0.00		0	0.00		222	5.32		2108	50.48		37	0.89		1	0.02		0	0.00		5	0.12		2151	51.51		23	0.55		3	0.07		0	0.00		26	0.62		380	9.10		19	0.45		2	0.05		1	0.02		402	9.63		2	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.02		3	0.07		4176	98.37		69	1.63		4245	5.01																																													
	Everton Hills		5	0.18		0	0.00		1	0.04		6	0.22		830	29.78		11	0.39		1	0.04		5	0.18		847	30.39		1	0.04		1	0.04		0	0.00		2	0.07		83	2.98		13	0.47		0	0.00		0	0.00		96	3.44		32	1.15		6	0.22		3	0.11		41	1.47		80	2.87		5	0.18		0	0.00		0	0.00		85	3.05		40	1.44		1	0.04		1	0.04		42	1.51		2	0.07		0	0.00		0	0.00		2	0.07		153	5.49		27	0.97		0	0.00		0	0.00		0	0.00		180	6.46		1148	41.19		9	0.32		1	0.04		0	0.00		1	0.04		1159	41.59		17	0.61		0	0.00		0	0.00		17	0.61		283	10.15		19	0.68		2	0.07		1	0.04		305	10.94		3	0.11		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		0	0.00		0	0.00		5	0.18		2787	98.52		42	1.48		2829	3.34																																													
