Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Fairfax (84217)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Amamoor		0	0.00		1	0.24		0	0.00		1	0.24		74	17.41		2	0.47		0	0.00		0	0.00		76	17.88		2	0.47		0	0.00		0	0.00		2	0.47		96	22.59		3	0.71		1	0.24		0	0.00		100	23.53		5	1.18		6	1.41		0	0.00		11	2.59		9	2.12		1	0.24		0	0.00		0	0.00		10	2.35		4	0.94		0	0.00		0	0.00		4	0.94		1	0.24		0	0.00		0	0.00		1	0.24		87	20.47		11	2.59		0	0.00		0	0.00		0	0.00		98	23.06		94	22.12		3	0.71		0	0.00		0	0.00		0	0.00		97	22.82		6	1.41		0	0.00		0	0.00		6	1.41		17	4.00		1	0.24		0	0.00		0	0.00		18	4.24		1	0.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.24		425	98.15		8	1.85		433	0.54																																															
	Bli Bli		6	0.22		0	0.00		0	0.00		6	0.22		671	24.06		9	0.32		3	0.11		0	0.00		683	24.49		5	0.18		0	0.00		0	0.00		5	0.18		189	6.78		10	0.36		1	0.04		1	0.04		201	7.21		28	1.00		7	0.25		1	0.04		36	1.29		85	3.05		5	0.18		0	0.00		0	0.00		90	3.23		35	1.25		6	0.22		1	0.04		42	1.51		3	0.11		0	0.00		0	0.00		3	0.11		273	9.79		14	0.50		0	0.00		0	0.00		0	0.00		287	10.29		1193	42.78		16	0.57		0	0.00		0	0.00		0	0.00		1209	43.35		30	1.08		1	0.04		0	0.00		31	1.11		177	6.35		16	0.57		1	0.04		0	0.00		194	6.96		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2	0.07		2789	96.31		107	3.69		2896	3.63																																															
	Boreen Point		3	0.90		0	0.00		0	0.00		3	0.90		88	26.27		6	1.79		0	0.00		0	0.00		94	28.06		0	0.00		0	0.00		0	0.00		0	0.00		16	4.78		0	0.00		0	0.00		0	0.00		16	4.78		0	0.00		0	0.00		0	0.00		0	0.00		31	9.25		10	2.99		0	0.00		0	0.00		41	12.24		7	2.09		2	0.60		0	0.00		9	2.69		0	0.00		0	0.00		0	0.00		0	0.00		43	12.84		8	2.39		0	0.00		0	0.00		0	0.00		51	15.22		87	25.97		1	0.30		0	0.00		0	0.00		0	0.00		88	26.27		4	1.19		0	0.00		0	0.00		4	1.19		24	7.16		4	1.19		0	0.00		0	0.00		28	8.36		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		0	0.00		1	0.30		335	96.82		11	3.18		346	0.43																																															
	Brisbane City (Fairfax)		0	0.00		0	0.00		0	0.00		0	0.00		11	12.36		0	0.00		0	0.00		0	0.00		11	12.36		0	0.00		0	0.00		0	0.00		0	0.00		3	3.37		0	0.00		0	0.00		0	0.00		3	3.37		2	2.25		0	0.00		0	0.00		2	2.25		6	6.74		0	0.00		0	0.00		0	0.00		6	6.74		1	1.12		0	0.00		0	0.00		1	1.12		0	0.00		0	0.00		0	0.00		0	0.00		8	8.99		0	0.00		0	0.00		0	0.00		0	0.00		8	8.99		48	53.93		0	0.00		1	1.12		0	0.00		0	0.00		49	55.06		1	1.12		0	0.00		0	0.00		1	1.12		8	8.99		0	0.00		0	0.00		0	0.00		8	8.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	100.00		0	0.00		89	0.11																																															
	Burnside		8	0.38		2	0.10		0	0.00		10	0.48		484	23.03		17	0.81		1	0.05		2	0.10		504	23.98		1	0.05		1	0.05		0	0.00		2	0.10		176	8.37		3	0.14		0	0.00		0	0.00		179	8.52		43	2.05		3	0.14		0	0.00		46	2.19		84	4.00		12	0.57		1	0.05		0	0.00		97	4.61		30	1.43		1	0.05		0	0.00		31	1.47		0	0.00		0	0.00		0	0.00		0	0.00		209	9.94		24	1.14		0	0.00		0	0.00		0	0.00		233	11.08		798	37.96		4	0.19		1	0.05		0	0.00		0	0.00		803	38.20		27	1.28		0	0.00		0	0.00		27	1.28		160	7.61		10	0.48		0	0.00		0	0.00		170	8.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2102	97.09		63	2.91		2165	2.72																																															
	Chatsworth		0	0.00		0	0.00		0	0.00		0	0.00		77	15.91		2	0.41		0	0.00		0	0.00		79	16.32		1	0.21		0	0.00		0	0.00		1	0.21		68	14.05		2	0.41		0	0.00		1	0.21		71	14.67		8	1.65		3	0.62		0	0.00		11	2.27		12	2.48		3	0.62		0	0.00		0	0.00		15	3.10		4	0.83		0	0.00		0	0.00		4	0.83		0	0.00		1	0.21		0	0.00		1	0.21		105	21.69		5	1.03		0	0.00		0	0.00		0	0.00		110	22.73		154	31.82		5	1.03		0	0.00		0	0.00		1	0.21		160	33.06		11	2.27		0	0.00		0	0.00		11	2.27		18	3.72		0	0.00		0	0.00		1	0.21		19	3.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.41		2	0.41		484	97.19		14	2.81		498	0.62																																															
	Coolum Beach		11	0.28		1	0.03		0	0.00		12	0.31		1144	29.57		25	0.65		1	0.03		0	0.00		1170	30.24		2	0.05		0	0.00		0	0.00		2	0.05		65	1.68		8	0.21		0	0.00		1	0.03		74	1.91		33	0.85		7	0.18		1	0.03		41	1.06		292	7.55		23	0.59		4	0.10		2	0.05		321	8.30		72	1.86		10	0.26		1	0.03		83	2.15		2	0.05		0	0.00		0	0.00		2	0.05		249	6.44		22	0.57		1	0.03		0	0.00		0	0.00		272	7.03		1434	37.06		15	0.39		2	0.05		0	0.00		1	0.03		1452	37.53		39	1.01		2	0.05		0	0.00		41	1.06		371	9.59		22	0.57		4	0.10		0	0.00		397	10.26		0	0.00		0	0.00		2	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.05		3869	96.94		122	3.06		3991	5.01																																															
	Coolum Beach North		2	0.44		1	0.22		0	0.00		3	0.66		148	32.74		0	0.00		3	0.66		0	0.00		151	33.41		1	0.22		0	0.00		0	0.00		1	0.22		10	2.21		0	0.00		0	0.00		0	0.00		10	2.21		1	0.22		0	0.00		0	0.00		1	0.22		26	5.75		4	0.88		0	0.00		1	0.22		31	6.86		4	0.88		1	0.22		0	0.00		5	1.11		1	0.22		0	0.00		0	0.00		1	0.22		22	4.87		6	1.33		0	0.00		0	0.00		0	0.00		28	6.19		179	39.60		2	0.44		0	0.00		0	0.00		0	0.00		181	40.04		3	0.66		0	0.00		0	0.00		3	0.66		33	7.30		3	0.66		1	0.22		0	0.00		37	8.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		452	98.47		7	1.53		459	0.58																																															
	Cooran		2	0.31		0	0.00		0	0.00		2	0.31		177	27.57		6	0.93		3	0.47		0	0.00		186	28.97		0	0.00		0	0.00		0	0.00		0	0.00		54	8.41		1	0.16		0	0.00		0	0.00		55	8.57		5	0.78		0	0.00		0	0.00		5	0.78		37	5.76		8	1.25		2	0.31		2	0.31		49	7.63		19	2.96		1	0.16		0	0.00		20	3.12		1	0.16		0	0.00		0	0.00		1	0.16		98	15.26		2	0.31		0	0.00		0	0.00		0	0.00		100	15.58		156	24.30		4	0.62		0	0.00		0	0.00		0	0.00		160	24.92		7	1.09		0	0.00		0	0.00		7	1.09		47	7.32		10	1.56		0	0.00		0	0.00		57	8.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		642	97.27		18	2.73		660	0.83																																													
	Cooroy		9	0.31		0	0.00		0	0.00		9	0.31		696	24.15		8	0.28		2	0.07		2	0.07		708	24.57		2	0.07		0	0.00		0	0.00		2	0.07		111	3.85		11	0.38		0	0.00		0	0.00		122	4.23		35	1.21		3	0.10		1	0.03		39	1.35		139	4.82		23	0.80		0	0.00		2	0.07		164	5.69		36	1.25		6	0.21		0	0.00		42	1.46		3	0.10		0	0.00		0	0.00		3	0.10		331	11.49		27	0.94		0	0.00		0	0.00		0	0.00		358	12.42		1170	40.60		17	0.59		2	0.07		1	0.03		0	0.00		1190	41.29		35	1.21		1	0.03		0	0.00		36	1.25		189	6.56		13	0.45		2	0.07		1	0.03		205	7.11		1	0.03		0	0.00		1	0.03		1	0.03		0	0.00		0	0.00		0	0.00		1	0.03		4	0.14		2882	98.26		51	1.74		2933	3.68																																													
