Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Fisher (85315)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Alexandra Headland		1	0.17		0	0.00		0	0.00		1	0.17		118	19.50		2	0.33		1	0.17		1	0.17		122	20.17		0	0.00		0	0.00		0	0.00		0	0.00		43	7.11		2	0.33		0	0.00		0	0.00		45	7.44		7	1.16		0	0.00		0	0.00		7	1.16		37	6.12		6	0.99		1	0.17		0	0.00		44	7.27		6	0.99		2	0.33		0	0.00		8	1.32		1	0.17		0	0.00		0	0.00		1	0.17		46	7.60		4	0.66		0	0.00		0	0.00		0	0.00		50	8.26		266	43.97		4	0.66		1	0.17		0	0.00		0	0.00		271	44.79		2	0.33		0	0.00		0	0.00		2	0.33		51	8.43		2	0.33		0	0.00		1	0.17		54	8.93		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		605	98.69		8	1.31		613	0.76																																															
	Aroona		6	0.44		0	0.00		0	0.00		6	0.44		301	21.89		10	0.73		1	0.07		2	0.15		314	22.84		1	0.07		0	0.00		0	0.00		1	0.07		55	4.00		1	0.07		0	0.00		0	0.00		56	4.07		27	1.96		3	0.22		1	0.07		31	2.25		44	3.20		7	0.51		0	0.00		0	0.00		51	3.71		17	1.24		1	0.07		0	0.00		18	1.31		2	0.15		0	0.00		0	0.00		2	0.15		159	11.56		12	0.87		0	0.00		0	0.00		0	0.00		171	12.44		610	44.36		6	0.44		1	0.07		1	0.07		1	0.07		619	45.02		12	0.87		0	0.00		0	0.00		12	0.87		82	5.96		8	0.58		3	0.22		0	0.00		93	6.76		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1375	97.38		37	2.62		1412	1.74																																															
	Arthur Street		0	0.00		0	0.00		0	0.00		0	0.00		118	28.10		1	0.24		0	0.00		1	0.24		120	28.57		0	0.00		0	0.00		0	0.00		0	0.00		12	2.86		3	0.71		0	0.00		0	0.00		15	3.57		1	0.24		0	0.00		0	0.00		1	0.24		19	4.52		3	0.71		0	0.00		0	0.00		22	5.24		4	0.95		1	0.24		0	0.00		5	1.19		0	0.00		0	0.00		0	0.00		0	0.00		40	9.52		7	1.67		0	0.00		0	0.00		0	0.00		47	11.19		188	44.76		0	0.00		0	0.00		0	0.00		1	0.24		189	45.00		2	0.48		0	0.00		0	0.00		2	0.48		17	4.05		2	0.48		0	0.00		0	0.00		19	4.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		420	98.82		5	1.18		425	0.53																																															
	Brisbane City (Fisher)		0	0.00		1	0.99		0	0.00		1	0.99		14	13.86		2	1.98		0	0.00		0	0.00		16	15.84		0	0.00		0	0.00		0	0.00		0	0.00		3	2.97		0	0.00		0	0.00		0	0.00		3	2.97		0	0.00		0	0.00		0	0.00		0	0.00		7	6.93		1	0.99		0	0.00		0	0.00		8	7.92		2	1.98		1	0.99		0	0.00		3	2.97		0	0.00		0	0.00		0	0.00		0	0.00		5	4.95		1	0.99		0	0.00		0	0.00		0	0.00		6	5.94		40	39.60		3	2.97		0	0.00		0	0.00		0	0.00		43	42.57		1	0.99		0	0.00		0	0.00		1	0.99		16	15.84		3	2.97		0	0.00		0	0.00		19	18.81		0	0.00		0	0.00		0	0.00		0	0.00		1	0.99		0	0.00		0	0.00		0	0.00		1	0.99		101	100.00		0	0.00		101	0.12																																															
	Buddina		12	0.30		4	0.10		0	0.00		16	0.40		1094	27.05		16	0.40		4	0.10		2	0.05		1116	27.59		1	0.02		0	0.00		0	0.00		1	0.02		209	5.17		8	0.20		0	0.00		1	0.02		218	5.39		20	0.49		7	0.17		1	0.02		28	0.69		145	3.58		12	0.30		2	0.05		3	0.07		162	4.00		54	1.33		10	0.25		0	0.00		64	1.58		0	0.00		0	0.00		0	0.00		0	0.00		435	10.75		25	0.62		0	0.00		0	0.00		0	0.00		460	11.37		1671	41.31		21	0.52		6	0.15		0	0.00		3	0.07		1701	42.05		30	0.74		1	0.02		0	0.00		31	0.77		225	5.56		16	0.40		0	0.00		1	0.02		242	5.98		3	0.07		0	0.00		0	0.00		0	0.00		1	0.02		0	0.00		0	0.00		2	0.05		6	0.15		4045	96.49		147	3.51		4192	5.18																																															
	Buderim		4	0.09		0	0.00		0	0.00		4	0.09		799	18.36		17	0.39		1	0.02		2	0.05		819	18.81		0	0.00		0	0.00		0	0.00		0	0.00		152	3.49		11	0.25		2	0.05		0	0.00		165	3.79		42	0.96		6	0.14		3	0.07		51	1.17		230	5.28		22	0.51		2	0.05		2	0.05		256	5.88		40	0.92		3	0.07		0	0.00		43	0.99		2	0.05		1	0.02		0	0.00		3	0.07		301	6.91		24	0.55		1	0.02		0	0.00		0	0.00		326	7.49		2244	51.55		24	0.55		4	0.09		1	0.02		1	0.02		2274	52.24		26	0.60		1	0.02		0	0.00		27	0.62		349	8.02		31	0.71		1	0.02		0	0.00		381	8.75		1	0.02		0	0.00		0	0.00		2	0.05		0	0.00		0	0.00		1	0.02		0	0.00		4	0.09		4353	96.88		140	3.12		4493	5.55																																															
	Buderim Central		1	0.15		0	0.00		0	0.00		1	0.15		106	15.63		2	0.29		0	0.00		0	0.00		108	15.93		0	0.00		0	0.00		0	0.00		0	0.00		50	7.37		4	0.59		2	0.29		1	0.15		57	8.41		1	0.15		2	0.29		0	0.00		3	0.44		14	2.06		4	0.59		0	0.00		2	0.29		20	2.95		1	0.15		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		59	8.70		5	0.74		0	0.00		0	0.00		0	0.00		64	9.44		361	53.24		5	0.74		2	0.29		0	0.00		0	0.00		368	54.28		3	0.44		0	0.00		0	0.00		3	0.44		42	6.19		9	1.33		0	0.00		0	0.00		51	7.52		1	0.15		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		2	0.29		678	97.13		20	2.87		698	0.86																																															
	Buderim Garden Village		2	0.16		2	0.16		0	0.00		4	0.32		240	19.39		3	0.24		1	0.08		0	0.00		244	19.71		1	0.08		0	0.00		0	0.00		1	0.08		90	7.27		10	0.81		0	0.00		0	0.00		100	8.08		12	0.97		4	0.32		1	0.08		17	1.37		34	2.75		6	0.48		0	0.00		2	0.16		42	3.39		12	0.97		1	0.08		0	0.00		13	1.05		1	0.08		0	0.00		0	0.00		1	0.08		72	5.82		3	0.24		0	0.00		0	0.00		0	0.00		75	6.06		650	52.50		9	0.73		3	0.24		0	0.00		2	0.16		664	53.63		5	0.40		0	0.00		0	0.00		5	0.40		65	5.25		7	0.57		0	0.00		0	0.00		72	5.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1238	95.01		65	4.99		1303	1.61																																															
	Buderim Immanuel Lutheran College		1	0.30		0	0.00		0	0.00		1	0.30		55	16.37		0	0.00		1	0.30		0	0.00		56	16.67		0	0.00		0	0.00		0	0.00		0	0.00		20	5.95		2	0.60		0	0.00		0	0.00		22	6.55		7	2.08		0	0.00		0	0.00		7	2.08		19	5.65		3	0.89		0	0.00		0	0.00		22	6.55		2	0.60		0	0.00		0	0.00		2	0.60		0	0.00		0	0.00		0	0.00		0	0.00		23	6.85		4	1.19		0	0.00		0	0.00		0	0.00		27	8.04		164	48.81		3	0.89		1	0.30		0	0.00		0	0.00		168	50.00		3	0.89		1	0.30		0	0.00		4	1.19		23	6.85		4	1.19		0	0.00		0	0.00		27	8.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		336	96.00		14	4.00		350	0.43																																													
	Buderim North		2	0.14		0	0.00		0	0.00		2	0.14		293	20.96		5	0.36		1	0.07		1	0.07		300	21.46		0	0.00		0	0.00		0	0.00		0	0.00		50	3.58		8	0.57		0	0.00		0	0.00		58	4.15		16	1.14		4	0.29		1	0.07		21	1.50		38	2.72		3	0.21		0	0.00		1	0.07		42	3.00		9	0.64		1	0.07		0	0.00		10	0.72		3	0.21		0	0.00		0	0.00		3	0.21		143	10.23		7	0.50		0	0.00		0	0.00		0	0.00		150	10.73		699	50.00		6	0.43		0	0.00		0	0.00		0	0.00		705	50.43		8	0.57		1	0.07		0	0.00		9	0.64		87	6.22		7	0.50		0	0.00		2	0.14		96	6.87		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		1398	96.88		45	3.12		1443	1.78																																													
