Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Forde (86672)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Aratula		2	0.46		0	0.00		0	0.00		2	0.46		59	13.47		2	0.46		0	0.00		0	0.00		61	13.93		0	0.00		0	0.00		0	0.00		0	0.00		66	15.07		2	0.46		0	0.00		0	0.00		68	15.53		3	0.68		1	0.23		0	0.00		4	0.91		4	0.91		1	0.23		0	0.00		0	0.00		5	1.14		2	0.46		1	0.23		0	0.00		3	0.68		2	0.46		0	0.00		0	0.00		2	0.46		102	23.29		8	1.83		0	0.00		0	0.00		0	0.00		110	25.11		164	37.44		3	0.68		0	0.00		0	0.00		0	0.00		167	38.13		1	0.23		0	0.00		0	0.00		1	0.23		13	2.97		2	0.46		0	0.00		0	0.00		15	3.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		438	97.77		10	2.23		448	0.55																																															
	Beaudesert		20	0.59		4	0.12		1	0.03		25	0.74		860	25.43		22	0.65		2	0.06		2	0.06		886	26.20		2	0.06		1	0.03		0	0.00		3	0.09		338	9.99		21	0.62		0	0.00		0	0.00		359	10.62		21	0.62		6	0.18		1	0.03		28	0.83		54	1.60		7	0.21		0	0.00		1	0.03		62	1.83		29	0.86		7	0.21		0	0.00		36	1.06		4	0.12		0	0.00		0	0.00		4	0.12		437	12.92		30	0.89		2	0.06		0	0.00		0	0.00		469	13.87		1249	36.93		18	0.53		1	0.03		0	0.00		1	0.03		1269	37.52		49	1.45		0	0.00		0	0.00		49	1.45		176	5.20		12	0.35		1	0.03		2	0.06		191	5.65		1	0.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		3382	96.00		141	4.00		3523	4.29																																															
	Beechmont		0	0.00		0	0.00		0	0.00		0	0.00		87	22.42		3	0.77		0	0.00		1	0.26		91	23.45		0	0.00		0	0.00		0	0.00		0	0.00		39	10.05		8	2.06		0	0.00		0	0.00		47	12.11		2	0.52		0	0.00		0	0.00		2	0.52		35	9.02		8	2.06		2	0.52		0	0.00		45	11.60		7	1.80		1	0.26		0	0.00		8	2.06		0	0.00		0	0.00		0	0.00		0	0.00		23	5.93		3	0.77		0	0.00		0	0.00		0	0.00		26	6.70		122	31.44		1	0.26		0	0.00		0	0.00		0	0.00		123	31.70		3	0.77		0	0.00		0	0.00		3	0.77		38	9.79		4	1.03		0	0.00		1	0.26		43	11.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		388	97.73		9	2.27		397	0.48																																															
	Beenleigh		8	0.24		3	0.09		0	0.00		11	0.33		1201	36.49		30	0.91		1	0.03		2	0.06		1234	37.50		2	0.06		1	0.03		0	0.00		3	0.09		90	2.73		5	0.15		1	0.03		0	0.00		96	2.92		38	1.15		10	0.30		0	0.00		48	1.46		82	2.49		8	0.24		0	0.00		1	0.03		91	2.77		55	1.67		4	0.12		0	0.00		59	1.79		2	0.06		1	0.03		0	0.00		3	0.09		324	9.85		28	0.85		0	0.00		0	0.00		0	0.00		352	10.70		1125	34.18		22	0.67		2	0.06		1	0.03		3	0.09		1153	35.03		41	1.25		1	0.03		0	0.00		42	1.28		176	5.35		19	0.58		0	0.00		3	0.09		198	6.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		1	0.03		3291	96.28		127	3.72		3418	4.16																																															
	Beenleigh Central		6	0.63		0	0.00		1	0.10		7	0.73		379	39.73		4	0.42		0	0.00		1	0.10		384	40.25		1	0.10		0	0.00		0	0.00		1	0.10		37	3.88		3	0.31		1	0.10		0	0.00		41	4.30		5	0.52		3	0.31		0	0.00		8	0.84		14	1.47		0	0.00		0	0.00		0	0.00		14	1.47		23	2.41		1	0.10		0	0.00		24	2.52		0	0.00		0	0.00		0	0.00		0	0.00		104	10.90		3	0.31		0	0.00		0	0.00		0	0.00		107	11.22		308	32.29		7	0.73		3	0.31		0	0.00		0	0.00		318	33.33		18	1.89		0	0.00		0	0.00		18	1.89		25	2.62		6	0.63		0	0.00		1	0.10		32	3.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		954	96.46		35	3.54		989	1.20																																															
	Bethania		11	0.50		0	0.00		0	0.00		11	0.50		796	36.26		17	0.77		4	0.18		0	0.00		817	37.22		5	0.23		1	0.05		0	0.00		6	0.27		63	2.87		5	0.23		0	0.00		1	0.05		69	3.14		19	0.87		6	0.27		2	0.09		27	1.23		34	1.55		6	0.27		0	0.00		0	0.00		40	1.82		23	1.05		0	0.00		0	0.00		23	1.05		4	0.18		0	0.00		0	0.00		4	0.18		230	10.48		18	0.82		0	0.00		0	0.00		0	0.00		248	11.30		820	37.36		12	0.55		2	0.09		0	0.00		2	0.09		836	38.09		26	1.18		2	0.09		0	0.00		28	1.28		73	3.33		12	0.55		1	0.05		0	0.00		86	3.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2195	95.89		94	4.11		2289	2.79																																															
	Boonah		5	0.25		1	0.05		0	0.00		6	0.30		376	19.06		7	0.35		2	0.10		0	0.00		385	19.51		0	0.00		0	0.00		0	0.00		0	0.00		240	12.16		14	0.71		2	0.10		0	0.00		256	12.98		18	0.91		0	0.00		1	0.05		19	0.96		42	2.13		3	0.15		3	0.15		0	0.00		48	2.43		13	0.66		8	0.41		0	0.00		21	1.06		2	0.10		0	0.00		0	0.00		2	0.10		311	15.76		19	0.96		0	0.00		0	0.00		0	0.00		330	16.73		782	39.64		4	0.20		1	0.05		0	0.00		3	0.15		790	40.04		24	1.22		0	0.00		0	0.00		24	1.22		87	4.41		5	0.25		0	0.00		0	0.00		92	4.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1973	96.76		66	3.24		2039	2.48																																															
	Brisbane City (Forde)		1	1.19		0	0.00		0	0.00		1	1.19		19	22.62		1	1.19		0	0.00		1	1.19		21	25.00		0	0.00		0	0.00		0	0.00		0	0.00		4	4.76		0	0.00		0	0.00		0	0.00		4	4.76		1	1.19		0	0.00		0	0.00		1	1.19		1	1.19		1	1.19		0	0.00		0	0.00		2	2.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	2.38		1	1.19		0	0.00		0	0.00		0	0.00		3	3.57		40	47.62		1	1.19		0	0.00		0	0.00		1	1.19		42	50.00		0	0.00		0	0.00		0	0.00		0	0.00		8	9.52		2	2.38		0	0.00		0	0.00		10	11.90		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		84	93.33		6	6.67		90	0.11																																															
	Canowindra (Forde)		1	0.06		0	0.00		0	0.00		1	0.06		443	25.88		2	0.12		1	0.06		0	0.00		446	26.05		0	0.00		1	0.06		0	0.00		1	0.06		73	4.26		6	0.35		0	0.00		0	0.00		79	4.61		15	0.88		3	0.18		1	0.06		19	1.11		31	1.81		5	0.29		0	0.00		0	0.00		36	2.10		15	0.88		1	0.06		0	0.00		16	0.93		1	0.06		0	0.00		1	0.06		2	0.12		145	8.47		6	0.35		0	0.00		0	0.00		0	0.00		151	8.82		836	48.83		10	0.58		2	0.12		0	0.00		0	0.00		848	49.53		17	0.99		0	0.00		0	0.00		17	0.99		89	5.20		7	0.41		0	0.00		0	0.00		96	5.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1712	96.72		58	3.28		1770	2.16																																													
	Canungra		4	0.34		0	0.00		0	0.00		4	0.34		208	17.73		1	0.09		0	0.00		0	0.00		209	17.82		0	0.00		0	0.00		0	0.00		0	0.00		87	7.42		6	0.51		0	0.00		0	0.00		93	7.93		5	0.43		2	0.17		0	0.00		7	0.60		54	4.60		1	0.09		0	0.00		1	0.09		56	4.77		11	0.94		1	0.09		0	0.00		12	1.02		2	0.17		0	0.00		0	0.00		2	0.17		161	13.73		16	1.36		0	0.00		1	0.09		0	0.00		178	15.17		541	46.12		5	0.43		0	0.00		0	0.00		0	0.00		546	46.55		9	0.77		0	0.00		0	0.00		9	0.77		53	4.52		4	0.34		0	0.00		0	0.00		57	4.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1173	97.99		24	2.01		1197	1.46																																													
