Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Groom (84838)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Acland		0	0.00		0	0.00		0	0.00		0	0.00		27	14.14		2	1.05		0	0.00		0	0.00		29	15.18		0	0.00		0	0.00		0	0.00		0	0.00		35	18.32		1	0.52		0	0.00		0	0.00		36	18.85		4	2.09		1	0.52		0	0.00		5	2.62		3	1.57		0	0.00		0	0.00		0	0.00		3	1.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		45	23.56		9	4.71		0	0.00		0	0.00		0	0.00		54	28.27		53	27.75		3	1.57		0	0.00		0	0.00		0	0.00		56	29.32		2	1.05		0	0.00		0	0.00		2	1.05		5	2.62		0	0.00		0	0.00		0	0.00		5	2.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.52		1	0.52		191	96.95		6	3.05		197	0.24																																															
	Baker Street		1	0.21		1	0.21		0	0.00		2	0.42		104	22.08		3	0.64		0	0.00		0	0.00		107	22.72		0	0.00		0	0.00		0	0.00		0	0.00		31	6.58		1	0.21		0	0.00		0	0.00		32	6.79		14	2.97		3	0.64		3	0.64		20	4.25		23	4.88		3	0.64		0	0.00		0	0.00		26	5.52		5	1.06		1	0.21		0	0.00		6	1.27		1	0.21		0	0.00		0	0.00		1	0.21		23	4.88		1	0.21		0	0.00		0	0.00		0	0.00		24	5.10		194	41.19		3	0.64		0	0.00		0	0.00		1	0.21		198	42.04		2	0.42		0	0.00		0	0.00		2	0.42		45	9.55		5	1.06		1	0.21		2	0.42		53	11.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		471	97.11		14	2.89		485	0.60																																															
	Biddeston		0	0.00		0	0.00		0	0.00		0	0.00		40	11.02		1	0.28		0	0.00		0	0.00		41	11.29		1	0.28		0	0.00		0	0.00		1	0.28		93	25.62		7	1.93		0	0.00		0	0.00		100	27.55		1	0.28		1	0.28		0	0.00		2	0.55		5	1.38		0	0.00		0	0.00		0	0.00		5	1.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		60	16.53		11	3.03		0	0.00		0	0.00		0	0.00		71	19.56		127	34.99		1	0.28		0	0.00		0	0.00		0	0.00		128	35.26		3	0.83		0	0.00		0	0.00		3	0.83		12	3.31		0	0.00		0	0.00		0	0.00		12	3.31		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		363	98.37		6	1.63		369	0.46																																															
	Bongeen		0	0.00		0	0.00		0	0.00		0	0.00		4	3.33		0	0.00		0	0.00		0	0.00		4	3.33		1	0.83		0	0.00		0	0.00		1	0.83		51	42.50		5	4.17		1	0.83		0	0.00		57	47.50		5	4.17		1	0.83		0	0.00		6	5.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		15	12.50		5	4.17		0	0.00		0	0.00		0	0.00		20	16.67		28	23.33		0	0.00		1	0.83		0	0.00		0	0.00		29	24.17		1	0.83		0	0.00		0	0.00		1	0.83		1	0.83		0	0.00		0	0.00		0	0.00		1	0.83		1	0.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.83		120	99.17		1	0.83		121	0.15																																															
	Bowenville		0	0.00		0	0.00		0	0.00		0	0.00		13	7.03		0	0.00		0	0.00		0	0.00		13	7.03		0	0.00		0	0.00		0	0.00		0	0.00		59	31.89		2	1.08		2	1.08		0	0.00		63	34.05		4	2.16		2	1.08		0	0.00		6	3.24		4	2.16		0	0.00		0	0.00		0	0.00		4	2.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		35	18.92		5	2.70		0	0.00		0	0.00		0	0.00		40	21.62		52	28.11		1	0.54		0	0.00		0	0.00		0	0.00		53	28.65		2	1.08		0	0.00		0	0.00		2	1.08		3	1.62		1	0.54		0	0.00		0	0.00		4	2.16		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		185	99.46		1	0.54		186	0.23																																															
	Brisbane City (Groom)		0	0.00		0	0.00		0	0.00		0	0.00		16	19.28		0	0.00		0	0.00		0	0.00		16	19.28		0	0.00		0	0.00		0	0.00		0	0.00		7	8.43		0	0.00		0	0.00		0	0.00		7	8.43		2	2.41		0	0.00		0	0.00		2	2.41		4	4.82		0	0.00		0	0.00		0	0.00		4	4.82		1	1.20		0	0.00		0	0.00		1	1.20		0	0.00		0	0.00		0	0.00		0	0.00		6	7.23		1	1.20		0	0.00		0	0.00		0	0.00		7	8.43		28	33.73		1	1.20		0	0.00		0	0.00		0	0.00		29	34.94		0	0.00		0	0.00		0	0.00		0	0.00		16	19.28		0	0.00		0	0.00		1	1.20		17	20.48		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		83	97.65		2	2.35		85	0.11																																															
	Brookstead		0	0.00		0	0.00		0	0.00		0	0.00		10	6.62		1	0.66		0	0.00		0	0.00		11	7.28		0	0.00		1	0.66		0	0.00		1	0.66		65	43.05		2	1.32		0	0.00		0	0.00		67	44.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.99		0	0.00		1	0.66		4	2.65		0	0.00		0	0.00		0	0.00		0	0.00		25	16.56		3	1.99		0	0.00		0	0.00		0	0.00		28	18.54		40	26.49		0	0.00		0	0.00		0	0.00		0	0.00		40	26.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		151	96.79		5	3.21		156	0.19																																															
	Cambooya		0	0.00		0	0.00		0	0.00		0	0.00		107	15.55		5	0.73		0	0.00		0	0.00		112	16.28		0	0.00		0	0.00		0	0.00		0	0.00		101	14.68		5	0.73		0	0.00		0	0.00		106	15.41		6	0.87		3	0.44		0	0.00		9	1.31		7	1.02		2	0.29		1	0.15		0	0.00		10	1.45		7	1.02		1	0.15		0	0.00		8	1.16		1	0.15		0	0.00		0	0.00		1	0.15		146	21.22		10	1.45		0	0.00		0	0.00		0	0.00		156	22.67		245	35.61		7	1.02		0	0.00		0	0.00		1	0.15		253	36.77		5	0.73		1	0.15		0	0.00		6	0.87		23	3.34		1	0.15		0	0.00		0	0.00		24	3.49		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		2	0.29		0	0.00		0	0.00		3	0.44		688	97.31		19	2.69		707	0.88																																															
	Charlton		2	0.33		2	0.33		0	0.00		4	0.66		102	16.75		2	0.33		0	0.00		2	0.33		106	17.41		0	0.00		0	0.00		0	0.00		0	0.00		79	12.97		6	0.99		0	0.00		0	0.00		85	13.96		5	0.82		1	0.16		0	0.00		6	0.99		9	1.48		1	0.16		0	0.00		0	0.00		10	1.64		7	1.15		0	0.00		0	0.00		7	1.15		1	0.16		0	0.00		0	0.00		1	0.16		87	14.29		10	1.64		0	0.00		0	0.00		0	0.00		97	15.93		246	40.39		5	0.82		0	0.00		0	0.00		1	0.16		252	41.38		11	1.81		0	0.00		0	0.00		11	1.81		26	4.27		2	0.33		0	0.00		0	0.00		28	4.60		2	0.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.33		609	96.67		21	3.33		630	0.78																																													
	Clifton		1	0.12		0	0.00		0	0.00		1	0.12		131	16.11		3	0.37		0	0.00		0	0.00		134	16.48		1	0.12		0	0.00		0	0.00		1	0.12		127	15.62		5	0.62		0	0.00		0	0.00		132	16.24		7	0.86		0	0.00		0	0.00		7	0.86		13	1.60		4	0.49		0	0.00		0	0.00		17	2.09		6	0.74		1	0.12		0	0.00		7	0.86		2	0.25		0	0.00		1	0.12		3	0.37		163	20.05		20	2.46		0	0.00		0	0.00		0	0.00		183	22.51		288	35.42		1	0.12		0	0.00		0	0.00		1	0.12		290	35.67		6	0.74		0	0.00		0	0.00		6	0.74		28	3.44		1	0.12		1	0.12		0	0.00		30	3.69		2	0.25		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.25		813	98.19		15	1.81		828	1.03																																													
