Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Hinkler (81566)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Agnes Water		2	0.27		1	0.13		0	0.00		3	0.40		227	30.11		1	0.13		1	0.13		0	0.00		229	30.37		1	0.13		0	0.00		0	0.00		1	0.13		155	20.56		9	1.19		0	0.00		0	0.00		164	21.75		7	0.93		1	0.13		0	0.00		8	1.06		24	3.18		3	0.40		0	0.00		0	0.00		27	3.58		16	2.12		1	0.13		0	0.00		17	2.25		0	0.00		0	0.00		0	0.00		0	0.00		125	16.58		5	0.66		0	0.00		0	0.00		0	0.00		130	17.24		138	18.30		2	0.27		1	0.13		0	0.00		0	0.00		141	18.70		11	1.46		0	0.00		0	0.00		11	1.46		21	2.79		1	0.13		1	0.13		0	0.00		23	3.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		754	97.42		20	2.58		774	0.99																																															
	Alloway		2	0.42		0	0.00		1	0.21		3	0.63		108	22.59		3	0.63		0	0.00		0	0.00		111	23.22		0	0.00		0	0.00		0	0.00		0	0.00		200	41.84		4	0.84		0	0.00		1	0.21		205	42.89		5	1.05		0	0.00		0	0.00		5	1.05		9	1.88		1	0.21		0	0.00		0	0.00		10	2.09		7	1.46		0	0.00		0	0.00		7	1.46		0	0.00		0	0.00		0	0.00		0	0.00		64	13.39		8	1.67		0	0.00		0	0.00		0	0.00		72	15.06		43	9.00		1	0.21		1	0.21		0	0.00		0	0.00		45	9.41		4	0.84		0	0.00		0	0.00		4	0.84		16	3.35		0	0.00		0	0.00		0	0.00		16	3.35		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		478	95.03		25	4.97		503	0.64																																															
	Ambrose		1	0.46		0	0.00		0	0.00		1	0.46		71	32.42		0	0.00		1	0.46		0	0.00		72	32.88		0	0.00		0	0.00		0	0.00		0	0.00		49	22.37		3	1.37		1	0.46		0	0.00		53	24.20		2	0.91		0	0.00		0	0.00		2	0.91		3	1.37		0	0.00		0	0.00		0	0.00		3	1.37		2	0.91		0	0.00		0	0.00		2	0.91		0	0.00		0	0.00		0	0.00		0	0.00		45	20.55		8	3.65		0	0.00		0	0.00		0	0.00		53	24.20		21	9.59		0	0.00		0	0.00		0	0.00		0	0.00		21	9.59		3	1.37		1	0.46		0	0.00		4	1.83		8	3.65		0	0.00		0	0.00		0	0.00		8	3.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		219	96.90		7	3.10		226	0.29																																															
	Apple Tree Creek		2	0.45		1	0.22		0	0.00		3	0.67		114	25.50		1	0.22		0	0.00		0	0.00		115	25.73		0	0.00		0	0.00		0	0.00		0	0.00		134	29.98		2	0.45		0	0.00		0	0.00		136	30.43		6	1.34		4	0.89		0	0.00		10	2.24		6	1.34		1	0.22		0	0.00		1	0.22		8	1.79		3	0.67		0	0.00		0	0.00		3	0.67		0	0.00		1	0.22		0	0.00		1	0.22		96	21.48		6	1.34		0	0.00		0	0.00		0	0.00		102	22.82		40	8.95		0	0.00		2	0.45		0	0.00		0	0.00		42	9.40		6	1.34		0	0.00		0	0.00		6	1.34		17	3.80		1	0.22		0	0.00		0	0.00		18	4.03		2	0.45		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.67		447	97.17		13	2.83		460	0.59																																															
	Avoca		8	0.29		0	0.00		0	0.00		8	0.29		864	31.12		14	0.50		2	0.07		1	0.04		881	31.74		4	0.14		0	0.00		0	0.00		4	0.14		736	26.51		10	0.36		1	0.04		1	0.04		748	26.95		47	1.69		5	0.18		0	0.00		52	1.87		55	1.98		5	0.18		0	0.00		0	0.00		60	2.16		26	0.94		0	0.00		0	0.00		26	0.94		0	0.00		1	0.04		0	0.00		1	0.04		329	11.85		14	0.50		0	0.00		0	0.00		0	0.00		343	12.36		478	17.22		8	0.29		3	0.11		0	0.00		0	0.00		489	17.62		37	1.33		1	0.04		0	0.00		38	1.37		118	4.25		8	0.29		0	0.00		0	0.00		126	4.54		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2776	97.68		66	2.32		2842	3.63																																															
	Avondale		1	0.40		0	0.00		0	0.00		1	0.40		58	23.20		2	0.80		0	0.00		0	0.00		60	24.00		0	0.00		0	0.00		0	0.00		0	0.00		96	38.40		3	1.20		0	0.00		0	0.00		99	39.60		5	2.00		0	0.00		0	0.00		5	2.00		7	2.80		0	0.00		0	0.00		0	0.00		7	2.80		4	1.60		0	0.00		0	0.00		4	1.60		0	0.00		0	0.00		0	0.00		0	0.00		33	13.20		4	1.60		0	0.00		0	0.00		0	0.00		37	14.80		27	10.80		2	0.80		0	0.00		0	0.00		0	0.00		29	11.60		1	0.40		0	0.00		0	0.00		1	0.40		7	2.80		0	0.00		0	0.00		0	0.00		7	2.80		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		250	96.15		10	3.85		260	0.33																																															
	Bajool		0	0.00		0	0.00		0	0.00		0	0.00		81	33.61		0	0.00		1	0.41		0	0.00		82	34.02		0	0.00		0	0.00		0	0.00		0	0.00		70	29.05		2	0.83		0	0.00		0	0.00		72	29.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		58	24.07		3	1.24		0	0.00		0	0.00		1	0.41		62	25.73		18	7.47		0	0.00		0	0.00		0	0.00		0	0.00		18	7.47		2	0.83		0	0.00		0	0.00		2	0.83		4	1.66		1	0.41		0	0.00		0	0.00		5	2.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		241	98.77		3	1.23		244	0.31																																															
	Baree		2	0.52		1	0.26		0	0.00		3	0.78		221	57.55		2	0.52		0	0.00		0	0.00		223	58.07		0	0.00		0	0.00		0	0.00		0	0.00		41	10.68		0	0.00		0	0.00		0	0.00		41	10.68		2	0.52		0	0.00		0	0.00		2	0.52		5	1.30		0	0.00		0	0.00		0	0.00		5	1.30		4	1.04		1	0.26		0	0.00		5	1.30		0	0.00		0	0.00		0	0.00		0	0.00		39	10.16		3	0.78		0	0.00		0	0.00		0	0.00		42	10.94		41	10.68		1	0.26		0	0.00		0	0.00		0	0.00		42	10.94		10	2.60		0	0.00		0	0.00		10	2.60		11	2.86		0	0.00		0	0.00		0	0.00		11	2.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		384	97.46		10	2.54		394	0.50																																															
	Bargara		14	0.48		1	0.03		0	0.00		15	0.52		821	28.42		17	0.59		0	0.00		1	0.03		839	29.04		1	0.03		0	0.00		0	0.00		1	0.03		793	27.45		16	0.55		0	0.00		0	0.00		809	28.00		44	1.52		4	0.14		0	0.00		48	1.66		61	2.11		8	0.28		0	0.00		0	0.00		69	2.39		27	0.93		0	0.00		2	0.07		29	1.00		1	0.03		0	0.00		0	0.00		1	0.03		300	10.38		36	1.25		1	0.03		0	0.00		0	0.00		337	11.66		584	20.21		13	0.45		0	0.00		0	0.00		1	0.03		598	20.70		32	1.11		0	0.00		0	0.00		32	1.11		96	3.32		13	0.45		0	0.00		0	0.00		109	3.77		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		0	0.00		1	0.03		0	0.00		2	0.07		2889	97.57		72	2.43		2961	3.79																																													
	Benaraby		7	1.39		0	0.00		0	0.00		7	1.39		152	30.22		1	0.20		0	0.00		0	0.00		153	30.42		0	0.00		0	0.00		0	0.00		0	0.00		131	26.04		3	0.60		0	0.00		0	0.00		134	26.64		8	1.59		1	0.20		0	0.00		9	1.79		16	3.18		1	0.20		0	0.00		0	0.00		17	3.38		5	0.99		1	0.20		0	0.00		6	1.19		0	0.00		0	0.00		0	0.00		0	0.00		82	16.30		8	1.59		0	0.00		0	0.00		0	0.00		90	17.89		56	11.13		2	0.40		0	0.00		0	0.00		0	0.00		58	11.53		6	1.19		1	0.20		0	0.00		7	1.39		19	3.78		1	0.20		0	0.00		0	0.00		20	3.98		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		1	0.20		0	0.00		0	0.00		2	0.40		503	97.10		15	2.90		518	0.66																																													
