Senate - 2001 Election: Queensland 																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Kennedy (84739)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Abergowrie		2	1.02		0	0.00		0	0.00		2	1.02		22	11.17		1	0.51		0	0.00		0	0.00		23	11.68		0	0.00		0	0.00		0	0.00		0	0.00		74	37.56		1	0.51		0	0.00		0	0.00		75	38.07		0	0.00		0	0.00		0	0.00		0	0.00		3	1.52		0	0.00		0	0.00		0	0.00		3	1.52		1	0.51		0	0.00		0	0.00		1	0.51		0	0.00		0	0.00		0	0.00		0	0.00		44	22.34		6	3.05		0	0.00		0	0.00		0	0.00		50	25.38		35	17.77		1	0.51		0	0.00		0	0.00		0	0.00		36	18.27		3	1.52		0	0.00		0	0.00		3	1.52		3	1.52		1	0.51		0	0.00		0	0.00		4	2.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		197	96.57		7	3.43		204	0.26																																															
	Aloomba		0	0.00		0	0.00		0	0.00		0	0.00		62	23.22		2	0.75		0	0.00		0	0.00		64	23.97		0	0.00		0	0.00		0	0.00		0	0.00		73	27.34		0	0.00		0	0.00		0	0.00		73	27.34		4	1.50		0	0.00		0	0.00		4	1.50		5	1.87		0	0.00		0	0.00		0	0.00		5	1.87		1	0.37		1	0.37		0	0.00		2	0.75		0	0.00		0	0.00		0	0.00		0	0.00		60	22.47		2	0.75		0	0.00		0	0.00		0	0.00		62	23.22		42	15.73		0	0.00		0	0.00		0	0.00		1	0.37		43	16.10		2	0.75		0	0.00		0	0.00		2	0.75		12	4.49		0	0.00		0	0.00		0	0.00		12	4.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		267	96.74		9	3.26		276	0.35																																															
	Atherton		11	0.47		0	0.00		0	0.00		11	0.47		558	24.08		12	0.52		1	0.04		1	0.04		572	24.69		5	0.22		0	0.00		0	0.00		5	0.22		309	13.34		7	0.30		3	0.13		0	0.00		319	13.77		33	1.42		0	0.00		1	0.04		34	1.47		54	2.33		6	0.26		0	0.00		0	0.00		60	2.59		20	0.86		6	0.26		0	0.00		26	1.12		6	0.26		1	0.04		0	0.00		7	0.30		503	21.71		25	1.08		0	0.00		0	0.00		0	0.00		528	22.79		605	26.11		9	0.39		0	0.00		0	0.00		0	0.00		614	26.50		21	0.91		0	0.00		0	0.00		21	0.91		108	4.66		7	0.30		0	0.00		0	0.00		115	4.96		4	0.17		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		5	0.22		2317	95.39		112	4.61		2429	3.06																																															
	Atherton North		2	0.19		1	0.10		1	0.10		4	0.38		231	22.13		4	0.38		0	0.00		2	0.19		237	22.70		1	0.10		0	0.00		0	0.00		1	0.10		189	18.10		4	0.38		2	0.19		1	0.10		196	18.77		15	1.44		0	0.00		1	0.10		16	1.53		15	1.44		3	0.29		0	0.00		0	0.00		18	1.72		11	1.05		0	0.00		0	0.00		11	1.05		0	0.00		0	0.00		0	0.00		0	0.00		202	19.35		13	1.25		0	0.00		0	0.00		0	0.00		215	20.59		267	25.57		5	0.48		0	0.00		0	0.00		0	0.00		272	26.05		9	0.86		0	0.00		0	0.00		9	0.86		54	5.17		9	0.86		0	0.00		0	0.00		63	6.03		1	0.10		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.19		1044	96.67		36	3.33		1080	1.36																																															
	Babinda		4	0.48		0	0.00		0	0.00		4	0.48		271	32.81		3	0.36		0	0.00		1	0.12		275	33.29		3	0.36		0	0.00		0	0.00		3	0.36		100	12.11		3	0.36		2	0.24		0	0.00		105	12.71		11	1.33		0	0.00		1	0.12		12	1.45		25	3.03		1	0.12		1	0.12		0	0.00		27	3.27		10	1.21		1	0.12		1	0.12		12	1.45		0	0.00		0	0.00		0	0.00		0	0.00		200	24.21		14	1.69		0	0.00		0	0.00		0	0.00		214	25.91		126	15.25		5	0.61		1	0.12		0	0.00		0	0.00		132	15.98		9	1.09		0	0.00		0	0.00		9	1.09		32	3.87		1	0.12		0	0.00		0	0.00		33	4.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		826	94.72		46	5.28		872	1.10																																															
	Bambaroo		4	1.90		0	0.00		0	0.00		4	1.90		38	18.10		2	0.95		0	0.00		0	0.00		40	19.05		2	0.95		0	0.00		1	0.48		3	1.43		48	22.86		0	0.00		0	0.00		0	0.00		48	22.86		1	0.48		0	0.00		0	0.00		1	0.48		2	0.95		0	0.00		0	0.00		0	0.00		2	0.95		0	0.00		0	0.00		0	0.00		0	0.00		1	0.48		0	0.00		0	0.00		1	0.48		57	27.14		5	2.38		0	0.00		0	0.00		0	0.00		62	29.52		34	16.19		1	0.48		0	0.00		0	0.00		0	0.00		35	16.67		7	3.33		0	0.00		0	0.00		7	3.33		7	3.33		0	0.00		0	0.00		0	0.00		7	3.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		210	95.89		9	4.11		219	0.28																																															
	Bellenden Ker		0	0.00		0	0.00		0	0.00		0	0.00		17	14.53		0	0.00		0	0.00		0	0.00		17	14.53		0	0.00		0	0.00		0	0.00		0	0.00		25	21.37		0	0.00		1	0.85		0	0.00		26	22.22		1	0.85		0	0.00		0	0.00		1	0.85		3	2.56		0	0.00		0	0.00		0	0.00		3	2.56		1	0.85		0	0.00		0	0.00		1	0.85		2	1.71		0	0.00		0	0.00		2	1.71		38	32.48		4	3.42		0	0.00		0	0.00		0	0.00		42	35.90		19	16.24		0	0.00		0	0.00		0	0.00		0	0.00		19	16.24		0	0.00		0	0.00		0	0.00		0	0.00		6	5.13		0	0.00		0	0.00		0	0.00		6	5.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		117	99.15		1	0.85		118	0.15																																															
	Biboohra		1	0.37		0	0.00		0	0.00		1	0.37		49	18.15		1	0.37		0	0.00		0	0.00		50	18.52		2	0.74		0	0.00		0	0.00		2	0.74		48	17.78		1	0.37		0	0.00		0	0.00		49	18.15		1	0.37		0	0.00		0	0.00		1	0.37		7	2.59		1	0.37		0	0.00		0	0.00		8	2.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.37		0	0.00		1	0.37		85	31.48		4	1.48		0	0.00		0	0.00		0	0.00		89	32.96		52	19.26		2	0.74		0	0.00		0	0.00		0	0.00		54	20.00		4	1.48		0	0.00		0	0.00		4	1.48		10	3.70		0	0.00		0	0.00		0	0.00		10	3.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.37		1	0.37		270	95.74		12	4.26		282	0.35																																															
	Bluewater		7	0.49		0	0.00		0	0.00		7	0.49		468	32.82		6	0.42		1	0.07		1	0.07		476	33.38		2	0.14		1	0.07		0	0.00		3	0.21		192	13.46		3	0.21		0	0.00		3	0.21		198	13.88		12	0.84		0	0.00		0	0.00		12	0.84		39	2.73		5	0.35		0	0.00		0	0.00		44	3.09		26	1.82		2	0.14		0	0.00		28	1.96		4	0.28		0	0.00		0	0.00		4	0.28		227	15.92		22	1.54		0	0.00		0	0.00		0	0.00		249	17.46		329	23.07		3	0.21		1	0.07		0	0.00		0	0.00		333	23.35		16	1.12		1	0.07		0	0.00		17	1.19		50	3.51		4	0.28		0	0.00		0	0.00		54	3.79		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1	0.07		1426	97.47		37	2.53		1463	1.84																																													
	Boulia		2	1.11		0	0.00		0	0.00		2	1.11		73	40.56		1	0.56		0	0.00		0	0.00		74	41.11		0	0.00		0	0.00		0	0.00		0	0.00		28	15.56		1	0.56		2	1.11		0	0.00		31	17.22		0	0.00		0	0.00		0	0.00		0	0.00		12	6.67		0	0.00		0	0.00		0	0.00		12	6.67		1	0.56		0	0.00		0	0.00		1	0.56		0	0.00		0	0.00		0	0.00		0	0.00		19	10.56		0	0.00		0	0.00		0	0.00		0	0.00		19	10.56		37	20.56		1	0.56		0	0.00		0	0.00		0	0.00		38	21.11		1	0.56		0	0.00		0	0.00		1	0.56		2	1.11		0	0.00		0	0.00		0	0.00		2	1.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		180	100.00		0	0.00		180	0.23																																													
	Bramston Beach		0	0.00		0	0.00		0	0.00		0	0.00		13	13.27		0	0.00		0	0.00		0	0.00		13	13.27		0	0.00		0	0.00		0	0.00		0	0.00		12	12.24		0	0.00		1	1.02		0	0.00		13	13.27		0	0.00		0	0.00		0	0.00		0	0.00		1	1.02		2	2.04		0	0.00		0	0.00		3	3.06		1	1.02		0	0.00		0	0.00		1	1.02		0	0.00		0	0.00		0	0.00		0	0.00		45	45.92		0	0.00		0	0.00		0	0.00		0	0.00		45	45.92		17	17.35		0	0.00		0	0.00		0	0.00		0	0.00		17	17.35		0	0.00		0	0.00		0	0.00		0	0.00		4	4.08		2	2.04		0	0.00		0	0.00		6	6.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		98	98.99		1	1.01		99	0.12																																													
	Brisbane City (Kennedy)		0	0.00		0	0.00		0	0.00		0	0.00		11	20.75		0	0.00		0	0.00		0	0.00		11	20.75		0	0.00		0	0.00		0	0.00		0	0.00		10	18.87		1	1.89		0	0.00		0	0.00		11	20.75		1	1.89		2	3.77		0	0.00		3	5.66		3	5.66		0	0.00		0	0.00		0	0.00		3	5.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	7.55		1	1.89		0	0.00		0	0.00		0	0.00		5	9.43		10	18.87		0	0.00		1	1.89		0	0.00		0	0.00		11	20.75		1	1.89		0	0.00		0	0.00		1	1.89		8	15.09		0	0.00		0	0.00		0	0.00		8	15.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		53	100.00		0	0.00		53	0.07																																													
	Burketown		1	1.18		1	1.18		0	0.00		2	2.35		44	51.76		0	0.00		0	0.00		0	0.00		44	51.76		0	0.00		0	0.00		0	0.00		0	0.00		8	9.41		0	0.00		0	0.00		0	0.00		8	9.41		0	0.00		0	0.00		0	0.00		0	0.00		1	1.18		0	0.00		0	0.00		0	0.00		1	1.18		3	3.53		0	0.00		0	0.00		3	3.53		0	0.00		0	0.00		0	0.00		0	0.00		11	12.94		1	1.18		0	0.00		0	0.00		0	0.00		12	14.12		8	9.41		1	1.18		0	0.00		0	0.00		0	0.00		9	10.59		2	2.35		0	0.00		0	0.00		2	2.35		3	3.53		1	1.18		0	0.00		0	0.00		4	4.71		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		85	98.84		1	1.16		86	0.11																																													
	Butchers Creek		0	0.00		0	0.00		0	0.00		0	0.00		21	14.89		0	0.00		0	0.00		0	0.00		21	14.89		0	0.00		0	0.00		0	0.00		0	0.00		21	14.89		1	0.71		0	0.00		0	0.00		22	15.60		0	0.00		0	0.00		0	0.00		0	0.00		7	4.96		2	1.42		0	0.00		0	0.00		9	6.38		1	0.71		0	0.00		0	0.00		1	0.71		0	0.00		0	0.00		0	0.00		0	0.00		57	40.43		3	2.13		0	0.00		0	0.00		0	0.00		60	42.55		13	9.22		0	0.00		0	0.00		0	0.00		0	0.00		13	9.22		2	1.42		0	0.00		0	0.00		2	1.42		11	7.80		1	0.71		0	0.00		1	0.71		13	9.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		141	98.60		2	1.40		143	0.18																																													
	Camooweal		1	1.16		0	0.00		0	0.00		1	1.16		42	48.84		1	1.16		0	0.00		0	0.00		43	50.00		0	0.00		0	0.00		0	0.00		0	0.00		19	22.09		0	0.00		0	0.00		0	0.00		19	22.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	1.16		0	0.00		0	0.00		1	1.16		1	1.16		0	0.00		0	0.00		1	1.16		6	6.98		0	0.00		0	0.00		0	0.00		0	0.00		6	6.98		12	13.95		0	0.00		0	0.00		0	0.00		0	0.00		12	13.95		1	1.16		0	0.00		0	0.00		1	1.16		1	1.16		1	1.16		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		86	96.63		3	3.37		89	0.11																																													
	Cardwell		0	0.00		0	0.00		0	0.00		0	0.00		165	20.78		5	0.63		0	0.00		0	0.00		170	21.41		4	0.50		0	0.00		0	0.00		4	0.50		152	19.14		3	0.38		0	0.00		0	0.00		155	19.52		9	1.13		1	0.13		1	0.13		11	1.39		12	1.51		3	0.38		1	0.13		0	0.00		16	2.02		8	1.01		1	0.13		0	0.00		9	1.13		0	0.00		0	0.00		0	0.00		0	0.00		203	25.57		14	1.76		0	0.00		0	0.00		0	0.00		217	27.33		172	21.66		3	0.38		1	0.13		0	0.00		0	0.00		176	22.17		19	2.39		0	0.00		0	0.00		19	2.39		16	2.02		1	0.13		0	0.00		0	0.00		17	2.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		794	96.13		32	3.87		826	1.04																																													
	Charters Towers		6	0.48		4	0.32		0	0.00		10	0.81		381	30.78		4	0.32		1	0.08		0	0.00		386	31.18		5	0.40		1	0.08		0	0.00		6	0.48		238	19.22		10	0.81		5	0.40		1	0.08		254	20.52		11	0.89		1	0.08		0	0.00		12	0.97		17	1.37		0	0.00		1	0.08		0	0.00		18	1.45		16	1.29		2	0.16		0	0.00		18	1.45		0	0.00		0	0.00		0	0.00		0	0.00		196	15.83		11	0.89		0	0.00		0	0.00		0	0.00		207	16.72		240	19.39		6	0.48		0	0.00		0	0.00		0	0.00		246	19.87		28	2.26		0	0.00		0	0.00		28	2.26		47	3.80		5	0.40		0	0.00		1	0.08		53	4.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1238	97.79		28	2.21		1266	1.59																																													
	Charters Towers Central		7	0.69		0	0.00		0	0.00		7	0.69		301	29.60		5	0.49		0	0.00		1	0.10		307	30.19		2	0.20		1	0.10		0	0.00		3	0.29		186	18.29		1	0.10		1	0.10		1	0.10		189	18.58		14	1.38		0	0.00		0	0.00		14	1.38		16	1.57		0	0.00		0	0.00		0	0.00		16	1.57		17	1.67		0	0.00		0	0.00		17	1.67		3	0.29		0	0.00		0	0.00		3	0.29		219	21.53		13	1.28		1	0.10		0	0.00		2	0.20		235	23.11		155	15.24		5	0.49		0	0.00		0	0.00		0	0.00		160	15.73		28	2.75		1	0.10		0	0.00		29	2.85		29	2.85		6	0.59		1	0.10		0	0.00		36	3.54		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		1017	98.83		12	1.17		1029	1.30																																													
	Charters Towers North		2	0.76		1	0.38		0	0.00		3	1.15		87	33.21		0	0.00		0	0.00		0	0.00		87	33.21		0	0.00		0	0.00		0	0.00		0	0.00		58	22.14		3	1.15		1	0.38		0	0.00		62	23.66		5	1.91		0	0.00		0	0.00		5	1.91		5	1.91		0	0.00		0	0.00		0	0.00		5	1.91		2	0.76		0	0.00		0	0.00		2	0.76		1	0.38		0	0.00		0	0.00		1	0.38		34	12.98		1	0.38		0	0.00		0	0.00		0	0.00		35	13.36		42	16.03		2	0.76		0	0.00		0	0.00		0	0.00		44	16.79		3	1.15		0	0.00		0	0.00		3	1.15		12	4.58		1	0.38		0	0.00		0	0.00		13	4.96		0	0.00		0	0.00		0	0.00		2	0.76		0	0.00		0	0.00		0	0.00		0	0.00		2	0.76		262	98.13		5	1.87		267	0.34																																													
