Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Leichhardt (85689)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Alexandra Bay		1	0.36		0	0.00		0	0.00		1	0.36		54	19.42		2	0.72		0	0.00		0	0.00		56	20.14		0	0.00		0	0.00		0	0.00		0	0.00		15	5.40		0	0.00		0	0.00		0	0.00		15	5.40		1	0.36		0	0.00		0	0.00		1	0.36		34	12.23		5	1.80		0	0.00		0	0.00		39	14.03		6	2.16		4	1.44		0	0.00		10	3.60		0	0.00		0	0.00		0	0.00		0	0.00		43	15.47		5	1.80		0	0.00		0	0.00		0	0.00		48	17.27		73	26.26		1	0.36		0	0.00		0	0.00		0	0.00		74	26.62		3	1.08		0	0.00		0	0.00		3	1.08		28	10.07		3	1.08		0	0.00		0	0.00		31	11.15		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		278	97.20		8	2.80		286	0.36																																															
	Aurukun		10	2.04		1	0.20		0	0.00		11	2.25		340	69.53		1	0.20		0	0.00		0	0.00		341	69.73		4	0.82		0	0.00		0	0.00		4	0.82		19	3.89		0	0.00		0	0.00		0	0.00		19	3.89		7	1.43		0	0.00		0	0.00		7	1.43		7	1.43		0	0.00		0	0.00		0	0.00		7	1.43		8	1.64		0	0.00		0	0.00		8	1.64		5	1.02		0	0.00		0	0.00		5	1.02		11	2.25		0	0.00		0	0.00		0	0.00		0	0.00		11	2.25		65	13.29		1	0.20		0	0.00		0	0.00		0	0.00		66	13.50		3	0.61		0	0.00		0	0.00		3	0.61		7	1.43		0	0.00		0	0.00		0	0.00		7	1.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		489	87.95		67	12.05		556	0.70																																															
	Balaclava		10	0.41		3	0.12		0	0.00		13	0.53		827	33.80		14	0.57		3	0.12		3	0.12		847	34.61		1	0.04		0	0.00		0	0.00		1	0.04		89	3.64		3	0.12		0	0.00		1	0.04		93	3.80		21	0.86		1	0.04		0	0.00		22	0.90		73	2.98		4	0.16		0	0.00		0	0.00		77	3.15		47	1.92		1	0.04		0	0.00		48	1.96		1	0.04		0	0.00		0	0.00		1	0.04		248	10.13		22	0.90		0	0.00		0	0.00		0	0.00		270	11.03		918	37.52		12	0.49		3	0.12		0	0.00		1	0.04		934	38.17		33	1.35		0	0.00		0	0.00		33	1.35		100	4.09		4	0.16		0	0.00		3	0.12		107	4.37		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2447	96.53		88	3.47		2535	3.21																																															
	Bamaga		0	0.00		1	0.27		0	0.00		1	0.27		257	68.17		3	0.80		0	0.00		1	0.27		261	69.23		4	1.06		0	0.00		0	0.00		4	1.06		6	1.59		0	0.00		0	0.00		0	0.00		6	1.59		5	1.33		0	0.00		0	0.00		5	1.33		4	1.06		0	0.00		0	0.00		0	0.00		4	1.06		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		1	0.27		9	2.39		0	0.00		0	0.00		0	0.00		0	0.00		9	2.39		54	14.32		0	0.00		0	0.00		0	0.00		0	0.00		54	14.32		21	5.57		0	0.00		0	0.00		21	5.57		11	2.92		0	0.00		0	0.00		0	0.00		11	2.92		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		377	95.44		18	4.56		395	0.50																																															
	Bloomfield		5	2.33		1	0.47		0	0.00		6	2.79		139	64.65		2	0.93		0	0.00		0	0.00		141	65.58		2	0.93		0	0.00		0	0.00		2	0.93		9	4.19		0	0.00		0	0.00		0	0.00		9	4.19		3	1.40		0	0.00		0	0.00		3	1.40		3	1.40		1	0.47		0	0.00		0	0.00		4	1.86		3	1.40		0	0.00		0	0.00		3	1.40		0	0.00		0	0.00		0	0.00		0	0.00		10	4.65		0	0.00		0	0.00		0	0.00		0	0.00		10	4.65		25	11.63		0	0.00		0	0.00		0	0.00		0	0.00		25	11.63		3	1.40		0	0.00		0	0.00		3	1.40		6	2.79		3	1.40		0	0.00		0	0.00		9	4.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		215	93.07		16	6.93		231	0.29																																															
	Brinsmead		4	0.28		0	0.00		1	0.07		5	0.36		299	21.27		6	0.43		0	0.00		0	0.00		305	21.69		0	0.00		0	0.00		0	0.00		0	0.00		31	2.20		4	0.28		0	0.00		0	0.00		35	2.49		66	4.69		9	0.64		1	0.07		76	5.41		46	3.27		3	0.21		0	0.00		1	0.07		50	3.56		13	0.92		2	0.14		0	0.00		15	1.07		2	0.14		0	0.00		0	0.00		2	0.14		123	8.75		24	1.71		0	0.00		0	0.00		0	0.00		147	10.46		678	48.22		13	0.92		1	0.07		0	0.00		0	0.00		692	49.22		4	0.28		0	0.00		0	0.00		4	0.28		69	4.91		5	0.36		0	0.00		1	0.07		75	5.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1406	98.32		24	1.68		1430	1.81																																															
	Brisbane City (Leichhardt)		0	0.00		0	0.00		0	0.00		0	0.00		17	26.56		0	0.00		1	1.56		0	0.00		18	28.13		1	1.56		0	0.00		0	0.00		1	1.56		5	7.81		0	0.00		1	1.56		0	0.00		6	9.38		0	0.00		0	0.00		0	0.00		0	0.00		4	6.25		1	1.56		1	1.56		0	0.00		6	9.38		1	1.56		1	1.56		0	0.00		2	3.13		0	0.00		0	0.00		0	0.00		0	0.00		2	3.13		0	0.00		0	0.00		0	0.00		0	0.00		2	3.13		20	31.25		0	0.00		0	0.00		0	0.00		0	0.00		20	31.25		0	0.00		0	0.00		0	0.00		0	0.00		9	14.06		0	0.00		0	0.00		0	0.00		9	14.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		64	100.00		0	0.00		64	0.08																																															
	Cairns		5	0.64		0	0.00		0	0.00		5	0.64		209	26.93		3	0.39		0	0.00		0	0.00		212	27.32		0	0.00		0	0.00		0	0.00		0	0.00		24	3.09		11	1.42		0	0.00		0	0.00		35	4.51		6	0.77		0	0.00		0	0.00		6	0.77		62	7.99		4	0.52		0	0.00		1	0.13		67	8.63		21	2.71		0	0.00		0	0.00		21	2.71		1	0.13		0	0.00		0	0.00		1	0.13		55	7.09		3	0.39		0	0.00		0	0.00		0	0.00		58	7.47		302	38.92		1	0.13		0	0.00		1	0.13		0	0.00		304	39.18		7	0.90		0	0.00		0	0.00		7	0.90		54	6.96		5	0.64		0	0.00		1	0.13		60	7.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		776	96.40		29	3.60		805	1.02																																															
	Cairns Base Hospital		1	0.18		0	0.00		0	0.00		1	0.18		208	37.28		7	1.25		1	0.18		1	0.18		217	38.89		1	0.18		0	0.00		0	0.00		1	0.18		17	3.05		0	0.00		0	0.00		0	0.00		17	3.05		6	1.08		0	0.00		0	0.00		6	1.08		31	5.56		5	0.90		0	0.00		0	0.00		36	6.45		8	1.43		0	0.00		0	0.00		8	1.43		0	0.00		0	0.00		0	0.00		0	0.00		34	6.09		5	0.90		0	0.00		0	0.00		0	0.00		39	6.99		177	31.72		5	0.90		0	0.00		0	0.00		0	0.00		182	32.62		13	2.33		0	0.00		0	0.00		13	2.33		36	6.45		0	0.00		1	0.18		1	0.18		38	6.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		558	97.04		17	2.96		575	0.73																																													
	Cairns North		6	0.36		1	0.06		0	0.00		7	0.42		480	28.79		9	0.54		4	0.24		0	0.00		493	29.57		1	0.06		1	0.06		0	0.00		2	0.12		59	3.54		4	0.24		1	0.06		0	0.00		64	3.84		9	0.54		1	0.06		1	0.06		11	0.66		112	6.72		14	0.84		3	0.18		0	0.00		129	7.74		31	1.86		3	0.18		0	0.00		34	2.04		5	0.30		1	0.06		0	0.00		6	0.36		122	7.32		22	1.32		0	0.00		0	0.00		0	0.00		144	8.64		631	37.85		11	0.66		4	0.24		0	0.00		3	0.18		649	38.93		12	0.72		1	0.06		0	0.00		13	0.78		104	6.24		9	0.54		1	0.06		0	0.00		114	6.84		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1667	96.58		59	3.42		1726	2.18																																													
