Senate - 2001 Election: Queensland 																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Lilley (87642)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Ascot		3	0.12		1	0.04		0	0.00		4	0.16		336	13.29		11	0.44		2	0.08		2	0.08		351	13.88		1	0.04		0	0.00		0	0.00		1	0.04		209	8.27		40	1.58		0	0.00		0	0.00		249	9.85		4	0.16		3	0.12		0	0.00		7	0.28		61	2.41		14	0.55		0	0.00		1	0.04		76	3.01		23	0.91		8	0.32		0	0.00		31	1.23		4	0.16		0	0.00		1	0.04		5	0.20		44	1.74		18	0.71		0	0.00		0	0.00		0	0.00		62	2.45		1524	60.28		23	0.91		8	0.32		0	0.00		2	0.08		1557	61.59		9	0.36		0	0.00		0	0.00		9	0.36		153	6.05		18	0.71		1	0.04		4	0.16		176	6.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2528	98.56		37	1.44		2565	3.08																																															
	Aspley (Lilley)		5	0.36		0	0.00		0	0.00		5	0.36		525	37.58		13	0.93		2	0.14		0	0.00		540	38.65		0	0.00		0	0.00		0	0.00		0	0.00		40	2.86		6	0.43		0	0.00		0	0.00		46	3.29		5	0.36		2	0.14		2	0.14		9	0.64		38	2.72		5	0.36		0	0.00		0	0.00		43	3.08		19	1.36		4	0.29		0	0.00		23	1.65		1	0.07		0	0.00		0	0.00		1	0.07		82	5.87		10	0.72		1	0.07		0	0.00		0	0.00		93	6.66		515	36.86		10	0.72		4	0.29		0	0.00		0	0.00		529	37.87		7	0.50		1	0.07		0	0.00		8	0.57		91	6.51		7	0.50		1	0.07		0	0.00		99	7.09		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1397	97.28		39	2.72		1436	1.73																																															
	Aspley East		3	0.16		2	0.11		0	0.00		5	0.27		552	29.47		15	0.80		1	0.05		1	0.05		569	30.38		0	0.00		0	0.00		0	0.00		0	0.00		51	2.72		17	0.91		0	0.00		0	0.00		68	3.63		13	0.69		6	0.32		1	0.05		20	1.07		29	1.55		6	0.32		0	0.00		1	0.05		36	1.92		19	1.01		2	0.11		0	0.00		21	1.12		3	0.16		0	0.00		0	0.00		3	0.16		106	5.66		18	0.96		0	0.00		0	0.00		0	0.00		124	6.62		834	44.53		17	0.91		5	0.27		1	0.05		0	0.00		857	45.76		9	0.48		0	0.00		0	0.00		9	0.48		142	7.58		19	1.01		0	0.00		0	0.00		161	8.60		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1873	95.95		79	4.05		1952	2.34																																															
	Banyo		5	0.31		1	0.06		0	0.00		6	0.37		873	53.99		10	0.62		4	0.25		7	0.43		894	55.29		3	0.19		1	0.06		0	0.00		4	0.25		46	2.84		3	0.19		2	0.12		0	0.00		51	3.15		7	0.43		7	0.43		0	0.00		14	0.87		33	2.04		4	0.25		0	0.00		0	0.00		37	2.29		16	0.99		0	0.00		0	0.00		16	0.99		2	0.12		0	0.00		0	0.00		2	0.12		89	5.50		14	0.87		0	0.00		0	0.00		0	0.00		103	6.37		381	23.56		2	0.12		2	0.12		0	0.00		0	0.00		385	23.81		12	0.74		0	0.00		0	0.00		12	0.74		85	5.26		6	0.37		0	0.00		2	0.12		93	5.75		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1617	94.73		90	5.27		1707	2.05																																															
	Banyo East		10	0.56		2	0.11		0	0.00		12	0.67		817	45.62		19	1.06		6	0.34		3	0.17		845	47.18		2	0.11		0	0.00		0	0.00		2	0.11		43	2.40		12	0.67		0	0.00		0	0.00		55	3.07		11	0.61		2	0.11		0	0.00		13	0.73		41	2.29		1	0.06		0	0.00		0	0.00		42	2.35		29	1.62		2	0.11		0	0.00		31	1.73		3	0.17		1	0.06		0	0.00		4	0.22		140	7.82		15	0.84		0	0.00		0	0.00		0	0.00		155	8.65		497	27.75		6	0.34		4	0.22		0	0.00		1	0.06		508	28.36		13	0.73		0	0.00		0	0.00		13	0.73		95	5.30		13	0.73		0	0.00		1	0.06		109	6.09		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		2	0.11		1791	95.98		75	4.02		1866	2.24																																															
	Boondall		7	0.16		1	0.02		0	0.00		8	0.19		1700	39.66		26	0.61		8	0.19		6	0.14		1740	40.60		2	0.05		1	0.02		0	0.00		3	0.07		161	3.76		17	0.40		0	0.00		1	0.02		179	4.18		20	0.47		3	0.07		0	0.00		23	0.54		100	2.33		13	0.30		2	0.05		2	0.05		117	2.73		44	1.03		2	0.05		1	0.02		47	1.10		4	0.09		1	0.02		0	0.00		5	0.12		305	7.12		25	0.58		2	0.05		0	0.00		0	0.00		332	7.75		1440	33.60		25	0.58		7	0.16		1	0.02		2	0.05		1475	34.41		38	0.89		1	0.02		0	0.00		39	0.91		289	6.74		28	0.65		0	0.00		1	0.02		318	7.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4286	95.48		203	4.52		4489	5.39																																															
	Brighton		5	0.27		1	0.05		1	0.05		7	0.37		847	44.93		20	1.06		2	0.11		2	0.11		871	46.21		1	0.05		0	0.00		0	0.00		1	0.05		38	2.02		5	0.27		1	0.05		0	0.00		44	2.33		18	0.95		2	0.11		0	0.00		20	1.06		50	2.65		5	0.27		0	0.00		0	0.00		55	2.92		17	0.90		1	0.05		0	0.00		18	0.95		2	0.11		0	0.00		0	0.00		2	0.11		173	9.18		13	0.69		0	0.00		0	0.00		0	0.00		186	9.87		469	24.88		8	0.42		2	0.11		0	0.00		1	0.05		480	25.46		15	0.80		0	0.00		0	0.00		15	0.80		173	9.18		12	0.64		0	0.00		0	0.00		185	9.81		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		1885	96.12		76	3.88		1961	2.36																																															
	Brighton South		6	0.32		2	0.11		1	0.05		9	0.48		849	44.83		18	0.95		2	0.11		1	0.05		870	45.93		0	0.00		0	0.00		0	0.00		0	0.00		29	1.53		7	0.37		0	0.00		0	0.00		36	1.90		12	0.63		3	0.16		0	0.00		15	0.79		57	3.01		10	0.53		0	0.00		1	0.05		68	3.59		33	1.74		4	0.21		0	0.00		37	1.95		0	0.00		0	0.00		0	0.00		0	0.00		171	9.03		11	0.58		0	0.00		0	0.00		0	0.00		182	9.61		487	25.71		5	0.26		1	0.05		0	0.00		2	0.11		495	26.14		17	0.90		0	0.00		0	0.00		17	0.90		149	7.87		14	0.74		1	0.05		0	0.00		164	8.66		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		1894	96.44		70	3.56		1964	2.36																																															
	Brisbane City (Lilley)		2	0.43		0	0.00		0	0.00		2	0.43		141	30.45		8	1.73		2	0.43		1	0.22		152	32.83		0	0.00		0	0.00		0	0.00		0	0.00		10	2.16		1	0.22		0	0.00		2	0.43		13	2.81		7	1.51		0	0.00		0	0.00		7	1.51		34	7.34		5	1.08		0	0.00		0	0.00		39	8.42		10	2.16		2	0.43		0	0.00		12	2.59		1	0.22		2	0.43		0	0.00		3	0.65		18	3.89		4	0.86		0	0.00		0	0.00		0	0.00		22	4.75		134	28.94		3	0.65		0	0.00		0	0.00		0	0.00		137	29.59		5	1.08		0	0.00		0	0.00		5	1.08		62	13.39		6	1.30		2	0.43		0	0.00		70	15.12		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.22		463	96.46		17	3.54		480	0.58																																													
	Chermside East		10	0.44		2	0.09		0	0.00		12	0.53		899	39.85		14	0.62		4	0.18		1	0.04		918	40.69		0	0.00		0	0.00		0	0.00		0	0.00		33	1.46		15	0.66		0	0.00		0	0.00		48	2.13		20	0.89		1	0.04		1	0.04		22	0.98		62	2.75		13	0.58		1	0.04		0	0.00		76	3.37		18	0.80		2	0.09		0	0.00		20	0.89		1	0.04		0	0.00		0	0.00		1	0.04		123	5.45		22	0.98		0	0.00		0	0.00		0	0.00		145	6.43		790	35.02		12	0.53		3	0.13		0	0.00		0	0.00		805	35.68		18	0.80		1	0.04		0	0.00		19	0.84		178	7.89		9	0.40		0	0.00		2	0.09		189	8.38		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2256	95.23		113	4.77		2369	2.85																																													
