Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Longman (83408)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Banksia Beach		6	0.24		0	0.00		0	0.00		6	0.24		759	30.05		16	0.63		0	0.00		1	0.04		776	30.72		1	0.04		0	0.00		0	0.00		1	0.04		66	2.61		6	0.24		0	0.00		0	0.00		72	2.85		12	0.48		1	0.04		0	0.00		13	0.51		38	1.50		4	0.16		0	0.00		0	0.00		42	1.66		16	0.63		0	0.00		0	0.00		16	0.63		4	0.16		1	0.04		0	0.00		5	0.20		254	10.06		22	0.87		0	0.00		0	0.00		0	0.00		276	10.93		1167	46.20		12	0.48		0	0.00		0	0.00		2	0.08		1181	46.75		22	0.87		0	0.00		0	0.00		22	0.87		107	4.24		9	0.36		0	0.00		0	0.00		116	4.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2526	97.34		69	2.66		2595	3.26																																															
	Beachmere		12	0.68		0	0.00		0	0.00		12	0.68		615	34.61		11	0.62		1	0.06		0	0.00		627	35.28		2	0.11		0	0.00		0	0.00		2	0.11		63	3.55		2	0.11		0	0.00		0	0.00		65	3.66		10	0.56		3	0.17		0	0.00		13	0.73		31	1.74		5	0.28		1	0.06		0	0.00		37	2.08		21	1.18		1	0.06		0	0.00		22	1.24		1	0.06		0	0.00		1	0.06		2	0.11		233	13.11		15	0.84		0	0.00		0	0.00		0	0.00		248	13.96		628	35.34		10	0.56		1	0.06		0	0.00		0	0.00		639	35.96		16	0.90		0	0.00		0	0.00		16	0.90		86	4.84		4	0.23		1	0.06		0	0.00		91	5.12		3	0.17		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.17		1777	96.52		64	3.48		1841	2.31																																															
	Beerburrum		0	0.00		0	0.00		0	0.00		0	0.00		86	31.27		2	0.73		0	0.00		0	0.00		88	32.00		0	0.00		0	0.00		0	0.00		0	0.00		18	6.55		3	1.09		0	0.00		0	0.00		21	7.64		1	0.36		1	0.36		1	0.36		3	1.09		13	4.73		0	0.00		0	0.00		0	0.00		13	4.73		9	3.27		2	0.73		0	0.00		11	4.00		0	0.00		0	0.00		0	0.00		0	0.00		24	8.73		3	1.09		0	0.00		0	0.00		0	0.00		27	9.82		87	31.64		2	0.73		1	0.36		0	0.00		0	0.00		90	32.73		1	0.36		0	0.00		0	0.00		1	0.36		20	7.27		1	0.36		0	0.00		0	0.00		21	7.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		275	97.52		7	2.48		282	0.35																																															
	Beerwah		5	0.25		1	0.05		0	0.00		6	0.30		543	27.14		12	0.60		1	0.05		2	0.10		558	27.89		2	0.10		0	0.00		0	0.00		2	0.10		183	9.15		5	0.25		0	0.00		0	0.00		188	9.40		11	0.55		6	0.30		0	0.00		17	0.85		75	3.75		15	0.75		0	0.00		1	0.05		91	4.55		28	1.40		2	0.10		0	0.00		30	1.50		2	0.10		0	0.00		0	0.00		2	0.10		255	12.74		19	0.95		1	0.05		0	0.00		0	0.00		275	13.74		655	32.73		7	0.35		1	0.05		0	0.00		0	0.00		663	33.13		19	0.95		1	0.05		0	0.00		20	1.00		132	6.60		13	0.65		0	0.00		2	0.10		147	7.35		2	0.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		2001	96.43		74	3.57		2075	2.61																																															
	Bellara		13	0.47		3	0.11		0	0.00		16	0.58		976	35.62		13	0.47		3	0.11		0	0.00		992	36.20		0	0.00		0	0.00		0	0.00		0	0.00		68	2.48		5	0.18		1	0.04		0	0.00		74	2.70		18	0.66		1	0.04		2	0.07		21	0.77		44	1.61		5	0.18		0	0.00		0	0.00		49	1.79		19	0.69		1	0.04		0	0.00		20	0.73		2	0.07		0	0.00		0	0.00		2	0.07		304	11.09		20	0.73		1	0.04		0	0.00		0	0.00		325	11.86		1099	40.11		10	0.36		2	0.07		0	0.00		0	0.00		1111	40.55		19	0.69		0	0.00		0	0.00		19	0.69		104	3.80		5	0.18		1	0.04		0	0.00		110	4.01		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		2740	95.37		133	4.63		2873	3.61																																															
	Bongaree		10	0.38		2	0.08		0	0.00		12	0.46		902	34.49		18	0.69		1	0.04		1	0.04		922	35.26		2	0.08		0	0.00		0	0.00		2	0.08		73	2.79		6	0.23		0	0.00		0	0.00		79	3.02		12	0.46		1	0.04		0	0.00		13	0.50		41	1.57		6	0.23		0	0.00		0	0.00		47	1.80		17	0.65		1	0.04		0	0.00		18	0.69		1	0.04		0	0.00		0	0.00		1	0.04		287	10.98		19	0.73		0	0.00		0	0.00		0	0.00		306	11.70		1073	41.03		8	0.31		2	0.08		1	0.04		0	0.00		1084	41.45		29	1.11		1	0.04		0	0.00		30	1.15		89	3.40		12	0.46		0	0.00		0	0.00		101	3.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2615	95.30		129	4.70		2744	3.45																																															
	Brisbane City (Longman)		0	0.00		0	0.00		0	0.00		0	0.00		28	28.28		0	0.00		0	0.00		1	1.01		29	29.29		1	1.01		1	1.01		0	0.00		2	2.02		4	4.04		0	0.00		0	0.00		0	0.00		4	4.04		0	0.00		2	2.02		0	0.00		2	2.02		5	5.05		0	0.00		0	0.00		0	0.00		5	5.05		1	1.01		0	0.00		0	0.00		1	1.01		1	1.01		0	0.00		0	0.00		1	1.01		4	4.04		0	0.00		0	0.00		0	0.00		0	0.00		4	4.04		35	35.35		2	2.02		0	0.00		0	0.00		0	0.00		37	37.37		0	0.00		0	0.00		0	0.00		0	0.00		13	13.13		1	1.01		0	0.00		0	0.00		14	14.14		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		99	99.00		1	1.00		100	0.13																																															
	Burpengary		7	0.25		2	0.07		0	0.00		9	0.32		914	32.24		17	0.60		3	0.11		0	0.00		934	32.95		2	0.07		0	0.00		0	0.00		2	0.07		85	3.00		4	0.14		1	0.04		0	0.00		90	3.17		24	0.85		3	0.11		0	0.00		27	0.95		52	1.83		6	0.21		0	0.00		0	0.00		58	2.05		33	1.16		1	0.04		0	0.00		34	1.20		2	0.07		0	0.00		0	0.00		2	0.07		327	11.53		20	0.71		0	0.00		0	0.00		0	0.00		347	12.24		1034	36.47		14	0.49		3	0.11		0	0.00		4	0.14		1055	37.21		36	1.27		1	0.04		0	0.00		37	1.31		221	7.80		16	0.56		2	0.07		0	0.00		239	8.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.04		0	0.00		1	0.04		2835	96.20		112	3.80		2947	3.70																																															
	Burpengary East		4	0.28		0	0.00		0	0.00		4	0.28		453	31.95		8	0.56		0	0.00		1	0.07		462	32.58		2	0.14		0	0.00		0	0.00		2	0.14		43	3.03		3	0.21		0	0.00		0	0.00		46	3.24		13	0.92		1	0.07		0	0.00		14	0.99		14	0.99		2	0.14		0	0.00		0	0.00		16	1.13		7	0.49		0	0.00		0	0.00		7	0.49		2	0.14		0	0.00		0	0.00		2	0.14		148	10.44		13	0.92		0	0.00		0	0.00		0	0.00		161	11.35		592	41.75		9	0.63		0	0.00		0	0.00		0	0.00		601	42.38		14	0.99		0	0.00		0	0.00		14	0.99		84	5.92		4	0.28		0	0.00		0	0.00		88	6.21		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1418	96.33		54	3.67		1472	1.85																																													
	Burpengary South		6	0.36		1	0.06		0	0.00		7	0.42		484	28.76		6	0.36		0	0.00		1	0.06		491	29.17		0	0.00		0	0.00		0	0.00		0	0.00		62	3.68		3	0.18		0	0.00		0	0.00		65	3.86		30	1.78		11	0.65		2	0.12		43	2.55		38	2.26		2	0.12		0	0.00		1	0.06		41	2.44		12	0.71		2	0.12		0	0.00		14	0.83		4	0.24		0	0.00		0	0.00		4	0.24		177	10.52		14	0.83		0	0.00		0	0.00		0	0.00		191	11.35		687	40.82		3	0.18		1	0.06		0	0.00		2	0.12		693	41.18		15	0.89		0	0.00		0	0.00		15	0.89		113	6.71		4	0.24		0	0.00		1	0.06		118	7.01		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		1683	98.42		27	1.58		1710	2.15																																													
