Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate  																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Maranoa (84022)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Allora		7	0.65		0	0.00		0	0.00		7	0.65		189	17.57		3	0.28		0	0.00		0	0.00		192	17.84		2	0.19		0	0.00		0	0.00		2	0.19		419	38.94		8	0.74		0	0.00		0	0.00		427	39.68		1	0.09		0	0.00		0	0.00		1	0.09		33	3.07		7	0.65		0	0.00		0	0.00		40	3.72		6	0.56		1	0.09		0	0.00		7	0.65		3	0.28		0	0.00		0	0.00		3	0.28		183	17.01		9	0.84		0	0.00		0	0.00		0	0.00		192	17.84		159	14.78		4	0.37		0	0.00		0	0.00		1	0.09		164	15.24		10	0.93		0	0.00		0	0.00		10	0.93		30	2.79		1	0.09		0	0.00		0	0.00		31	2.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1076	96.76		36	3.24		1112	1.40																																															
	Amby		0	0.00		0	0.00		0	0.00		0	0.00		5	7.04		1	1.41		0	0.00		0	0.00		6	8.45		0	0.00		0	0.00		0	0.00		0	0.00		35	49.30		0	0.00		0	0.00		0	0.00		35	49.30		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	26.76		1	1.41		0	0.00		0	0.00		0	0.00		20	28.17		8	11.27		0	0.00		0	0.00		0	0.00		0	0.00		8	11.27		0	0.00		0	0.00		0	0.00		0	0.00		2	2.82		0	0.00		0	0.00		0	0.00		2	2.82		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		71	95.95		3	4.05		74	0.09																																															
	Amiens		1	0.39		0	0.00		0	0.00		1	0.39		51	20.00		0	0.00		0	0.00		0	0.00		51	20.00		0	0.00		0	0.00		0	0.00		0	0.00		87	34.12		1	0.39		0	0.00		0	0.00		88	34.51		5	1.96		1	0.39		0	0.00		6	2.35		6	2.35		0	0.00		0	0.00		0	0.00		6	2.35		1	0.39		0	0.00		0	0.00		1	0.39		0	0.00		0	0.00		0	0.00		0	0.00		47	18.43		7	2.75		0	0.00		0	0.00		0	0.00		54	21.18		39	15.29		0	0.00		0	0.00		0	0.00		0	0.00		39	15.29		5	1.96		0	0.00		0	0.00		5	1.96		2	0.78		2	0.78		0	0.00		0	0.00		4	1.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		255	97.70		6	2.30		261	0.33																																															
	Anakie		1	1.16		0	0.00		0	0.00		1	1.16		18	20.93		1	1.16		0	0.00		0	0.00		19	22.09		0	0.00		0	0.00		0	0.00		0	0.00		34	39.53		1	1.16		0	0.00		0	0.00		35	40.70		1	1.16		0	0.00		0	0.00		1	1.16		2	2.33		0	0.00		0	0.00		0	0.00		2	2.33		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	16.28		3	3.49		0	0.00		0	0.00		0	0.00		17	19.77		6	6.98		0	0.00		0	0.00		0	0.00		0	0.00		6	6.98		0	0.00		0	0.00		0	0.00		0	0.00		5	5.81		0	0.00		0	0.00		0	0.00		5	5.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		86	91.49		8	8.51		94	0.12																																															
	Applethorpe		3	0.87		0	0.00		0	0.00		3	0.87		72	20.93		3	0.87		0	0.00		0	0.00		75	21.80		0	0.00		0	0.00		0	0.00		0	0.00		109	31.69		3	0.87		0	0.00		0	0.00		112	32.56		0	0.00		0	0.00		0	0.00		0	0.00		11	3.20		1	0.29		0	0.00		0	0.00		12	3.49		3	0.87		0	0.00		0	0.00		3	0.87		0	0.00		0	0.00		0	0.00		0	0.00		64	18.60		5	1.45		0	0.00		0	0.00		0	0.00		69	20.06		48	13.95		1	0.29		1	0.29		0	0.00		0	0.00		50	14.53		5	1.45		1	0.29		0	0.00		6	1.74		13	3.78		1	0.29		0	0.00		0	0.00		14	4.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		344	97.45		9	2.55		353	0.44																																															
	Augathella		2	0.69		2	0.69		0	0.00		4	1.39		120	41.67		0	0.00		0	0.00		0	0.00		120	41.67		0	0.00		0	0.00		0	0.00		0	0.00		87	30.21		1	0.35		0	0.00		0	0.00		88	30.56		2	0.69		0	0.00		0	0.00		2	0.69		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.35		0	0.00		0	0.00		1	0.35		18	6.25		1	0.35		0	0.00		0	0.00		0	0.00		19	6.60		47	16.32		1	0.35		0	0.00		0	0.00		0	0.00		48	16.67		3	1.04		0	0.00		0	0.00		3	1.04		3	1.04		0	0.00		0	0.00		0	0.00		3	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		288	97.63		7	2.37		295	0.37																																															
	Ballandean		1	0.33		3	0.99		0	0.00		4	1.32		45	14.90		4	1.32		1	0.33		0	0.00		50	16.56		0	0.00		0	0.00		0	0.00		0	0.00		102	33.77		4	1.32		1	0.33		0	0.00		107	35.43		1	0.33		0	0.00		0	0.00		1	0.33		13	4.30		10	3.31		0	0.00		0	0.00		23	7.62		3	0.99		0	0.00		0	0.00		3	0.99		0	0.00		0	0.00		0	0.00		0	0.00		42	13.91		4	1.32		0	0.00		0	0.00		0	0.00		46	15.23		37	12.25		0	0.00		0	0.00		0	0.00		0	0.00		37	12.25		2	0.66		1	0.33		0	0.00		3	0.99		27	8.94		1	0.33		0	0.00		0	0.00		28	9.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		302	98.69		4	1.31		306	0.39																																															
	Bauhinia Downs		0	0.00		0	0.00		0	0.00		0	0.00		3	2.83		1	0.94		0	0.00		0	0.00		4	3.77		0	0.00		1	0.94		0	0.00		1	0.94		62	58.49		3	2.83		0	0.00		0	0.00		65	61.32		1	0.94		1	0.94		0	0.00		2	1.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		23	21.70		0	0.00		0	0.00		0	0.00		0	0.00		23	21.70		9	8.49		0	0.00		0	0.00		0	0.00		0	0.00		9	8.49		1	0.94		0	0.00		0	0.00		1	0.94		1	0.94		0	0.00		0	0.00		0	0.00		1	0.94		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		106	96.36		4	3.64		110	0.14																																															
	Bedourie		0	0.00		0	0.00		0	0.00		0	0.00		9	13.85		0	0.00		0	0.00		0	0.00		9	13.85		0	0.00		0	0.00		0	0.00		0	0.00		32	49.23		1	1.54		0	0.00		0	0.00		33	50.77		0	0.00		0	0.00		0	0.00		0	0.00		1	1.54		0	0.00		0	0.00		0	0.00		1	1.54		3	4.62		0	0.00		0	0.00		3	4.62		0	0.00		0	0.00		0	0.00		0	0.00		6	9.23		1	1.54		0	0.00		0	0.00		0	0.00		7	10.77		10	15.38		0	0.00		0	0.00		0	0.00		0	0.00		10	15.38		2	3.08		0	0.00		0	0.00		2	3.08		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		65	100.00		0	0.00		65	0.08																																													
	Bell		1	0.27		0	0.00		0	0.00		1	0.27		42	11.51		3	0.82		0	0.00		0	0.00		45	12.33		0	0.00		0	0.00		0	0.00		0	0.00		150	41.10		3	0.82		0	0.00		1	0.27		154	42.19		2	0.55		0	0.00		0	0.00		2	0.55		7	1.92		1	0.27		0	0.00		0	0.00		8	2.19		3	0.82		0	0.00		0	0.00		3	0.82		1	0.27		0	0.00		0	0.00		1	0.27		88	24.11		9	2.47		0	0.00		0	0.00		0	0.00		97	26.58		39	10.68		4	1.10		1	0.27		0	0.00		0	0.00		44	12.05		4	1.10		0	0.00		0	0.00		4	1.10		5	1.37		0	0.00		0	0.00		0	0.00		5	1.37		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		0	0.00		0	0.00		0	0.00		1	0.27		365	97.07		11	2.93		376	0.47																																													
	Birdsville		0	0.00		0	0.00		0	0.00		0	0.00		13	24.53		0	0.00		0	0.00		0	0.00		13	24.53		0	0.00		0	0.00		0	0.00		0	0.00		19	35.85		0	0.00		0	0.00		0	0.00		19	35.85		0	0.00		0	0.00		0	0.00		0	0.00		1	1.89		1	1.89		0	0.00		0	0.00		2	3.77		0	0.00		1	1.89		0	0.00		1	1.89		0	0.00		0	0.00		0	0.00		0	0.00		3	5.66		0	0.00		0	0.00		0	0.00		0	0.00		3	5.66		11	20.75		0	0.00		0	0.00		0	0.00		0	0.00		11	20.75		3	5.66		0	0.00		0	0.00		3	5.66		1	1.89		0	0.00		0	0.00		0	0.00		1	1.89		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		53	100.00		0	0.00		53	0.07																																													
	Blackall		7	0.86		0	0.00		0	0.00		7	0.86		320	39.22		3	0.37		0	0.00		1	0.12		324	39.71		1	0.12		0	0.00		0	0.00		1	0.12		232	28.43		5	0.61		0	0.00		0	0.00		237	29.04		8	0.98		0	0.00		0	0.00		8	0.98		10	1.23		0	0.00		0	0.00		0	0.00		10	1.23		10	1.23		0	0.00		0	0.00		10	1.23		0	0.00		0	0.00		0	0.00		0	0.00		96	11.76		6	0.74		0	0.00		0	0.00		0	0.00		102	12.50		89	10.91		3	0.37		1	0.12		0	0.00		0	0.00		93	11.40		10	1.23		0	0.00		0	0.00		10	1.23		13	1.59		0	0.00		1	0.12		0	0.00		14	1.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		816	94.99		43	5.01		859	1.08																																													
	Blackwater		6	0.51		0	0.00		0	0.00		6	0.51		626	53.37		6	0.51		0	0.00		1	0.09		633	53.96		2	0.17		0	0.00		0	0.00		2	0.17		183	15.60		4	0.34		0	0.00		0	0.00		187	15.94		4	0.34		1	0.09		2	0.17		7	0.60		9	0.77		2	0.17		0	0.00		0	0.00		11	0.94		18	1.53		1	0.09		0	0.00		19	1.62		0	0.00		0	0.00		0	0.00		0	0.00		135	11.51		9	0.77		0	0.00		0	0.00		0	0.00		144	12.28		117	9.97		6	0.51		2	0.17		0	0.00		0	0.00		125	10.66		8	0.68		0	0.00		0	0.00		8	0.68		27	2.30		3	0.26		0	0.00		1	0.09		31	2.64		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1173	96.94		37	3.06		1210	1.52																																													
	Blackwater North		1	0.14		1	0.14		0	0.00		2	0.27		433	58.91		4	0.54		2	0.27		0	0.00		439	59.73		3	0.41		0	0.00		0	0.00		3	0.41		76	10.34		1	0.14		0	0.00		0	0.00		77	10.48		7	0.95		1	0.14		0	0.00		8	1.09		9	1.22		0	0.00		0	0.00		1	0.14		10	1.36		3	0.41		1	0.14		0	0.00		4	0.54		0	0.00		0	0.00		0	0.00		0	0.00		68	9.25		8	1.09		0	0.00		0	0.00		0	0.00		76	10.34		76	10.34		2	0.27		1	0.14		0	0.00		0	0.00		79	10.75		15	2.04		1	0.14		0	0.00		16	2.18		19	2.59		2	0.27		0	0.00		0	0.00		21	2.86		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		735	98.66		10	1.34		745	0.94																																													
	Bluff		0	0.00		0	0.00		0	0.00		0	0.00		102	52.85		1	0.52		0	0.00		0	0.00		103	53.37		2	1.04		0	0.00		0	0.00		2	1.04		43	22.28		0	0.00		0	0.00		0	0.00		43	22.28		1	0.52		0	0.00		0	0.00		1	0.52		1	0.52		0	0.00		0	0.00		0	0.00		1	0.52		2	1.04		0	0.00		0	0.00		2	1.04		0	0.00		0	0.00		0	0.00		0	0.00		25	12.95		2	1.04		0	0.00		0	0.00		0	0.00		27	13.99		11	5.70		0	0.00		0	0.00		0	0.00		0	0.00		11	5.70		1	0.52		0	0.00		0	0.00		1	0.52		1	0.52		1	0.52		0	0.00		0	0.00		2	1.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		193	98.97		2	1.03		195	0.25																																													
	Bollon		0	0.00		0	0.00		0	0.00		0	0.00		56	36.60		1	0.65		0	0.00		0	0.00		57	37.25		0	0.00		0	0.00		0	0.00		0	0.00		53	34.64		1	0.65		0	0.00		1	0.65		55	35.95		0	0.00		0	0.00		0	0.00		0	0.00		3	1.96		0	0.00		0	0.00		0	0.00		3	1.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		18	11.76		2	1.31		0	0.00		0	0.00		0	0.00		20	13.07		15	9.80		0	0.00		0	0.00		0	0.00		0	0.00		15	9.80		2	1.31		0	0.00		0	0.00		2	1.31		1	0.65		0	0.00		0	0.00		0	0.00		1	0.65		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		153	98.08		3	1.92		156	0.20																																													
	Brigalow		0	0.00		0	0.00		0	0.00		0	0.00		8	4.94		0	0.00		0	0.00		0	0.00		8	4.94		2	1.23		1	0.62		0	0.00		3	1.85		93	57.41		6	3.70		0	0.00		0	0.00		99	61.11		1	0.62		0	0.00		0	0.00		1	0.62		2	1.23		2	1.23		0	0.00		0	0.00		4	2.47		1	0.62		0	0.00		0	0.00		1	0.62		0	0.00		0	0.00		0	0.00		0	0.00		27	16.67		5	3.09		0	0.00		0	0.00		0	0.00		32	19.75		7	4.32		0	0.00		0	0.00		0	0.00		0	0.00		7	4.32		2	1.23		0	0.00		1	0.62		3	1.85		4	2.47		0	0.00		0	0.00		0	0.00		4	2.47		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		162	95.86		7	4.14		169	0.21																																													
	Bringalily South		0	0.00		0	0.00		0	0.00		0	0.00		2	2.74		0	0.00		0	0.00		0	0.00		2	2.74		0	0.00		0	0.00		0	0.00		0	0.00		52	71.23		0	0.00		0	0.00		0	0.00		52	71.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	13.70		2	2.74		0	0.00		0	0.00		0	0.00		12	16.44		6	8.22		0	0.00		0	0.00		0	0.00		0	0.00		6	8.22		1	1.37		0	0.00		0	0.00		1	1.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		73	98.65		1	1.35		74	0.09																																													
	Brisbane City (Maranoa)		0	0.00		0	0.00		0	0.00		0	0.00		14	11.76		2	1.68		0	0.00		0	0.00		16	13.45		0	0.00		0	0.00		0	0.00		0	0.00		41	34.45		0	0.00		3	2.52		0	0.00		44	36.97		2	1.68		0	0.00		1	0.84		3	2.52		4	3.36		0	0.00		0	0.00		0	0.00		4	3.36		3	2.52		0	0.00		0	0.00		3	2.52		0	0.00		0	0.00		0	0.00		0	0.00		6	5.04		0	0.00		0	0.00		0	0.00		0	0.00		6	5.04		34	28.57		0	0.00		0	0.00		0	0.00		0	0.00		34	28.57		0	0.00		1	0.84		0	0.00		1	0.84		6	5.04		2	1.68		0	0.00		0	0.00		8	6.72		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		119	99.17		1	0.83		120	0.15																																													
