Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate  																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
McPherson (94653)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Bonogin		1	0.05		0	0.00		0	0.00		1	0.05		348	17.90		12	0.62		1	0.05		2	0.10		363	18.67		0	0.00		0	0.00		0	0.00		0	0.00		81	4.17		3	0.15		0	0.00		0	0.00		84	4.32		20	1.03		7	0.36		0	0.00		27	1.39		68	3.50		8	0.41		1	0.05		0	0.00		77	3.96		14	0.72		0	0.00		0	0.00		14	0.72		0	0.00		0	0.00		1	0.05		1	0.05		153	7.87		11	0.57		0	0.00		0	0.00		0	0.00		164	8.44		1069	54.99		11	0.57		0	0.00		0	0.00		2	0.10		1082	55.66		13	0.67		1	0.05		0	0.00		14	0.72		107	5.50		10	0.51		0	0.00		0	0.00		117	6.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1944	98.23		35	1.77		1979	2.22																																															
	Brisbane City (McPherson)		0	0.00		0	0.00		0	0.00		0	0.00		10	19.23		1	1.92		0	0.00		0	0.00		11	21.15		0	0.00		0	0.00		0	0.00		0	0.00		2	3.85		0	0.00		0	0.00		0	0.00		2	3.85		1	1.92		0	0.00		0	0.00		1	1.92		4	7.69		0	0.00		0	0.00		0	0.00		4	7.69		0	0.00		0	0.00		0	0.00		0	0.00		1	1.92		0	0.00		0	0.00		1	1.92		3	5.77		0	0.00		0	0.00		0	0.00		0	0.00		3	5.77		20	38.46		1	1.92		0	0.00		0	0.00		0	0.00		21	40.38		1	1.92		0	0.00		0	0.00		1	1.92		6	11.54		2	3.85		0	0.00		0	0.00		8	15.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		52	98.11		1	1.89		53	0.06																																															
	Broadbeach (McPherson)		4	0.25		0	0.00		0	0.00		4	0.25		349	21.99		5	0.32		1	0.06		0	0.00		355	22.37		1	0.06		0	0.00		0	0.00		1	0.06		38	2.39		2	0.13		0	0.00		0	0.00		40	2.52		4	0.25		2	0.13		0	0.00		6	0.38		76	4.79		8	0.50		0	0.00		0	0.00		84	5.29		44	2.77		4	0.25		0	0.00		48	3.02		1	0.06		0	0.00		0	0.00		1	0.06		74	4.66		2	0.13		0	0.00		0	0.00		0	0.00		76	4.79		826	52.05		7	0.44		0	0.00		0	0.00		0	0.00		833	52.49		6	0.38		0	0.00		0	0.00		6	0.38		123	7.75		8	0.50		0	0.00		2	0.13		133	8.38		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1587	97.24		45	2.76		1632	1.83																																															
	Burleigh Heads		15	0.37		0	0.00		0	0.00		15	0.37		1036	25.42		25	0.61		2	0.05		2	0.05		1065	26.13		2	0.05		0	0.00		0	0.00		2	0.05		146	3.58		7	0.17		0	0.00		0	0.00		153	3.75		27	0.66		4	0.10		0	0.00		31	0.76		229	5.62		20	0.49		0	0.00		3	0.07		252	6.18		63	1.55		5	0.12		1	0.02		69	1.69		3	0.07		0	0.00		0	0.00		3	0.07		295	7.24		21	0.52		0	0.00		0	0.00		0	0.00		316	7.75		1836	45.04		25	0.61		2	0.05		0	0.00		1	0.02		1864	45.73		31	0.76		0	0.00		0	0.00		31	0.76		256	6.28		11	0.27		3	0.07		4	0.10		274	6.72		1	0.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.02		4076	96.52		147	3.48		4223	4.73																																															
	Burleigh North		1	0.15		0	0.00		0	0.00		1	0.15		200	30.12		3	0.45		0	0.00		0	0.00		203	30.57		0	0.00		0	0.00		0	0.00		0	0.00		34	5.12		1	0.15		0	0.00		0	0.00		35	5.27		2	0.30		0	0.00		0	0.00		2	0.30		17	2.56		4	0.60		1	0.15		0	0.00		22	3.31		3	0.45		1	0.15		0	0.00		4	0.60		0	0.00		0	0.00		0	0.00		0	0.00		46	6.93		3	0.45		0	0.00		0	0.00		0	0.00		49	7.38		312	46.99		3	0.45		0	0.00		0	0.00		1	0.15		316	47.59		4	0.60		0	0.00		0	0.00		4	0.60		25	3.77		3	0.45		0	0.00		0	0.00		28	4.22		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		664	94.59		38	5.41		702	0.79																																															
	Burleigh Waters		5	0.10		1	0.02		1	0.02		7	0.15		1455	30.42		19	0.40		1	0.02		3	0.06		1478	30.90		2	0.04		0	0.00		0	0.00		2	0.04		96	2.01		9	0.19		0	0.00		0	0.00		105	2.20		21	0.44		1	0.02		0	0.00		22	0.46		172	3.60		11	0.23		0	0.00		1	0.02		184	3.85		43	0.90		2	0.04		0	0.00		45	0.94		4	0.08		0	0.00		0	0.00		4	0.08		382	7.99		24	0.50		0	0.00		0	0.00		0	0.00		406	8.49		2204	46.08		19	0.40		2	0.04		0	0.00		2	0.04		2227	46.56		42	0.88		3	0.06		0	0.00		45	0.94		249	5.21		7	0.15		0	0.00		0	0.00		256	5.35		2	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.04		4783	96.88		154	3.12		4937	5.53																																															
	Burleigh West		6	0.41		1	0.07		0	0.00		7	0.48		367	25.07		3	0.20		0	0.00		1	0.07		371	25.34		0	0.00		0	0.00		0	0.00		0	0.00		65	4.44		3	0.20		0	0.00		0	0.00		68	4.64		10	0.68		2	0.14		0	0.00		12	0.82		60	4.10		5	0.34		0	0.00		1	0.07		66	4.51		17	1.16		1	0.07		0	0.00		18	1.23		2	0.14		0	0.00		0	0.00		2	0.14		95	6.49		7	0.48		0	0.00		0	0.00		0	0.00		102	6.97		703	48.02		15	1.02		1	0.07		0	0.00		0	0.00		719	49.11		11	0.75		1	0.07		0	0.00		12	0.82		75	5.12		12	0.82		0	0.00		0	0.00		87	5.94		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1464	96.70		50	3.30		1514	1.70																																															
	Coolangatta		2	0.21		0	0.00		0	0.00		2	0.21		295	30.32		5	0.51		0	0.00		0	0.00		300	30.83		0	0.00		0	0.00		0	0.00		0	0.00		20	2.06		4	0.41		0	0.00		0	0.00		24	2.47		3	0.31		1	0.10		0	0.00		4	0.41		35	3.60		2	0.21		0	0.00		0	0.00		37	3.80		11	1.13		2	0.21		0	0.00		13	1.34		1	0.10		0	0.00		0	0.00		1	0.10		73	7.50		13	1.34		0	0.00		0	0.00		0	0.00		86	8.84		430	44.19		2	0.21		1	0.10		0	0.00		1	0.10		434	44.60		8	0.82		2	0.21		0	0.00		10	1.03		58	5.96		3	0.31		0	0.00		0	0.00		61	6.27		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		1	0.10		973	95.49		46	4.51		1019	1.14																																															
	Currumbin		10	0.39		0	0.00		0	0.00		10	0.39		815	31.50		10	0.39		1	0.04		2	0.08		828	32.01		1	0.04		0	0.00		0	0.00		1	0.04		88	3.40		2	0.08		0	0.00		0	0.00		90	3.48		9	0.35		1	0.04		0	0.00		10	0.39		98	3.79		4	0.15		1	0.04		0	0.00		103	3.98		27	1.04		0	0.00		1	0.04		28	1.08		1	0.04		0	0.00		1	0.04		2	0.08		213	8.23		17	0.66		1	0.04		0	0.00		0	0.00		231	8.93		1135	43.87		12	0.46		0	0.00		0	0.00		1	0.04		1148	44.38		23	0.89		0	0.00		0	0.00		23	0.89		103	3.98		7	0.27		0	0.00		3	0.12		113	4.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2587	95.81		113	4.19		2700	3.02																																													
	Currumbin Valley		0	0.00		0	0.00		0	0.00		0	0.00		62	19.68		1	0.32		0	0.00		1	0.32		64	20.32		0	0.00		0	0.00		0	0.00		0	0.00		26	8.25		5	1.59		0	0.00		0	0.00		31	9.84		2	0.63		0	0.00		0	0.00		2	0.63		18	5.71		2	0.63		0	0.00		0	0.00		20	6.35		4	1.27		0	0.00		0	0.00		4	1.27		0	0.00		2	0.63		0	0.00		2	0.63		43	13.65		5	1.59		0	0.00		0	0.00		0	0.00		48	15.24		119	37.78		1	0.32		0	0.00		0	0.00		0	0.00		120	38.10		2	0.63		0	0.00		0	0.00		2	0.63		14	4.44		5	1.59		0	0.00		3	0.95		22	6.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		315	94.59		18	5.41		333	0.37																																													
