Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Moreton (89254)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Annerley		5	0.39		5	0.39		0	0.00		10	0.78		422	32.87		16	1.25		3	0.23		1	0.08		442	34.42		2	0.16		0	0.00		0	0.00		2	0.16		37	2.88		8	0.62		1	0.08		0	0.00		46	3.58		10	0.78		1	0.08		1	0.08		12	0.93		52	4.05		16	1.25		1	0.08		0	0.00		69	5.37		21	1.64		2	0.16		0	0.00		23	1.79		0	0.00		0	0.00		0	0.00		0	0.00		52	4.05		6	0.47		0	0.00		0	0.00		0	0.00		58	4.52		447	34.81		13	1.01		2	0.16		0	0.00		1	0.08		463	36.06		9	0.70		0	0.00		0	0.00		9	0.70		136	10.59		12	0.93		1	0.08		0	0.00		149	11.60		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		1284	95.54		60	4.46		1344	1.60																																															
	Annerley Junction		2	0.28		6	0.85		0	0.00		8	1.13		255	36.02		6	0.85		5	0.71		1	0.14		267	37.71		0	0.00		0	0.00		0	0.00		0	0.00		25	3.53		4	0.56		0	0.00		0	0.00		29	4.10		4	0.56		3	0.42		0	0.00		7	0.99		36	5.08		12	1.69		0	0.00		2	0.28		50	7.06		8	1.13		5	0.71		0	0.00		13	1.84		0	0.00		0	0.00		0	0.00		0	0.00		26	3.67		1	0.14		0	0.00		0	0.00		0	0.00		27	3.81		219	30.93		4	0.56		3	0.42		0	0.00		1	0.14		227	32.06		4	0.56		0	0.00		0	0.00		4	0.56		65	9.18		10	1.41		1	0.14		0	0.00		76	10.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		708	95.42		34	4.58		742	0.88																																															
	Brisbane City (Moreton)		4	0.84		3	0.63		1	0.21		8	1.68		143	30.11		5	1.05		2	0.42		0	0.00		150	31.58		0	0.00		0	0.00		0	0.00		0	0.00		14	2.95		4	0.84		0	0.00		0	0.00		18	3.79		2	0.42		1	0.21		0	0.00		3	0.63		26	5.47		3	0.63		1	0.21		0	0.00		30	6.32		13	2.74		4	0.84		0	0.00		17	3.58		3	0.63		0	0.00		0	0.00		3	0.63		17	3.58		2	0.42		0	0.00		0	0.00		0	0.00		19	4.00		143	30.11		2	0.42		1	0.21		1	0.21		0	0.00		147	30.95		6	1.26		0	0.00		0	0.00		6	1.26		65	13.68		8	1.68		0	0.00		0	0.00		73	15.37		0	0.00		1	0.21		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.21		475	96.15		19	3.85		494	0.59																																															
	Chelmer		0	0.00		0	0.00		0	0.00		0	0.00		105	12.31		13	1.52		0	0.00		2	0.23		120	14.07		1	0.12		0	0.00		0	0.00		1	0.12		71	8.32		15	1.76		0	0.00		0	0.00		86	10.08		7	0.82		0	0.00		0	0.00		7	0.82		38	4.45		12	1.41		0	0.00		1	0.12		51	5.98		4	0.47		5	0.59		1	0.12		10	1.17		1	0.12		0	0.00		0	0.00		1	0.12		13	1.52		6	0.70		0	0.00		0	0.00		0	0.00		19	2.23		462	54.16		6	0.70		2	0.23		0	0.00		1	0.12		471	55.22		1	0.12		1	0.12		0	0.00		2	0.23		63	7.39		21	2.46		0	0.00		1	0.12		85	9.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		853	97.82		19	2.18		872	1.04																																															
	Coopers Plains		9	0.41		2	0.09		0	0.00		11	0.50		869	39.75		17	0.78		3	0.14		2	0.09		891	40.76		2	0.09		0	0.00		0	0.00		2	0.09		69	3.16		5	0.23		0	0.00		0	0.00		74	3.39		18	0.82		3	0.14		1	0.05		22	1.01		68	3.11		14	0.64		0	0.00		1	0.05		83	3.80		31	1.42		2	0.09		0	0.00		33	1.51		3	0.14		0	0.00		0	0.00		3	0.14		156	7.14		8	0.37		0	0.00		0	0.00		0	0.00		164	7.50		701	32.07		7	0.32		1	0.05		1	0.05		1	0.05		711	32.53		25	1.14		1	0.05		0	0.00		26	1.19		147	6.72		13	0.59		1	0.05		2	0.09		163	7.46		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		2	0.09		3	0.14		2186	96.34		83	3.66		2269	2.70																																															
	Corinda (Moreton)		0	0.00		0	0.00		0	0.00		0	0.00		105	29.01		8	2.21		1	0.28		1	0.28		115	31.77		0	0.00		0	0.00		0	0.00		0	0.00		9	2.49		6	1.66		0	0.00		0	0.00		15	4.14		1	0.28		1	0.28		0	0.00		2	0.55		13	3.59		2	0.55		1	0.28		0	0.00		16	4.42		4	1.10		0	0.00		0	0.00		4	1.10		0	0.00		0	0.00		0	0.00		0	0.00		20	5.52		4	1.10		0	0.00		0	0.00		0	0.00		24	6.63		134	37.02		3	0.83		0	0.00		1	0.28		1	0.28		139	38.40		0	0.00		0	0.00		0	0.00		0	0.00		39	10.77		7	1.93		1	0.28		0	0.00		47	12.98		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		362	98.10		7	1.90		369	0.44																																															
	Dupre St		3	0.68		0	0.00		0	0.00		3	0.68		148	33.33		1	0.23		1	0.23		0	0.00		150	33.78		0	0.00		1	0.23		0	0.00		1	0.23		17	3.83		4	0.90		0	0.00		0	0.00		21	4.73		10	2.25		0	0.00		1	0.23		11	2.48		6	1.35		2	0.45		0	0.00		0	0.00		8	1.80		1	0.23		1	0.23		0	0.00		2	0.45		0	0.00		0	0.00		0	0.00		0	0.00		29	6.53		10	2.25		0	0.00		0	0.00		0	0.00		39	8.78		176	39.64		3	0.68		0	0.00		0	0.00		0	0.00		179	40.32		1	0.23		0	0.00		0	0.00		1	0.23		22	4.95		5	1.13		1	0.23		0	0.00		28	6.31		1	0.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.23		444	96.73		15	3.27		459	0.55																																															
	Eight Mile Plains (Moreton)		3	0.19		1	0.06		0	0.00		4	0.25		579	36.01		11	0.68		2	0.12		0	0.00		592	36.82		1	0.06		0	0.00		0	0.00		1	0.06		38	2.36		3	0.19		0	0.00		0	0.00		41	2.55		18	1.12		2	0.12		0	0.00		20	1.24		29	1.80		1	0.06		0	0.00		1	0.06		31	1.93		18	1.12		4	0.25		0	0.00		22	1.37		2	0.12		1	0.06		0	0.00		3	0.19		122	7.59		16	1.00		0	0.00		0	0.00		0	0.00		138	8.58		646	40.17		9	0.56		2	0.12		0	0.00		1	0.06		658	40.92		20	1.24		0	0.00		0	0.00		20	1.24		75	4.66		3	0.19		0	0.00		0	0.00		78	4.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1608	96.93		51	3.07		1659	1.97																																															
	Fairfield		5	0.46		4	0.37		0	0.00		9	0.83		350	32.14		8	0.73		1	0.09		0	0.00		359	32.97		1	0.09		0	0.00		0	0.00		1	0.09		51	4.68		10	0.92		0	0.00		0	0.00		61	5.60		17	1.56		2	0.18		0	0.00		19	1.74		63	5.79		20	1.84		0	0.00		3	0.28		86	7.90		15	1.38		4	0.37		0	0.00		19	1.74		2	0.18		1	0.09		0	0.00		3	0.28		56	5.14		10	0.92		0	0.00		0	0.00		0	0.00		66	6.06		315	28.93		12	1.10		1	0.09		0	0.00		1	0.09		329	30.21		10	0.92		1	0.09		0	0.00		11	1.01		114	10.47		10	0.92		0	0.00		2	0.18		126	11.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1089	96.12		44	3.88		1133	1.35																																													
	Graceville		6	0.22		0	0.00		1	0.04		7	0.25		742	26.77		32	1.15		5	0.18		3	0.11		782	28.21		0	0.00		1	0.04		0	0.00		1	0.04		118	4.26		32	1.15		0	0.00		1	0.04		151	5.45		13	0.47		4	0.14		1	0.04		18	0.65		124	4.47		46	1.66		2	0.07		4	0.14		176	6.35		27	0.97		4	0.14		0	0.00		31	1.12		4	0.14		1	0.04		0	0.00		5	0.18		97	3.50		21	0.76		0	0.00		0	0.00		0	0.00		118	4.26		1091	39.36		19	0.69		5	0.18		4	0.14		2	0.07		1121	40.44		5	0.18		1	0.04		0	0.00		6	0.22		308	11.11		37	1.33		5	0.18		4	0.14		354	12.77		1	0.04		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.07		2772	98.02		56	1.98		2828	3.36																																													
