Senate - 2001 Election: Queensland																																																																																																																																																																																																																																																												
First Preference Votes by Candidate 																																																																																																																																																																																																																																																												
By Polling Place																																																																																																																																																																																																																																																												
Wide Bay (81391)																																																																																																																																																																																																																																																												
		   	 A 												 B Australian Labor Party (State of Queensland)															 C Citizens Electoral Council of Australia												 D National Party of Australia (Queensland)															 E Christian Democratic Party (Fred Nile Group)												 F Australian Greens															 G Help End Marijuana Prohibition												 H Republican Party of Australia												 I Pauline Hanson's One Nation																		 J Liberal Party of Australia - Queensland Division																		 K No Goods and Services Tax Party												 L Australian Democrats															Ungrouped																																																																																	
	    		TICKET VOTES			WATSON			FLETCHER			Group Total			TICKET VOTES			# HOGG			# MOORE			GIBBS			Group Total			TICKET VOTES			HOPE			CONTARINO			Group Total			TICKET VOTES			# BOSWELL			STALLMAN			JOYCE			Group Total			TICKET VOTES			BLACKMAN			BULLOCK			Group Total			TICKET VOTES			MOLES			MAHONEY			TAYLOR			Group Total			TICKET VOTES			FREEMARIJUANA			FREEMARIJUANA			Group Total			TICKET VOTES			PYKE			SIMPSON			Group Total			TICKET VOTES			HANSON			HANSEN			MARSDEN			SLACK-SMITH			Group Total			TICKET VOTES			# MACDONALD			# HERRON			TROOD			KEMBER			Group Total			TICKET VOTES			ETTRIDGE			GOOCH			Group Total			TICKET VOTES			# BARTLETT			OSS-EMER			BATHURST			Group Total			ROSBOROUGH			HOWSE			JONES			KIRWIN			SZENTES			MELROSE			PHILIPPI			RILEY			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																
	    					Sam			Karen									John			Claire			Brenda									Danny			Nick									Ron			Pam			Barnaby									Kerry			Geoffrey									Sarah			Desiree			Mark									Nigel David			Guy									John Richard			Malcolm J									Pauline			Trevor			Morrie			John									Ian			John			Russell			Deborah									David			Richard John									Andrew			Liz			Megan						Derek M			David Gordon			John Dalungdalee			Oni			George			Anthony John			Walter			Phillip Werner																																																												
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																															
	Baddow		6	0.29		2	0.10		0	0.00		8	0.39		629	30.30		7	0.34		2	0.10		2	0.10		640	30.83		6	0.29		0	0.00		0	0.00		6	0.29		506	24.37		6	0.29		0	0.00		2	0.10		514	24.76		25	1.20		2	0.10		0	0.00		27	1.30		50	2.41		8	0.39		1	0.05		0	0.00		59	2.84		16	0.77		2	0.10		0	0.00		18	0.87		4	0.19		0	0.00		0	0.00		4	0.19		410	19.75		17	0.82		0	0.00		0	0.00		0	0.00		427	20.57		243	11.71		6	0.29		0	0.00		0	0.00		0	0.00		249	11.99		51	2.46		1	0.05		0	0.00		52	2.50		69	3.32		1	0.05		0	0.00		0	0.00		70	3.37		1	0.05		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		2076	97.24		59	2.76		2135	  2.76?																																															
	Banana		1	0.60		0	0.00		0	0.00		1	0.60		17	10.24		1	0.60		0	0.00		0	0.00		18	10.84		3	1.81		0	0.00		0	0.00		3	1.81		80	48.19		4	2.41		0	0.00		0	0.00		84	50.60		3	1.81		0	0.00		0	0.00		3	1.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		1	0.60		0	0.00		0	0.00		0	0.00		0	0.00		37	22.29		3	1.81		0	0.00		0	0.00		0	0.00		40	24.10		13	7.83		0	0.00		0	0.00		0	0.00		0	0.00		13	7.83		0	0.00		0	0.00		0	0.00		0	0.00		3	1.81		0	0.00		0	0.00		0	0.00		3	1.81		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		166	97.08		5	2.92		171	0.22																																															
	Bancroft		1	0.97		0	0.00		0	0.00		1	0.97		5	4.85		1	0.97		0	0.00		0	0.00		6	5.83		0	0.00		0	0.00		0	0.00		0	0.00		53	51.46		0	0.00		1	0.97		0	0.00		54	52.43		0	0.00		0	0.00		0	0.00		0	0.00		2	1.94		0	0.00		0	0.00		1	0.97		3	2.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		34	33.01		2	1.94		0	0.00		0	0.00		0	0.00		36	34.95		1	0.97		0	0.00		0	0.00		0	0.00		0	0.00		1	0.97		2	1.94		0	0.00		0	0.00		2	1.94		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		103	99.04		1	0.96		104	0.13																																															
	Baralaba		2	0.73		0	0.00		0	0.00		2	0.73		43	15.64		1	0.36		0	0.00		0	0.00		44	16.00		15	5.45		1	0.36		0	0.00		16	5.82		134	48.73		4	1.45		0	0.00		0	0.00		138	50.18		2	0.73		0	0.00		0	0.00		2	0.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.36		0	0.00		0	0.00		1	0.36		0	0.00		0	0.00		0	0.00		0	0.00		49	17.82		2	0.73		0	0.00		0	0.00		0	0.00		51	18.55		17	6.18		1	0.36		1	0.36		0	0.00		0	0.00		19	6.91		0	0.00		0	0.00		0	0.00		0	0.00		2	0.73		0	0.00		0	0.00		0	0.00		2	0.73		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		275	96.83		9	3.17		284	0.37																																															
	Bauple		1	0.31		0	0.00		0	0.00		1	0.31		90	28.04		3	0.93		0	0.00		0	0.00		93	28.97		0	0.00		0	0.00		0	0.00		0	0.00		81	25.23		3	0.93		0	0.00		0	0.00		84	26.17		4	1.25		0	0.00		0	0.00		4	1.25		10	3.12		2	0.62		0	0.00		0	0.00		12	3.74		8	2.49		2	0.62		0	0.00		10	3.12		0	0.00		0	0.00		0	0.00		0	0.00		59	18.38		4	1.25		0	0.00		0	0.00		0	0.00		63	19.63		30	9.35		0	0.00		0	0.00		0	0.00		0	0.00		30	9.35		5	1.56		0	0.00		0	0.00		5	1.56		16	4.98		1	0.31		0	0.00		0	0.00		17	5.30		1	0.31		0	0.00		0	0.00		0	0.00		1	0.31		0	0.00		0	0.00		0	0.00		2	0.62		321	95.82		14	4.18		335	0.43																																															
	Bell Hilltop		5	0.33		1	0.07		0	0.00		6	0.39		510	33.46		9	0.59		2	0.13		0	0.00		521	34.19		3	0.20		0	0.00		0	0.00		3	0.20		377	24.74		16	1.05		0	0.00		0	0.00		393	25.79		10	0.66		2	0.13		0	0.00		12	0.79		20	1.31		2	0.13		0	0.00		0	0.00		22	1.44		18	1.18		0	0.00		0	0.00		18	1.18		1	0.07		0	0.00		0	0.00		1	0.07		223	14.63		13	0.85		0	0.00		0	0.00		0	0.00		236	15.49		197	12.93		4	0.26		1	0.07		0	0.00		0	0.00		202	13.25		36	2.36		0	0.00		0	0.00		36	2.36		68	4.46		3	0.20		1	0.07		1	0.07		73	4.79		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		1524	97.50		39	2.50		1563	2.02																																															
	Biggenden		3	0.40		1	0.13		0	0.00		4	0.53		130	17.36		5	0.67		1	0.13		0	0.00		136	18.16		3	0.40		0	0.00		0	0.00		3	0.40		286	38.18		8	1.07		2	0.27		0	0.00		296	39.52		4	0.53		1	0.13		0	0.00		5	0.67		11	1.47		2	0.27		0	0.00		0	0.00		13	1.74		11	1.47		1	0.13		0	0.00		12	1.60		0	0.00		0	0.00		0	0.00		0	0.00		169	22.56		5	0.67		0	0.00		0	0.00		0	0.00		174	23.23		72	9.61		0	0.00		0	0.00		0	0.00		0	0.00		72	9.61		10	1.34		0	0.00		0	0.00		10	1.34		22	2.94		0	0.00		0	0.00		0	0.00		22	2.94		1	0.13		0	0.00		1	0.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.27		749	95.17		38	4.83		787	1.02																																															
	Biloela		6	0.18		2	0.06		0	0.00		8	0.24		1033	31.62		15	0.46		1	0.03		1	0.03		1050	32.14		11	0.34		2	0.06		0	0.00		13	0.40		1046	32.02		24	0.73		1	0.03		0	0.00		1071	32.78		29	0.89		8	0.24		2	0.06		39	1.19		53	1.62		5	0.15		0	0.00		0	0.00		58	1.78		41	1.25		5	0.15		0	0.00		46	1.41		5	0.15		1	0.03		0	0.00		6	0.18		433	13.25		24	0.73		0	0.00		0	0.00		0	0.00		457	13.99		335	10.25		6	0.18		2	0.06		0	0.00		0	0.00		343	10.50		59	1.81		1	0.03		0	0.00		60	1.84		96	2.94		15	0.46		3	0.09		0	0.00		114	3.49		0	0.00		1	0.03		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		2	0.06		3267	96.23		128	3.77		3395	4.38																																															
	Binjour		0	0.00		0	0.00		0	0.00		0	0.00		2	1.98		0	0.00		0	0.00		0	0.00		2	1.98		1	0.99		0	0.00		0	0.00		1	0.99		52	51.49		2	1.98		0	0.00		0	0.00		54	53.47		1	0.99		0	0.00		1	0.99		2	1.98		1	0.99		0	0.00		0	0.00		0	0.00		1	0.99		1	0.99		0	0.00		0	0.00		1	0.99		0	0.00		0	0.00		0	0.00		0	0.00		24	23.76		3	2.97		0	0.00		0	0.00		0	0.00		27	26.73		9	8.91		0	0.00		0	0.00		0	0.00		0	0.00		9	8.91		1	0.99		0	0.00		0	0.00		1	0.99		1	0.99		1	0.99		0	0.00		0	0.00		2	1.98		1	0.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.99		101	96.19		4	3.81		105	0.14																																													
	Boondooma		1	0.69		0	0.00		0	0.00		1	0.69		10	6.90		0	0.00		0	0.00		0	0.00		10	6.90		0	0.00		1	0.69		0	0.00		1	0.69		82	56.55		2	1.38		0	0.00		0	0.00		84	57.93		2	1.38		3	2.07		0	0.00		5	3.45		1	0.69		0	0.00		0	0.00		0	0.00		1	0.69		1	0.69		0	0.00		0	0.00		1	0.69		0	0.00		0	0.00		0	0.00		0	0.00		24	16.55		4	2.76		0	0.00		0	0.00		0	0.00		28	19.31		10	6.90		0	0.00		0	0.00		0	0.00		0	0.00		10	6.90		0	0.00		0	0.00		0	0.00		0	0.00		4	2.76		0	0.00		0	0.00		0	0.00		4	2.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		145	98.64		2	1.36		147	0.19																																													
	Boonooroo		0	0.00		0	0.00		0	0.00		0	0.00		116	31.87		4	1.10		1	0.27		0	0.00		121	33.24		2	0.55		0	0.00		0	0.00		2	0.55		76	20.88		1	0.27		0	0.00		0	0.00		77	21.15		1	0.27		0	0.00		1	0.27		2	0.55		7	1.92		0	0.00		0	0.00		0	0.00		7	1.92		6	1.65		0	0.00		0	0.00		6	1.65		0	0.00		0	0.00		0	0.00		0	0.00		101	27.75		7	1.92		0	0.00		0	0.00		0	0.00		108	29.67		29	7.97		1	0.27		0	0.00		0	0.00		0	0.00		30	8.24		1	0.27		0	0.00		0	0.00		1	0.27		7	1.92		2	0.55		0	0.00		0	0.00		9	2.47		1	0.27		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.27		364	96.30		14	3.70		378	0.49																																													
	Booral		1	0.19		0	0.00		0	0.00		1	0.19		160	29.68		3	0.56		0	0.00		1	0.19		164	30.43		0	0.00		0	0.00		0	0.00		0	0.00		114	21.15		2	0.37		0	0.00		0	0.00		116	21.52		3	0.56		0	0.00		0	0.00		3	0.56		9	1.67		2	0.37		0	0.00		0	0.00		11	2.04		7	1.30		0	0.00		0	0.00		7	1.30		2	0.37		0	0.00		0	0.00		2	0.37		125	23.19		5	0.93		0	0.00		0	0.00		0	0.00		130	24.12		72	13.36		0	0.00		1	0.19		0	0.00		0	0.00		73	13.54		7	1.30		0	0.00		0	0.00		7	1.30		22	4.08		1	0.19		0	0.00		0	0.00		23	4.27		2	0.37		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.37		539	95.23		27	4.77		566	0.73																																													
	Brisbane City (Wide Bay)		1	1.12		0	0.00		0	0.00		1	1.12		17	19.10		1	1.12		0	0.00		0	0.00		18	20.22		0	0.00		0	0.00		0	0.00		0	0.00		16	17.98		2	2.25		0	0.00		0	0.00		18	20.22		1	1.12		0	0.00		0	0.00		1	1.12		5	5.62		1	1.12		0	0.00		0	0.00		6	6.74		1	1.12		0	0.00		0	0.00		1	1.12		0	0.00		0	0.00		0	0.00		0	0.00		5	5.62		0	0.00		0	0.00		0	0.00		0	0.00		5	5.62		25	28.09		0	0.00		0	0.00		0	0.00		0	0.00		25	28.09		1	1.12		0	0.00		0	0.00		1	1.12		13	14.61		0	0.00		0	0.00		0	0.00		13	14.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		89	100.00		0	0.00		89	0.11																																													
