House of Representatives - 2001 Election: Queensland																								
Distribution of Preferences 																								
By Polling Place																								
Brisbane																								
				MONSOUR			JANSEN			NIELSEN			LAVELLE			EKERT			DEWAR			BEVIS		
				Seb			P R			Richard			Ashley			Sue			Damian			Arch		
				LP			HAN			GRN						NP			DEM			ALP		
	Count		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alderley                                                       																								
	FIRST		722	37.72		46	2.40		82	4.28		20	1.04		50	2.61		149	7.78		845	44.15		1914
	SECOND		2	10.00		1	5.00		8	40.00			Excluded		2	10.00		3	15.00		4	20.00		20
		TOTAL	724	37.83		47	2.46		90	4.70					52	2.72		152	7.94		849	44.36		1914
	THIRD		44	84.62		0	0.00		1	1.92						Excluded		5	9.62		2	3.85		52
		TOTAL	768	40.13		47	2.46		91	4.75								157	8.20		851	44.46		1914
	FOURTH		15	31.91			Excluded		14	29.79								4	8.51		14	29.79		47
		TOTAL	783	40.91					105	5.49								161	8.41		865	45.19		1914
	FIFTH		10	9.52						Excluded								62	59.05		33	31.43		105
		TOTAL	793	41.43														223	11.65		898	46.92		1914
	SIXTH		70	31.39															Excluded		153	68.61		223
		TOTAL	863	45.09																	1051	54.91		1914
																					Elected			
																								
Ashgrove                                                       																								
	FIRST		1331	42.52		54	1.73		214	6.84		34	1.09		76	2.43		305	9.74		1116	35.65		3130
	SECOND		5	14.71		3	8.82		22	64.71			Excluded		1	2.94		0	0.00		3	8.82		34
		TOTAL	1336	42.68		57	1.82		236	7.54					77	2.46		305	9.74		1119	35.75		3130
	THIRD		65	84.42		0	0.00		4	5.19						Excluded		6	7.79		2	2.60		77
		TOTAL	1401	44.76		57	1.82		240	7.67								311	9.94		1121	35.81		3130
	FOURTH		24	42.11			Excluded		15	26.32								9	15.79		9	15.79		57
		TOTAL	1425	45.53					255	8.15								320	10.22		1130	36.10		3130
	FIFTH		32	12.55						Excluded								143	56.08		80	31.37		255
		TOTAL	1457	46.55														463	14.79		1210	38.66		3130
	SIXTH		125	27.00															Excluded		338	73.00		463
		TOTAL	1582	50.54																	1548	49.46		3130
																					Elected			
																								
Ashgrove West                                                  																								
	FIRST		984	45.81		32	1.49		122	5.68		24	1.12		60	2.79		178	8.29		748	34.82		2148
	SECOND		2	8.33		0	0.00		14	58.33			Excluded		1	4.17		5	20.83		2	8.33		24
		TOTAL	986	45.90		32	1.49		136	6.33					61	2.84		183	8.52		750	34.92		2148
	THIRD		51	83.61		3	4.92		1	1.64						Excluded		3	4.92		3	4.92		61
		TOTAL	1037	48.28		35	1.63		137	6.38								186	8.66		753	35.06		2148
	FOURTH		8	22.86			Excluded		9	25.71								3	8.57		15	42.86		35
		TOTAL	1045	48.65					146	6.80								189	8.80		768	35.75		2148
	FIFTH		15	10.27						Excluded								87	59.59		44	30.14		146
		TOTAL	1060	49.35														276	12.85		812	37.80		2148
	SIXTH		71	25.72															Excluded		205	74.28		276
		TOTAL	1131	52.65																	1017	47.35		2148
																					Elected			
																								
Auchenflower                                                   																								
	FIRST		685	42.28		25	1.54		126	7.78		24	1.48		62	3.83		185	11.42		513	31.67		1620
	SECOND		2	8.33		2	8.33		14	58.33			Excluded		1	4.17		4	16.67		1	4.17		24
		TOTAL	687	42.41		27	1.67		140	8.64					63	3.89		189	11.67		514	31.73		1620
	THIRD		53	84.13		2	3.17		1	1.59						Excluded		5	7.94		2	3.17		63
		TOTAL	740	45.68		29	1.79		141	8.70								194	11.98		516	31.85		1620
	FOURTH		11	37.93			Excluded		9	31.03								3	10.34		6	20.69		29
		TOTAL	751	46.36					150	9.26								197	12.16		522	32.22		1620
	FIFTH		18	12.00						Excluded								84	56.00		48	32.00		150
		TOTAL	769	47.47														281	17.35		570	35.19		1620
	SIXTH		81	28.83															Excluded		200	71.17		281
		TOTAL	850	52.47																	770	47.53		1620
																					Elected			
																								
Ballymore                                                      																								
	FIRST		217	39.82		12	2.20		36	6.61		5	0.92		14	2.57		30	5.50		231	42.39		545
	SECOND		0	0.00		0	0.00		2	40.00			Excluded		0	0.00		1	20.00		2	40.00		5
		TOTAL	217	39.82		12	2.20		38	6.97					14	2.57		31	5.69		233	42.75		545
	THIRD		11	78.57		0	0.00		2	14.29						Excluded		0	0.00		1	7.14		14
		TOTAL	228	41.83		12	2.20		40	7.34								31	5.69		234	42.94		545
	FOURTH		6	50.00			Excluded		4	33.33								0	0.00		2	16.67		12
		TOTAL	234	42.94					44	8.07								31	5.69		236	43.30		545
	FIFTH		11	25.00						Excluded								23	52.27		10	22.73		44
		TOTAL	245	44.95														54	9.91		246	45.14		545
	SIXTH		20	37.04															Excluded		34	62.96		54
		TOTAL	265	48.62																	280	51.38		545
																					Elected			
																								
Bardon                                                         																								
	FIRST		560	42.55		19	1.44		110	8.36		9	0.68		32	2.43		119	9.04		467	35.49		1316
	SECOND		0	0.00		0	0.00		7	77.78			Excluded		0	0.00		2	22.22		0	0.00		9
		TOTAL	560	42.55		19	1.44		117	8.89					32	2.43		121	9.19		467	35.49		1316
