House of Representatives - 2001 Election: Queensland																															
Distribution of Preferences 																															
By Polling Place																															
Dickson																															
					HYLAND			KERNOT			TURNER			DUTTON			KIMLIN			WHITNEY			KRAMER			KESSELS			BARNES		
					Terry			Cheryl			Shayne			Peter			Gary			Wayne			Paul			Colin			J F		
					IND			ALP			DEM			LP			ORP			HAN			GRN			IND			IND		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Albany Creek                                                   																															
	FIRST			47	1.19		1213	30.72		168	4.25		2046	51.81		31	0.79		124	3.14		87	2.20		225	5.70		8	0.20		3949
	SECOND			0	0.00		0	0.00		1	12.50		1	12.50		0	0.00		0	0.00		1	12.50		5	62.50			Excluded		8
		TOTAL		47	1.19		1213	30.72		169	4.28		2047	51.84		31	0.79		124	3.14		88	2.23		230	5.82					3949
	THIRD			3	9.68		3	9.68		1	3.23		3	9.68			Excluded		3	9.68		6	19.35		12	38.71					31
		TOTAL		50	1.27		1216	30.79		170	4.30		2050	51.91					127	3.22		94	2.38		242	6.13					3949
	FOURTH				Excluded		14	28.00		9	18.00		8	16.00					5	10.00		4	8.00		10	20.00					50
		TOTAL					1230	31.15		179	4.53		2058	52.11					132	3.34		98	2.48		252	6.38					3949
	FIFTH						19	14.39		8	6.06		33	25.00						Excluded		20	15.15		52	39.39					132
		TOTAL					1249	31.63		187	4.74		2091	52.95								118	2.99		304	7.70					3949
	SIXTH						33	27.97		26	22.03		14	11.86									Excluded		45	38.14					118
		TOTAL					1282	32.46		213	5.39		2105	53.30											349	8.84					3949
	SEVENTH						87	40.85			Excluded		60	28.17											66	30.99					213
		TOTAL					1369	34.67					2165	54.82											415	10.51					3949
	EIGHTH						188	45.30					227	54.70												Excluded					415
		TOTAL					1557	39.43					2392	60.57																	3949
													Elected																		
																															
Albany Creek South                                             																															
	FIRST			41	0.96		1091	25.67		228	5.36		2443	57.48		33	0.78		75	1.76		73	1.72		257	6.05		9	0.21		4250
