House of Representatives - 2001 Election: Queensland																			
Distribution of Preferences																			
By Polling Place																			
Fadden																			
					MERLEHAN			WOOLFORD			JULL			COTTER			COYLE		
					Ray			Julian			David Francis			Neil			Chris		
					ALP			GRN			LP			DEM			HAN		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alberton                                                       																			
	FIRST			129	28.35		10	2.20		255	56.04		10	2.20		51	11.21		455
	SECOND			4	40.00			Excluded		1	10.00		3	30.00		2	20.00		10
		TOTAL		133	29.23					256	56.26		13	2.86		53	11.65		455
	THIRD			7	53.85					4	30.77			Excluded		2	15.38		13
		TOTAL		140	30.77					260	57.14					55	12.09		455
	FOURTH			32	58.18					23	41.82						Excluded		55
		TOTAL		172	37.80					283	62.20								455
										Elected									
																			
Biggera Waters                                                 																			
	FIRST			862	30.77		91	3.25		1499	53.52		97	3.46		252	9.00		2801
	SECOND			28	30.77			Excluded		15	16.48		38	41.76		10	10.99		91
		TOTAL		890	31.77					1514	54.05		135	4.82		262	9.35		2801
	THIRD			67	49.63					46	34.07			Excluded		22	16.30		135
		TOTAL		957	34.17					1560	55.69					284	10.14		2801
	FOURTH			167	58.80					117	41.20						Excluded		284
		TOTAL		1124	40.13					1677	59.87								2801
										Elected									
																			
Brisbane City (Fadden)                                         																			
	FIRST			32	33.33		6	6.25		41	42.71		13	13.54		4	4.17		96
	SECOND			1	16.67			Excluded		1	16.67		4	66.67		0	0.00		6
		TOTAL		33	34.38					42	43.75		17	17.71		4	4.17		96
	THIRD			9	52.94					7	41.18			Excluded		1	5.88		17
		TOTAL		42	43.75					49	51.04					5	5.21		96
	FOURTH			2	40.00					3	60.00						Excluded		5
		TOTAL		44	45.83					52	54.17								96
										Elected									
																			
Canowindra (Fadden)                                            																			
	FIRST			256	30.73		25	3.00		439	52.70		37	4.44		76	9.12		833
	SECOND			7	28.00			Excluded		4	16.00		10	40.00		4	16.00		25
		TOTAL		263	31.57					443	53.18		47	5.64		80	9.60		833
	THIRD			25	53.19					17	36.17			Excluded		5	10.64		47
		TOTAL		288	34.57					460	55.22					85	10.20		833
	FOURTH			34	40.00					51	60.00						Excluded		85
		TOTAL		322	38.66					511	61.34								833
										Elected									
																			
Capalaba School (Fadden)                                       																			
	FIRST			172	30.66		20	3.57		311	55.44		29	5.17		29	5.17		561
	SECOND			7	35.00			Excluded		3	15.00		8	40.00		2	10.00		20
		TOTAL		179	31.91					314	55.97		37	6.60		31	5.53		561
	THIRD			21	56.76					9	24.32			Excluded		7	18.92		37
		TOTAL		200	35.65					323	57.58					38	6.77		561
	FOURTH			19	50.00					19	50.00						Excluded		38
		TOTAL		219	39.04					342	60.96								561
										Elected									
																			
Carbrook                                                       																			
	FIRST			262	31.76		20	2.42		464	56.24		18	2.18		61	7.39		825
	SECOND			6	30.00			Excluded		5	25.00		7	35.00		2	10.00		20
		TOTAL		268	32.48					469	56.85		25	3.03		63	7.64		825
	THIRD			14	56.00					7	28.00			Excluded		4	16.00		25
		TOTAL		282	34.18					476	57.70					67	8.12		825
	FOURTH			24	35.82					43	64.18						Excluded		67
		TOTAL		306	37.09					519	62.91								825
										Elected									
																			
Chatswood Hills                                                																			
	FIRST			658	31.60		66	3.17		1148	55.14		115	5.52		95	4.56		2082
	SECOND			19	28.79			Excluded		11	16.67		31	46.97		5	7.58		66
		TOTAL		677	32.52					1159	55.67		146	7.01		100	4.80		2082
	THIRD			81	55.48					45	30.82			Excluded		20	13.70		146
		TOTAL		758	36.41					1204	57.83					120	5.76		2082
	FOURTH			61	50.83					59	49.17						Excluded		120
		TOTAL		819	39.34					1263	60.66								2082
										Elected									
																			
Coochiemudlo Island                                            																			
	FIRST			118	40.97		10	3.47		132	45.83		13	4.51		15	5.21		288
	SECOND			4	40.00			Excluded		0	0.00		6	60.00		0	0.00		10
		TOTAL		122	42.36					132	45.83		19	6.60		15	5.21		288
	THIRD			16	84.21					2	10.53			Excluded		1	5.26		19
		TOTAL		138	47.92					134	46.53					16	5.56		288
	FOURTH			5	31.25					11	68.75						Excluded		16
		TOTAL		143	49.65					145	50.35								288
										Elected									
																			
Coombabah                                                      																			
	FIRST			586	29.17		57	2.84		1138	56.65		52	2.59		176	8.76		2009
	SECOND			18	31.58			Excluded		9	15.79		22	38.60		8	14.04		57
		TOTAL		604	30.06					1147	57.09		74	3.68		184	9.16		2009
	THIRD			36	48.65					23	31.08			Excluded		15	20.27		74
		TOTAL		640	31.86					1170	58.24					199	9.91		2009
	FOURTH			111	55.78					88	44.22						Excluded		199
