House of Representatives - 2001 Election: Queensland																						
Distribution of Preferences 																						
By Polling Place																						
Fisher																						
					TANNOCK			ARMSTRONG			O'DONNELL			MCLEOD			SLIPPER			HOURIGAN		
					Bruce			Geoff			Ray			Tony			Peter			Ros		
					HAN			DEM			ALP			GRN			LP			IND		
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Alexandra Headland                                             																						
	FIRST			34	5.69		25	4.18		124	20.74		29	4.85		297	49.67		89	14.88		598
	SECOND			0	0.00			Excluded		5	20.00		16	64.00		2	8.00		2	8.00		25
		TOTAL		34	5.69					129	21.57		45	7.53		299	50.00		91	15.22		598
	THIRD			1	2.22					23	51.11			Excluded		7	15.56		14	31.11		45
		TOTAL		35	5.85					152	25.42					306	51.17		105	17.56		598
	FOURTH				Excluded					13	37.14					11	31.43		11	31.43		35
		TOTAL								165	27.59					317	53.01		116	19.40		598
	FIFTH									48	41.38					68	58.62			Excluded		116
		TOTAL								213	35.62					385	64.38					598
																Elected						
																						
Aroona                                                         																						
	FIRST			128	9.50		58	4.31		330	24.50		37	2.75		703	52.19		91	6.76		1347
	SECOND			9	15.52			Excluded		11	18.97		24	41.38		5	8.62		9	15.52		58
		TOTAL		137	10.17					341	25.32		61	4.53		708	52.56		100	7.42		1347
	THIRD			5	8.20					25	40.98			Excluded		11	18.03		20	32.79		61
		TOTAL		142	10.54					366	27.17					719	53.38		120	8.91		1347
	FOURTH				Excluded					63	44.37					26	18.31		53	37.32		142
		TOTAL								429	31.85					745	55.31		173	12.84		1347
	FIFTH									91	52.60					82	47.40			Excluded		173
		TOTAL								520	38.60					827	61.40					1347
																Elected						
																						
Arthur Street                                                  																						
	FIRST			36	8.76		6	1.46		124	30.17		25	6.08		201	48.91		19	4.62		411
	SECOND			1	16.67			Excluded		0	0.00		3	50.00		2	33.33		0	0.00		6
		TOTAL		37	9.00					124	30.17		28	6.81		203	49.39		19	4.62		411
	THIRD			1	3.57					10	35.71			Excluded		5	17.86		12	42.86		28
		TOTAL		38	9.25					134	32.60					208	50.61		31	7.54		411
	FOURTH				Excluded					21	55.26					6	15.79		11	28.95		38
		TOTAL								155	37.71					214	52.07		42	10.22		411
	FIFTH									16	38.10					26	61.90			Excluded		42
		TOTAL								171	41.61					240	58.39					411
																Elected						
																						
Brisbane City (Fisher)                                         																						
	FIRST			4	4.00		11	11.00		20	20.00		8	8.00		50	50.00		7	7.00		100
	SECOND			0	0.00			Excluded		3	27.27		6	54.55		1	9.09		1	9.09		11
		TOTAL		4	4.00					23	23.00		14	14.00		51	51.00		8	8.00		100
	THIRD			0	0.00					5	35.71			Excluded		3	21.43		6	42.86		14
		TOTAL		4	4.00					28	28.00					54	54.00		14	14.00		100
	FOURTH				Excluded					2	50.00					2	50.00		0	0.00		4
		TOTAL								30	30.00					56	56.00		14	14.00		100
	FIFTH									4	28.57					10	71.43			Excluded		14
		TOTAL								34	34.00					66	66.00					100
																Elected						
																						
Buddina                                                        																						
	FIRST			343	8.66		139	3.51		1098	27.72		136	3.43		1943	49.05		302	7.62		3961
	SECOND			18	12.95			Excluded		40	28.78		40	28.78		14	10.07		27	19.42		139
		TOTAL		361	9.11					1138	28.73		176	4.44		1957	49.41		329	8.31		3961
	THIRD			19	10.80					73	41.48			Excluded		30	17.05		54	30.68		176
		TOTAL		380	9.59					1211	30.57					1987	50.16		383	9.67		3961
	FOURTH				Excluded					175	46.05					83	21.84		122	32.11		380
		TOTAL								1386	34.99					2070	52.26		505	12.75		3961
	FIFTH									263	52.08					242	47.92			Excluded		505
		TOTAL								1649	41.63					2312	58.37					3961
																Elected						
																						
Buderim                                                        																						
	FIRST			227	5.30		215	5.02		837	19.53		204	4.76		2421	56.50		381	8.89		4285
	SECOND			7	3.26			Excluded		50	23.26		113	52.56		25	11.63		20	9.30		215
		TOTAL		234	5.46					887	20.70		317	7.40		2446	57.08		401	9.36		4285
	THIRD			10	3.15					166	52.37			Excluded		34	10.73		107	33.75		317
		TOTAL		244	5.69					1053	24.57					2480	57.88		508	11.86		4285
	FOURTH				Excluded					94	38.52					59	24.18		91	37.30		244
		TOTAL								1147	26.77					2539	59.25		599	13.98		4285
	FIFTH									261	43.57					338	56.43			Excluded		599
		TOTAL								1408	32.86					2877	67.14					4285
																Elected						
																						
Buderim Central                                                																						
	FIRST			32	4.71		18	2.65		114	16.79		18	2.65		414	60.97		83	12.22		679
	SECOND			0	0.00			Excluded		7	38.89		8	44.44		1	5.56		2	11.11		18
		TOTAL		32	4.71					121	17.82		26	3.83		415	61.12		85	12.52		679
	THIRD			0	0.00					13	50.00			Excluded		1	3.85		12	46.15		26
		TOTAL		32	4.71					134	19.73					416	61.27		97	14.29		679
	FOURTH				Excluded					12	37.50					5	15.63		15	46.88		32
		TOTAL								146	21.50					421	62.00		112	16.49		679
	FIFTH									49	43.75					63	56.25			Excluded		112
		TOTAL								195	28.72					484	71.28					679
																Elected						
																						
Buderim Garden Village                                         																						
	FIRST			62	4.98		28	2.25		250	20.06		39	3.13		736	59.07		131	10.51		1246
	SECOND			0	0.00			Excluded		7	25.00		11	39.29		6	21.43		4	14.29		28
		TOTAL		62	4.98					257	20.63		50	4.01		742	59.55		135	10.83		1246
	THIRD			2	4.00					24	48.00			Excluded		9	18.00		15	30.00		50
		TOTAL		64	5.14					281	22.55					751	60.27		150	12.04		1246
	FOURTH				Excluded					32	50.00					11	17.19		21	32.81		64
		TOTAL								313	25.12					762	61.16		171	13.72		1246
	FIFTH									69	40.35					102	59.65			Excluded		171
		TOTAL								382	30.66					864	69.34					1246
																Elected						
																						
Buderim Immanuel Lutheran College                              																						
	FIRST			24	7.27		11	3.33		59	17.88		22	6.67		186	56.36		28	8.48		330
	SECOND			1	9.09			Excluded		2	18.18		3	27.27		3	27.27		2	18.18		11
		TOTAL		25	7.58					61	18.48		25	7.58		189	57.27		30	9.09		330
	THIRD			1	4.00					14	56.00			Excluded		4	16.00		6	24.00		25
		TOTAL		26	7.88					75	22.73					193	58.48		36	10.91		330
	FOURTH				Excluded					8	30.77					6	23.08		12	46.15		26
		TOTAL								83	25.15					199	60.30		48	14.55		330
	FIFTH									21	43.75					27	56.25			Excluded		48
		TOTAL								104	31.52					226	68.48					330
																Elected						
																						
Buderim North                                                  																						
	FIRST			89	6.42		30	2.16		309	22.29		27	1.95		780	56.28		151	10.89		1386
	SECOND			2	6.67			Excluded		7	23.33		9	30.00		5	16.67		7	23.33		30
		TOTAL		91	6.57					316	22.80		36	2.60		785	56.64		158	11.40		1386
