House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Herbert																							
					WEIL			HOOLIHAN			BOWN			HILL			LINDSAY			GODDARD			
					Anthony John			Richard			Conway			Jenny			Peter			Anne			
					HAN			DEM			IND			ALP			LP			GRN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aitkenvale                                                     																							
	FIRST			112	5.21		77	3.58		207	9.64		807	37.57		877	40.83		68	3.17		2148	
	SECOND			3	4.41		29	42.65		12	17.65		13	19.12		11	16.18			Excluded		68	
		TOTAL		115	5.35		106	4.93		219	10.20		820	38.18		888	41.34					2148	
	THIRD			12	11.32			Excluded		29	27.36		48	45.28		17	16.04					106	
		TOTAL		127	5.91					248	11.55		868	40.41		905	42.13					2148	
	FOURTH				Excluded					74	58.27		22	17.32		31	24.41					127	
		TOTAL								322	14.99		890	41.43		936	43.58					2148	
	FIFTH										Excluded		176	54.66		146	45.34					322	
		TOTAL											1066	49.63		1082	50.37					2148	
																Elected							
																							
Alice River                                                    																							
	FIRST			92	8.98		15	1.46		60	5.86		323	31.54		518	50.59		16	1.56		1024	
	SECOND			2	12.50		3	18.75		6	37.50		2	12.50		3	18.75			Excluded		16	
		TOTAL		94	9.18		18	1.76		66	6.45		325	31.74		521	50.88					1024	
	THIRD			0	0.00			Excluded		10	55.56		7	38.89		1	5.56					18	
		TOTAL		94	9.18					76	7.42		332	32.42		522	50.98					1024	
	FOURTH				Excluded					56	59.57		16	17.02		22	23.40					94	
		TOTAL								132	12.89		348	33.98		544	53.13					1024	
	FIFTH										Excluded		85	64.39		47	35.61					132	
		TOTAL											433	42.29		591	57.71					1024	
																Elected							
																							
Annandale                                                      																							
	FIRST			129	4.31		102	3.40		207	6.91		787	26.27		1716	57.28		55	1.84		2996	
	SECOND			5	9.09		23	41.82		5	9.09		17	30.91		5	9.09			Excluded		55	
		TOTAL		134	4.47		125	4.17		212	7.08		804	26.84		1721	57.44					2996	
	THIRD			5	4.00			Excluded		38	30.40		67	53.60		15	12.00					125	
		TOTAL		139	4.64					250	8.34		871	29.07		1736	57.94					2996	
	FOURTH				Excluded					88	63.31		21	15.11		30	21.58					139	
		TOTAL								338	11.28		892	29.77		1766	58.95					2996	
	FIFTH										Excluded		169	50.00		169	50.00					338	
		TOTAL											1061	35.41		1935	64.59					2996	
																Elected							
																							
Annandale East                                                 																							
	FIRST			52	3.04		28	1.64		156	9.13		447	26.17		997	58.37		28	1.64		1708	
	SECOND			1	3.57		9	32.14		6	21.43		10	35.71		2	7.14			Excluded		28	
		TOTAL		53	3.10		37	2.17		162	9.48		457	26.76		999	58.49					1708	
	THIRD			3	8.11			Excluded		13	35.14		13	35.14		8	21.62					37	
		TOTAL		56	3.28					175	10.25		470	27.52		1007	58.96					1708	
	FOURTH				Excluded					32	57.14		12	21.43		12	21.43					56	
		TOTAL								207	12.12		482	28.22		1019	59.66					1708	
	FIFTH										Excluded		86	41.55		121	58.45					207	
		TOTAL											568	33.26		1140	66.74					1708	
																Elected							
																							
Arcadia                                                        																							
	FIRST			29	6.74		16	3.72		26	6.05		147	34.19		173	40.23		39	9.07		430	
	SECOND			2	5.13		22	56.41		3	7.69		8	20.51		4	10.26			Excluded		39	
		TOTAL		31	7.21		38	8.84		29	6.74		155	36.05		177	41.16					430	
	THIRD			1	2.63			Excluded		5	13.16		32	84.21		0	0.00					38	
		TOTAL		32	7.44					34	7.91		187	43.49		177	41.16					430	
	FOURTH				Excluded					20	62.50		2	6.25		10	31.25					32	
		TOTAL								54	12.56		189	43.95		187	43.49					430	
	FIFTH										Excluded		31	57.41		23	42.59					54	
		TOTAL											220	51.16		210	48.84					430	
																Elected							
																							
Belgian Gardens                                                																							
	FIRST			56	4.69		46	3.85		96	8.04		371	31.07		560	46.90		65	5.44		1194	
	SECOND			2	3.08		26	40.00		7	10.77		22	33.85		8	12.31			Excluded		65	
