House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Hinkler																							
					BATES			MELVILLE			WHITE			DORRON			NEVILLE			JANKE			
					Theresa			Peter			Lisa			Cheryl			Paul			Martin			
					GRN			IND			DEM			ALP			NP			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Agnes Water                                                    																							
	FIRST			39	5.45		54	7.55		7	0.98		227	31.75		290	40.56		98	13.71		715	
	SECOND			3	42.86		1	14.29			Excluded		1	14.29		1	14.29		1	14.29		7	
		TOTAL		42	5.87		55	7.69					228	31.89		291	40.70		99	13.85		715	
	THIRD				Excluded		21	50.00					14	33.33		4	9.52		3	7.14		42	
		TOTAL					76	10.63					242	33.85		295	41.26		102	14.27		715	
	FOURTH						51	50.00					20	19.61		31	30.39			Excluded		102	
		TOTAL					127	17.76					262	36.64		326	45.59					715	
	FIFTH							Excluded					79	62.20		48	37.80					127	
		TOTAL											341	47.69		374	52.31					715	
																Elected							
																							
Alloway                                                        																							
	FIRST			14	2.94		67	14.08		7	1.47		111	23.32		240	50.42		37	7.77		476	
	SECOND			1	14.29		2	28.57			Excluded		3	42.86		1	14.29		0	0.00		7	
		TOTAL		15	3.15		69	14.50					114	23.95		241	50.63		37	7.77		476	
	THIRD				Excluded		7	46.67					6	40.00		0	0.00		2	13.33		15	
		TOTAL					76	15.97					120	25.21		241	50.63		39	8.19		476	
	FOURTH						19	48.72					7	17.95		13	33.33			Excluded		39	
		TOTAL					95	19.96					127	26.68		254	53.36					476	
	FIFTH							Excluded					29	30.53		66	69.47					95	
		TOTAL											156	32.77		320	67.23					476	
																Elected							
																							
Ambrose                                                        																							
	FIRST			6	2.76		17	7.83		4	1.84		74	34.10		78	35.94		38	17.51		217	
	SECOND			2	50.00		2	50.00			Excluded		0	0.00		0	0.00		0	0.00		4	
		TOTAL		8	3.69		19	8.76					74	34.10		78	35.94		38	17.51		217	
	THIRD				Excluded		5	62.50					1	12.50		1	12.50		1	12.50		8	
		TOTAL					24	11.06					75	34.56		79	36.41		39	17.97		217	
	FOURTH						22	56.41					6	15.38		11	28.21			Excluded		39	
		TOTAL					46	21.20					81	37.33		90	41.47					217	
	FIFTH							Excluded					33	71.74		13	28.26					46	
		TOTAL											114	52.53		103	47.47					217	
																Elected							
																							
Apple Tree Creek                                               																							
	FIRST			9	2.05		54	12.30		9	2.05		120	27.33		193	43.96		54	12.30		439	
	SECOND			3	33.33		1	11.11			Excluded		0	0.00		3	33.33		2	22.22		9	
		TOTAL		12	2.73		55	12.53					120	27.33		196	44.65		56	12.76		439	
	THIRD				Excluded		5	41.67					4	33.33		0	0.00		3	25.00		12	
		TOTAL					60	13.67					124	28.25		196	44.65		59	13.44		439	
	FOURTH						36	61.02					8	13.56		15	25.42			Excluded		59	
		TOTAL					96	21.87					132	30.07		211	48.06					439	
	FIFTH							Excluded					52	54.17		44	45.83					96	
		TOTAL											184	41.91		255	58.09					439	
																Elected							
																							
Avoca                                                          																							
	FIRST			47	1.73		301	11.07		39	1.43		913	33.59		1208	44.44		210	7.73		2718	
	SECOND			17	43.59		8	20.51			Excluded		8	20.51		5	12.82		1	2.56		39	
		TOTAL		64	2.35		309	11.37					921	33.89		1213	44.63		211	7.76		2718	
	THIRD				Excluded		30	46.88					19	29.69		8	12.50		7	10.94		64	
		TOTAL					339	12.47					940	34.58		1221	44.92		218	8.02		2718	
	FOURTH						101	46.33					39	17.89		78	35.78			Excluded		218	
		TOTAL					440	16.19					979	36.02		1299	47.79					2718	
	FIFTH							Excluded					216	49.09		224	50.91					440	
		TOTAL											1195	43.97		1523	56.03					2718	
																Elected							
																							
