House of Representatives - 2001 Election: Queensland																										
Distribution of Preferences																										
By Polling Place																										
Kennedy																										
				WALL			RIVAS			NEILAN			LYLE			HARRIS			KATTER			BURNETT				
				Jo			Cherie			Alan			Mary			Judith			Bob			Jerry				
				DEM			GRN			ALP			NP			CEC			IND			HAN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Abergowrie                                                     																										
	FIRST			2	1.03		1	0.51		19	9.74		38	19.49		0	0.00		118	60.51		17	8.72		195	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	0.00		0	
		TOTAL		2	1.03		1	0.51		19	9.74		38	19.49					118	60.51		17	8.72		195	
	THIRD			1	100.00			Excluded		0	0.00		0	0.00					0	0.00		0	0.00		1	
		TOTAL		3	1.54					19	9.74		38	19.49					118	60.51		17	8.72		195	
	FOURTH				Excluded					2	66.67		1	33.33					0	0.00		0	0.00		3	
		TOTAL								21	10.77		39	20.00					118	60.51		17	8.72		195	
	FIFTH									1	5.88		1	5.88					15	88.24			Excluded		17	
		TOTAL								22	11.28		40	20.51					133	68.21					195	
	SIXTH									3	7.50			Excluded					37	92.50					40	
		TOTAL								25	12.82								170	87.18					195	
																			Elected							
																										
Aloomba                                                        																										
	FIRST			3	1.16		3	1.16		57	22.09		61	23.64		1	0.39		104	40.31		29	11.24		258	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		0	0.00		1	
		TOTAL		3	1.16		3	1.16		58	22.48		61	23.64					104	40.31		29	11.24		258	
	THIRD			2	66.67			Excluded		1	33.33		0	0.00					0	0.00		0	0.00		3	
		TOTAL		5	1.94					59	22.87		61	23.64					104	40.31		29	11.24		258	
	FOURTH				Excluded					1	20.00		3	60.00					1	20.00		0	0.00		5	
		TOTAL								60	23.26		64	24.81					105	40.70		29	11.24		258	
	FIFTH									6	20.69		1	3.45					22	75.86			Excluded		29	
		TOTAL								66	25.58		65	25.19					127	49.22					258	
	SIXTH									4	6.15			Excluded					61	93.85					65	
		TOTAL								70	27.13								188	72.87					258	
																			Elected							
																										
Atherton                                                       																										
	FIRST			83	3.59		54	2.33		485	20.96		372	16.08		8	0.35		1047	45.25		265	11.45		2314	
	SECOND			0	0.00		2	25.00		0	0.00		3	37.50			Excluded		3	37.50		0	0.00		8	
		TOTAL		83	3.59		56	2.42		485	20.96		375	16.21					1050	45.38		265	11.45		2314	
	THIRD			20	35.71			Excluded		22	39.29		5	8.93					3	5.36		6	10.71		56	
		TOTAL		103	4.45					507	21.91		380	16.42					1053	45.51		271	11.71		2314	
	FOURTH				Excluded					52	50.49		26	25.24					18	17.48		7	6.80		103	
		TOTAL								559	24.16		406	17.55					1071	46.28		278	12.01		2314	
	FIFTH									27	9.71		1	0.36					250	89.93			Excluded		278	
		TOTAL								586	25.32		407	17.59					1321	57.09					2314	
	SIXTH									78	19.16			Excluded					329	80.84					407	
		TOTAL								664	28.69								1650	71.31					2314	
																			Elected							
																										
Atherton North                                                 																										
	FIRST			35	3.40		16	1.55		192	18.64		215	20.87		2	0.19		471	45.73		99	9.61		1030	
	SECOND			1	50.00		0	0.00		0	0.00		0	0.00			Excluded		1	50.00		0	0.00		2	
		TOTAL		36	3.50		16	1.55		192	18.64		215	20.87					472	45.83		99	9.61		1030	
	THIRD			6	37.50			Excluded		5	31.25		1	6.25					4	25.00		0	0.00		16	
		TOTAL		42	4.08					197	19.13		216	20.97					476	46.21		99	9.61		1030	
	FOURTH				Excluded					22	52.38		13	30.95					5	11.90		2	4.76		42	
		TOTAL								219	21.26		229	22.23					481	46.70		101	9.81		1030	
	FIFTH									10	9.90		10	9.90					81	80.20			Excluded		101	
		TOTAL								229	22.23		239	23.20					562	54.56					1030	
	SIXTH									37	15.48			Excluded					202	84.52					239	
		TOTAL								266	25.83								764	74.17					1030	
																			Elected							
																										
Babinda                                                        																										
	FIRST			24	2.92		11	1.34		256	31.11		77	9.36		4	0.49		344	41.80		107	13.00		823	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		4	100.00		0	0.00		4	
		TOTAL		24	2.92		11	1.34		256	31.11		77	9.36					348	42.28		107	13.00		823	
	THIRD			6	54.55			Excluded		1	9.09		0	0.00					3	27.27		1	9.09		11	
		TOTAL		30	3.65					257	31.23		77	9.36					351	42.65		108	13.12		823	
	FOURTH				Excluded					16	53.33		3	10.00					9	30.00		2	6.67		30	
		TOTAL								273	33.17		80	9.72					360	43.74		110	13.37		823	
	FIFTH									13	11.82		7	6.36					90	81.82			Excluded		110	
		TOTAL								286	34.75		87	10.57					450	54.68					823	
	SIXTH									21	24.14			Excluded					66	75.86					87	
		TOTAL								307	37.30								516	62.70					823	
																			Elected							
																										
Bambaroo                                                       																										
	FIRST			7	3.41		3	1.46		25	12.20		32	15.61		2	0.98		117	57.07		19	9.27		205	
	SECOND			0	0.00		0	0.00		0	0.00		2	100.00			Excluded		0	0.00		0	0.00		2	
		TOTAL		7	3.41		3	1.46		25	12.20		34	16.59					117	57.07		19	9.27		205	
	THIRD			1	33.33			Excluded		0	0.00		0	0.00					1	33.33		1	33.33		3	
		TOTAL		8	3.90					25	12.20		34	16.59					118	57.56		20	9.76		205	
	FOURTH				Excluded					5	62.50		2	25.00					1	12.50		0	0.00		8	
		TOTAL								30	14.63		36	17.56					119	58.05		20	9.76		205	
	FIFTH									4	20.00		1	5.00					15	75.00			Excluded		20	
		TOTAL								34	16.59		37	18.05					134	65.37					205	
